RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y	TRIAL_INDEX	TRIAL_LABEL
18TM5	NONE	504.8	388.1	82	Trial: 82
18TM5	NONE	449.5	366.4	82	Trial: 82
18TM5	NONE	511.1	411.2	82	Trial: 82
18TM5	NONE	511.6	389	83	Trial: 83
18TM5	NONE	517.2	393.7	84	Trial: 84
18TM5	NONE	515.9	401.4	85	Trial: 85
18TM5	NONE	511.3	403.6	86	Trial: 86
18TM5	NONE	513.5	390.1	87	Trial: 87
18TM5	AFTER	508.7	393.1	88	Trial: 88
18TM5	BEFORE	514.1	389.8	88	Trial: 88
18TM5	NONE	525.7	394.2	88	Trial: 88
18TM5	NONE	512	388.2	89	Trial: 89
18TM5	NONE	512.2	388.7	90	Trial: 90
18TM5	NONE	511.7	404.5	91	Trial: 91
18TM5	NONE	512	398.2	92	Trial: 92
18TM5	NONE	522.1	399.5	92	Trial: 92
18TM5	NONE	512.5	389.5	92	Trial: 92
18TM5	NONE	516.4	405.8	93	Trial: 93
18TM5	NONE	531.4	417.7	93	Trial: 93
18TM5	NONE	517.5	410.7	93	Trial: 93
18TM5	NONE	515.4	379.4	94	Trial: 94
18TM5	NONE	509.9	388	95	Trial: 95
18TM5	NONE	518.5	390.2	96	Trial: 96
18TM5	NONE	513.4	380.5	97	Trial: 97
18TM5	NONE	506.3	433.8	97	Trial: 97
18TM5	NONE	512	427.7	97	Trial: 97
18TM5	NONE	501.8	428.5	97	Trial: 97
18TM5	AFTER	515.7	384	98	Trial: 98
18TM5	BEFORE	513	383.2	98	Trial: 98
18TM5	NONE	517.6	373.5	99	Trial: 99
18TM5	NONE	514.7	382	99	Trial: 99
18TM5	NONE	526.7	381	99	Trial: 99
18TM5	NONE	508.3	385.2	100	Trial: 100
18TM5	NONE	537	416.6	100	Trial: 100
18TM5	NONE	508.6	381.5	101	Trial: 101
18TM5	NONE	517.4	389.8	102	Trial: 102
18TM5	AFTER	517.2	390	103	Trial: 103
18TM5	BEFORE	534.8	362.4	103	Trial: 103
18TM5	NONE	527.1	384.2	103	Trial: 103
18TM5	NONE	502.2	381.6	104	Trial: 104
18TM5	NONE	504.7	383.4	104	Trial: 104
18TM5	NONE	511	381.8	105	Trial: 105
