experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	timingBlips
main	0 	AH 	 oneCued 	 0.0 	 left 	M 	G 	0.0 	5 	0 	1.0 	LOMCQJVIFBXGSAKUTDHPNYEZRW	TSXQIPJZOUERMVDYAFKGHBNCWL	CYBQKOMFDAGXINZVLPSTUWRJEH	RYENQFDGCOMZXLJSVTPHKBAUIW	MZRDCPSYHKJLFUTVBNWQGXIAEO	DZEQIYWGMFKXVARCBJOUPSHNTL	0
main	1 	AH 	 oneCued 	 0.0 	 left 	H 	R 	0.0 	5 	0 	1.0 	ZEWUXGQCDOSHBNKRATVJMFLPYI	AQHMSPVNJXUIYRGTWCDKELBZFO	JXWZTIPSRNKGUYLOAFVMDHBQEC	HZYBGICNKRJFWPOXTMSDLUEAVQ	PLBOTJFXKQNHAUZRWCVMYEDGSI	ZBVCMJQLAGRHYKDSUONEWXFTIP	0
main	2 	AH 	 oneCued 	 0.0 	 right 	W 	N 	0.0 	1 	0 	1.0 	AYPQSWXLVCTIHUGNRFOBMDEJKZ	FKYUGINWMEQCOTJRBZALXVSPHD	BQEVAWCRMXPOYGHKZUDJTNLIFS	WYOZLMJRHDCTXUASIBFKPEQVNG	RHUWGLDXKQBZPENFAOSCJTYVMI	TDYGAPLUROCHWQNKEBZXVIMJFS	0
main	3 	AH 	 oneCued 	 0.0 	 left 	S 	I 	0.0 	5 	0 	1.0 	BDIZULCAMKGERJXNOPHQTSFWVY	JAEDBTQOCSKWVYLFZURNPGMXHI	PGTEZALQRJYUMXNFSVIOHKCBDW	ETOZSBILXUKWAYGDJQFHCNVMPR	RWIADVQFKEHXJGMLSYNZBTCPOU	XNBRFWISMKTHCQGLPUEAOJZDYV	0
main	4 	AH 	 oneCued 	 0.0 	 right 	K 	W 	0.0 	0 	0 	1.0 	CBFVOGWKSEXMHNARDPJLTUYQZI	OTCWLZXHEDSYMQAVRBJFIUNGKP	DCNTRJAXLVMGSPFIYEQKOZBUHW	IQGKOUNRBXLVASECDWJMZTHFYP	VBWNUKDGEILZOFXCPRMQTJYASH	AWHKITJOMGFUREXCPDLVBSYZNQ	0
main	5 	AH 	 oneCued 	 0.0 	 left 	D 	M 	0.0 	2 	0 	2.0 	GFXAYQMIJUPZTKWOLRDEHSVBCN	UXBTNMCAYIDVOLEWQJHZKRSPGF	CFYSNZAHEMQDJXVUKGTIORLPBW	EXDTWYPABULQMIJRFKSNCZGOVH	XMHFVEJBKQSNLWAYGOPTDUCRZI	ZUQDIVPHKRATFOGLWEJCSXBYNM	0
main	6 	AH 	 oneCued 	 0.0 	 right 	Q 	Z 	0.0 	1 	0 	1.0 	HMTPGVKFCBIRQWXAEYDUSJONZL	PDVAMGLKYFZQNEHRUXWSOTCBIJ	GUYHRKIPDVAXCBOMTNSEJWFZQL	BRODGJTACWHSEUXFQZYMLVPNKI	KZXOEBPLDHJQNAUFYSTMIRWGVC	ULTGIFASOCWJVNEBMKXYQHZPRD	0
main	7 	AH 	 oneCued 	 0.0 	 right 	C 	L 	0.0 	4 	0 	1.0 	HLNEFUJWIAVDZGKBYQPSRCMOTX	QZEMBPYULFTVWNKIJASGORCHXD	IRMTQVSHACJUOXFGDYBLNEPZWK	YJFDRPQBZAMSOCVNKXGIWEHLUT	QXNHATGLCEJKZBUDMWFVYSPORI	MFVIUQEBNLATZHRJPOSKYXWDGC	0
main	8 	AH 	 oneCued 	 0.0 	 left 	R 	F 	0.0 	2 	0 	17.0 	YUEIAVLWKZMFJRPCDOXSNTGQHB	DJENFVMTKAUQZYGCIOBRLWPXHS	NAKDBTOIFQXPGYELSHZUWJCMVR	HCZQTWSXNGLMDUAPJIROYBVEFK	WSYMCVFIBARHQZJLTUNPEDGKXO	ATMJVBERNHGDFQIUKZXCYSPLOW	0
main	9 	AH 	 oneCued 	 0.0 	 right 	X 	D 	0.0 	5 	0 	1.0 	EHVXAIQKLZCTPFGMYWDNUSBJRO	ZDFKGUACJHMWNOVQSTEXLBPRYI	VHCIRSEOMGZJPWBTQXLDFUNKAY	VKSNGJFTIUMYHZWBQPXEDRLCOA	MLQSABIGFRUOXYWKCTJVDEZNHP	APMCHBFRZGDXEJTWLUOKNVISQY	0
