Participant,Group,BF
CL,Endogenous,59.9497
EC,Endogenous,0.0009
IT,Endogenous,2.1832
KR,Endogenous,0.4495
SH,Endogenous,0.0205
WN,Endogenous,0.0000
CL,Exogenous,0.9418
EC,Exogenous,1.1935
IT,Exogenous,0.0000
KR,Exogenous,0.0000
SH,Exogenous,0.0000
WN,Exogenous,0.0000
