"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"crowded"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"
"main"	115	"PB"	2	0	"Yes"	"B"	0	6	"E"	"False"	120	300	0	1	1	-5	"ZUFTASERGQLVOHJXYKPMBIND"	"TBZRJXEMQLVYUKHFPDSAOGIN"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	1
"main"	118	"PB"	2	0	"Yes"	"D"	0	8	"D"	"True"	60	60	0	0	0	0	"XIFRASULDJVENKOHMTGPZQBY"	"SOTVMXIFLYQBRUNDKGPZHJAE"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	8
"main"	124	"PB"	2	0	"Yes"	"R"	0	8	"U"	"False"	120	300	0	1	1	1	"RXABUJOEQFPYGKSZLTINHDMV"	"HQDSKTPXUREIGBAVYNLFZOMJ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9
"main"	129	"PB"	2	0	"Yes"	"K"	0	10	"A"	"False"	120	120	0	0	0	-4	"PMEYBHKFVIASTXZGRJODNULQ"	"NUYEZOVGITASBKJRXFHPMLDQ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	6
"main"	148	"PB"	2	0	"Yes"	"P"	0	10	"S"	"False"	0	0	0	0	0	1	"ZNDGKRJHUESPFMAXOYVTLIQB"	"GOAIKJUZMNLXHSEFDTQRYVPB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	11
"main"	151	"PB"	2	0	"Yes"	"X"	0	9	"P"	"False"	0	180	0	1	1	-6	"BMRNYVHXTJZFUEOPQSLGKADI"	"LMQXUNDVZPYRIAOTSEHKJGFB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	3
"main"	155	"PB"	2	0	"Yes"	"G"	0	9	"V"	"False"	60	240	0	1	1	1	"YLNZVGPKUFRSQJMDXTEOAIHB"	"DKILXAZONVGSFJURHTPMEYQB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	167	"PB"	2	0	"Yes"	"I"	0	6	"Q"	"False"	0	0	0	0	0	1	"NXHDUGQIVTREPSFKZOLJMABY"	"BMDHPUIYNSKLVQRZTFXEOJAG"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
"main"	172	"PB"	2	0	"Yes"	"B"	0	7	"B"	"True"	120	300	0	1	1	0	"RGJFMLPHBTOSVIUKQZYANDEX"	"APRGKVHBJTENQMIFYLZUOSXD"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
"main"	176	"PB"	2	0	"Yes"	"G"	0	9	"G"	"True"	120	300	0	1	1	0	"HGEKQMYBJTPZDLSXAFUNVIRO"	"SIFBEAQNVGLZTDXYHKMORUJP"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9
