"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"crowded"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"
"main"	99	"PB"	2	1	"Yes"	"K"	0	8	"K"	"True"	0	30	0	0	0	0	"NLVQUDJSKMAZRGOIHXBTEYPF"	"HKQTXNVJSPYADEROGUMBIZFL"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	8
"main"	108	"PB"	2	1	"Yes"	"B"	0	10	"B"	"True"	120	150	0	0	0	0	"HVOENQLYRJBIKAMGZXSDPUTF"	"JDPYHMQELFUKAZBTVROXSGNI"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	114	"PB"	2	1	"Yes"	"B"	0	6	"B"	"True"	60	270	0	1	1	0	"TIJEGDVMALNXZQORYBFHKSPU"	"RXTMQABZDFHNLKUESIOYGPJV"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	6
"main"	126	"PB"	2	1	"Yes"	"A"	0	7	"N"	"False"	0	210	0	1	1	2	"HVGJQEARDIXNMBZTOKFSLPUY"	"EMKBFYQNSARXGULJPVZIOHDT"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9
"main"	127	"PB"	2	1	"Yes"	"S"	0	7	"Y"	"False"	120	150	0	0	0	1	"EABKTZPYSDOQMHIGNVFUJLRX"	"TUHDXZRNFEIBMQGSOYLKAVJP"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	8
"main"	130	"PB"	2	1	"Yes"	"K"	0	10	"K"	"True"	60	270	0	1	1	0	"LYPOHBZVXUQFREAMTJSKDGIN"	"OATNHEBYJVKSQZMILPDFXGRU"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	147	"PB"	2	1	"Yes"	"K"	0	9	"H"	"False"	120	330	0	1	1	14	"TAUJLXYHOKSZIEMQDBNRFGPV"	"GXRFTDOPVHLJNAYBZSIQMEUK"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	23
"main"	150	"PB"	2	1	"Yes"	"B"	0	8	"G"	"False"	120	330	0	1	1	-8	"VRYKLANTIPBJFOZXHGSMUQED"	"BISQXYDJGETAKRVZNMPLUFHO"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	0
"main"	157	"PB"	2	1	"Yes"	"G"	0	8	"U"	"False"	120	150	0	0	0	10	"MAHSQXKZUTFYNRLJOEGIBDVP"	"RMBEAYVHZOFPISUDTGKJNXLQ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	18
"main"	170	"PB"	2	1	"Yes"	"K"	0	7	"H"	"False"	60	90	0	0	0	2	"ZFLIDEYHPKGOVMSQJUBAXRNT"	"NKSMRXLPBYVUZJAGFOTHDIEQ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9
