Participant,Group, Stream, Parameter,Model,Estimate
AH,6_per_sec,1,Precision,Truncated Normal,83.3333
AH,6_per_sec,2,Precision,Truncated Normal,83.3333
CW,6_per_sec,1,Precision,Truncated Normal,83.3333
CW,6_per_sec,2,Precision,Truncated Normal,106.5177
EN,6_per_sec,1,Precision,Truncated Normal,83.3333
EN,6_per_sec,2,Precision,Truncated Normal,83.3333
FJ,6_per_sec,1,Precision,Truncated Normal,83.3333
FJ,6_per_sec,2,Precision,Truncated Normal,83.3333
PG,6_per_sec,1,Precision,Truncated Normal,83.3333
PG,6_per_sec,2,Precision,Truncated Normal,83.3333
SM,6_per_sec,1,Precision,Truncated Normal,111.1362
SM,6_per_sec,2,Precision,Truncated Normal,250.0000
AH,8_per_sec,1,Precision,Truncated Normal,74.4753
AH,8_per_sec,2,Precision,Truncated Normal,68.1644
CW,8_per_sec,1,Precision,Truncated Normal,62.5000
CW,8_per_sec,2,Precision,Truncated Normal,118.2676
EN,8_per_sec,1,Precision,Truncated Normal,62.5000
EN,8_per_sec,2,Precision,Truncated Normal,67.6063
FJ,8_per_sec,1,Precision,Truncated Normal,62.6927
FJ,8_per_sec,2,Precision,Truncated Normal,65.6858
PG,8_per_sec,1,Precision,Truncated Normal,62.5000
PG,8_per_sec,2,Precision,Truncated Normal,62.5000
SM,8_per_sec,1,Precision,Truncated Normal,100.4204
SM,8_per_sec,2,Precision,Truncated Normal,72.5005
AH,12_per_sec,1,Precision,Truncated Normal,70.7429
AH,12_per_sec,2,Precision,Truncated Normal,52.6510
CW,12_per_sec,1,Precision,Truncated Normal,41.6667
CW,12_per_sec,2,Precision,Truncated Normal,41.6667
EN,12_per_sec,1,Precision,Truncated Normal,53.5048
EN,12_per_sec,2,Precision,Truncated Normal,66.0461
FJ,12_per_sec,1,Precision,Truncated Normal,93.5504
FJ,12_per_sec,2,Precision,Truncated Normal,77.2251
PG,12_per_sec,1,Precision,Truncated Normal,41.6667
PG,12_per_sec,2,Precision,Truncated Normal,41.6667
SM,12_per_sec,1,Precision,Truncated Normal,54.4245
SM,12_per_sec,2,Precision,Truncated Normal,125.0000
AH,24_per_sec,1,Precision,Truncated Normal,46.6205
AH,24_per_sec,2,Precision,Truncated Normal,41.3607
CW,24_per_sec,1,Precision,Truncated Normal,60.5491
CW,24_per_sec,2,Precision,Truncated Normal,44.9801
EN,24_per_sec,1,Precision,Truncated Normal,62.5000
EN,24_per_sec,2,Precision,Truncated Normal,NaN
FJ,24_per_sec,1,Precision,Truncated Normal,62.5000
FJ,24_per_sec,2,Precision,Truncated Normal,62.5000
PG,24_per_sec,1,Precision,Truncated Normal,55.8322
PG,24_per_sec,2,Precision,Truncated Normal,48.9576
SM,24_per_sec,1,Precision,Truncated Normal,62.5000
SM,24_per_sec,2,Precision,Truncated Normal,NaN
