Participant,Group, Stream, Parameter,Model,Estimate
AH,6_per_sec,1,Precision,Normal,81.2251
AH,6_per_sec,2,Precision,Normal,71.6463
CW,6_per_sec,1,Precision,Normal,NaN
CW,6_per_sec,2,Precision,Normal,NaN
EN,6_per_sec,1,Precision,Normal,NaN
EN,6_per_sec,2,Precision,Normal,NaN
FJ,6_per_sec,1,Precision,Normal,NaN
FJ,6_per_sec,2,Precision,Normal,NaN
PG,6_per_sec,1,Precision,Normal,NaN
PG,6_per_sec,2,Precision,Normal,NaN
SM,6_per_sec,1,Precision,Normal,NaN
SM,6_per_sec,2,Precision,Normal,NaN
AH,8_per_sec,1,Precision,Normal,60.9189
AH,8_per_sec,2,Precision,Normal,53.7347
CW,8_per_sec,1,Precision,Normal,63.4326
CW,8_per_sec,2,Precision,Normal,76.4381
EN,8_per_sec,1,Precision,Normal,NaN
EN,8_per_sec,2,Precision,Normal,NaN
FJ,8_per_sec,1,Precision,Normal,NaN
FJ,8_per_sec,2,Precision,Normal,NaN
PG,8_per_sec,1,Precision,Normal,NaN
PG,8_per_sec,2,Precision,Normal,NaN
SM,8_per_sec,1,Precision,Normal,NaN
SM,8_per_sec,2,Precision,Normal,NaN
AH,12_per_sec,1,Precision,Normal,40.6125
AH,12_per_sec,2,Precision,Normal,35.8231
CW,12_per_sec,1,Precision,Normal,42.2884
CW,12_per_sec,2,Precision,Normal,50.9587
EN,12_per_sec,1,Precision,Normal,64.8889
EN,12_per_sec,2,Precision,Normal,44.1657
FJ,12_per_sec,1,Precision,Normal,NaN
FJ,12_per_sec,2,Precision,Normal,NaN
PG,12_per_sec,1,Precision,Normal,NaN
PG,12_per_sec,2,Precision,Normal,NaN
SM,12_per_sec,1,Precision,Normal,NaN
SM,12_per_sec,2,Precision,Normal,NaN
AH,24_per_sec,1,Precision,Normal,20.3063
AH,24_per_sec,2,Precision,Normal,17.9116
CW,24_per_sec,1,Precision,Normal,21.1442
CW,24_per_sec,2,Precision,Normal,25.4793
EN,24_per_sec,1,Precision,Normal,32.4445
EN,24_per_sec,2,Precision,Normal,22.0829
FJ,24_per_sec,1,Precision,Normal,68.2124
FJ,24_per_sec,2,Precision,Normal,58.1960
PG,24_per_sec,1,Precision,Normal,NaN
PG,24_per_sec,2,Precision,Normal,NaN
SM,24_per_sec,1,Precision,Normal,NaN
SM,24_per_sec,2,Precision,Normal,NaN
