"","twoStreams","eightStreams"
"1",112.7707,68.6302
"2",86.2191,77.0904
"3",81.0483,74.3182
"4",69.7101,40.053
"5",87.7657,53.6145
"6",87.4509,58.706
"7",80.9561,76.9414
"8",81.7954,53.7914
"9",71.0343,47.9599
"10",51.2098,53.3974
