Participant,Group, Stream, Parameter,Model,Estimate
AH,6_per_sec,1,Latency,Truncated Normal,70.2233
AH,6_per_sec,2,Latency,Truncated Normal,27.8720
CW,6_per_sec,1,Latency,Truncated Normal,-83.3333
CW,6_per_sec,2,Latency,Truncated Normal,-83.3333
EN,6_per_sec,1,Latency,Truncated Normal,5.7146
EN,6_per_sec,2,Latency,Truncated Normal,45.8207
FJ,6_per_sec,1,Latency,Truncated Normal,40.6513
FJ,6_per_sec,2,Latency,Truncated Normal,49.2103
PG,6_per_sec,1,Latency,Truncated Normal,-65.5399
PG,6_per_sec,2,Latency,Truncated Normal,-62.9591
SM,6_per_sec,1,Latency,Truncated Normal,-4.1365
SM,6_per_sec,2,Latency,Truncated Normal,-61.2442
AH,8_per_sec,1,Latency,Truncated Normal,74.4753
AH,8_per_sec,2,Latency,Truncated Normal,68.1644
CW,8_per_sec,1,Latency,Truncated Normal,6.7584
CW,8_per_sec,2,Latency,Truncated Normal,-62.5000
EN,8_per_sec,1,Latency,Truncated Normal,47.4940
EN,8_per_sec,2,Latency,Truncated Normal,67.6063
FJ,8_per_sec,1,Latency,Truncated Normal,62.6927
FJ,8_per_sec,2,Latency,Truncated Normal,65.6858
PG,8_per_sec,1,Latency,Truncated Normal,16.8292
PG,8_per_sec,2,Latency,Truncated Normal,21.4443
SM,8_per_sec,1,Latency,Truncated Normal,24.1516
SM,8_per_sec,2,Latency,Truncated Normal,72.5005
AH,12_per_sec,1,Latency,Truncated Normal,70.7429
AH,12_per_sec,2,Latency,Truncated Normal,52.6510
CW,12_per_sec,1,Latency,Truncated Normal,36.1682
CW,12_per_sec,2,Latency,Truncated Normal,39.7831
EN,12_per_sec,1,Latency,Truncated Normal,53.5048
EN,12_per_sec,2,Latency,Truncated Normal,53.0694
FJ,12_per_sec,1,Latency,Truncated Normal,69.8782
FJ,12_per_sec,2,Latency,Truncated Normal,52.9148
PG,12_per_sec,1,Latency,Truncated Normal,39.6807
PG,12_per_sec,2,Latency,Truncated Normal,41.6667
SM,12_per_sec,1,Latency,Truncated Normal,54.4245
SM,12_per_sec,2,Latency,Truncated Normal,62.7949
AH,24_per_sec,1,Latency,Truncated Normal,107.7458
AH,24_per_sec,2,Latency,Truncated Normal,81.2925
CW,24_per_sec,1,Latency,Truncated Normal,7.7515
CW,24_per_sec,2,Latency,Truncated Normal,44.9801
EN,24_per_sec,1,Latency,Truncated Normal,52.3903
EN,24_per_sec,2,Latency,Truncated Normal,NaN
FJ,24_per_sec,1,Latency,Truncated Normal,126.0829
FJ,24_per_sec,2,Latency,Truncated Normal,133.1319
PG,24_per_sec,1,Latency,Truncated Normal,55.8322
PG,24_per_sec,2,Latency,Truncated Normal,48.9576
SM,24_per_sec,1,Latency,Truncated Normal,62.5000
SM,24_per_sec,2,Latency,Truncated Normal,NaN
