Participant,nStream,Confidence,Parameter,Model,Estimate,Lower,Upper
AJ7,twoStreams,High,Precision,Normal,56.7754,40.2917,73.2592
AN14,twoStreams,High,Precision,Normal,64.7394,45.4892,83.9895
BB6,twoStreams,High,Precision,Normal,60.8647,48.0261,73.7033
IK4,twoStreams,High,Precision,Normal,76.3761,44.0112,108.7410
JA8,twoStreams,High,Precision,Normal,72.1940,55.6196,88.7685
LH9,twoStreams,High,Precision,Normal,68.0448,13.6137,122.4760
LS2,twoStreams,High,Precision,Normal,49.9253,27.6845,72.1660
LT5,twoStreams,High,Precision,Normal,63.5716,47.2637,79.8794
RN12,twoStreams,High,Precision,Normal,NaN,NaN,NaN
YZ15,twoStreams,High,Precision,Normal,11.8412,-846215.4721,846239.1544
AJ7,twoStreams,Low,Precision,Normal,184.3323,138.5217,230.1430
AN14,twoStreams,Low,Precision,Normal,87.6274,67.5474,107.7073
BB6,twoStreams,Low,Precision,Normal,82.0325,58.9614,105.1036
IK4,twoStreams,Low,Precision,Normal,88.1033,70.7082,105.4984
JA8,twoStreams,Low,Precision,Normal,107.9905,71.1776,144.8034
LH9,twoStreams,Low,Precision,Normal,79.0505,62.6345,95.4664
LS2,twoStreams,Low,Precision,Normal,88.4237,68.1157,108.7317
LT5,twoStreams,Low,Precision,Normal,71.4720,57.3633,85.5807
RN12,twoStreams,Low,Precision,Normal,51.9606,36.5699,67.3513
YZ15,twoStreams,Low,Precision,Normal,89.9343,63.0096,116.8590
AJ7,eightStreams,High,Precision,Normal,52.5842,41.7654,63.4029
AN14,eightStreams,High,Precision,Normal,55.9855,43.9209,68.0501
BB6,eightStreams,High,Precision,Normal,6.7321,-125.1909,138.6551
IK4,eightStreams,High,Precision,Normal,42.9913,30.6643,55.3183
JA8,eightStreams,High,Precision,Normal,7.6329,-223.1735,238.4393
LH9,eightStreams,High,Precision,Normal,NaN,NaN,NaN
LS2,eightStreams,High,Precision,Normal,9.6673,-505.2344,524.5690
LT5,eightStreams,High,Precision,Normal,7.7332,-261.2810,276.7473
RN12,eightStreams,High,Precision,Normal,2.4785,-11.6118,16.5689
YZ15,eightStreams,High,Precision,Normal,NaN,NaN,NaN
AJ7,eightStreams,Low,Precision,Normal,81.8274,63.3566,100.2983
AN14,eightStreams,Low,Precision,Normal,91.0590,63.0790,119.0390
BB6,eightStreams,Low,Precision,Normal,47.0661,33.7999,60.3322
IK4,eightStreams,Low,Precision,Normal,63.3393,45.4116,81.2669
JA8,eightStreams,Low,Precision,Normal,68.3989,52.8347,83.9631
LH9,eightStreams,Low,Precision,Normal,77.4157,63.9582,90.8733
LS2,eightStreams,Low,Precision,Normal,61.5260,49.8749,73.1771
LT5,eightStreams,Low,Precision,Normal,53.0041,44.7732,61.2351
RN12,eightStreams,Low,Precision,Normal,55.1920,39.2873,71.0967
YZ15,eightStreams,Low,Precision,Normal,53.8986,41.1019,66.6953
