Participant,Group,BF
18AH2,2,2.840051e+11
18GL7,2,1.195674e+05
18HB9,2,1.241377e+02
18JC,2,8.649644e+05
18JG,2,2.119720e+01
18LS4,2,5.244697e+02
18PF6,2,7.341889e+03
18PG8,2,6.487364e+03
18RC3,2,8.193796e+03
18RN,2,4.095387e+02
18TM5,2,7.845378e+00
18TR1,2,9.030458e+19
18WN,2,1.353654e+14
18AH2,6,1.162272e+08
18GL7,6,3.669629e+00
18HB9,6,2.964157e+00
18JC,6,1.906352e+01
18JG,6,9.451469e+01
18LS4,6,2.097329e+01
18PF6,6,3.259803e+01
18PG8,6,3.442045e+02
18RC3,6,3.602695e+00
18RN,6,5.660414e+03
18TM5,6,9.817948e-01
18TR1,6,1.330732e+01
18WN,6,2.417328e+00
18AH2,18,2.421787e+00
18GL7,18,3.951457e-01
18HB9,18,4.461697e+00
18JC,18,1.230569e+01
18JG,18,8.438308e-01
18LS4,18,3.082423e+01
18PF6,18,2.050117e+00
18PG8,18,1.285418e+00
18RC3,18,1.163231e+00
18RN,18,6.935899e-01
18TM5,18,3.319686e-01
18TR1,18,9.928155e+03
18WN,18,7.712941e-03
