experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	nStreams	eccentricity	polarAngle	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	timingBlips
main	0 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	W 	B 	0.0 	3 	0 	7.0 	XHFOBSRAKJCLMEQZVPYUWIGDTN	ZLMHAUPXRTKQEYIVBNWDJOFSCG	JVSTXRNZBAGOQDIEFULMPKWHCY	OMSGRDBXVTAKZWJICQFYUEPLHN	ALJZMVYIOQFERHSPGWDKCTNXUB	AGDUMCILJEVZBOSHYTWNFRQXPK	4
main	1 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	P 	S 	0.0 	0 	0 	2.0 	GCQIFBSUPYVODMXEZHWKJNTARL	BQSICLXPJUMZVDETRGFWAYKNHO	LMBIHERNDUWJPYOSCAKTFQZVGX	PWTHVUCJMYRENDOZGAQIXKFLSB	ZLQFHERBVPIGOUNCWJXKDTSYMA	VDJCXLQGNWEZFPSTOKUMARIYBH	2
main	2 	CLExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 120.0 	E 	X 	0.0 	1 	0 	1.0 	HBCJVKDYFMRENZPIXUOWQTALGS	WLCGBNHOXEQTRKYZFPVIAJDSMU	-99	-99	-99	-99	0
main	3 	CLExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 60.0 	S 	J 	0.0 	0 	0 	1.0 	CEYHAGFJSUKQZVTDWOXLBRPNMI	WGNZFAOMECXSIDLRBTQPYHVJKU	-99	-99	-99	-99	0
main	4 	CLExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 60.0 	X 	W 	0.0 	1 	0 	2.0 	KWXJYSCIHORQTGMNZAVPUEFLBD	TVEGDCRWHXYOKSQNBAUFJLIMPZ	-99	-99	-99	-99	0
main	5 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	X 	Y 	0.0 	2 	0 	1.0 	JYECWLURMASZFVIOGHXKNPQBTD	AMHIWRCQDETVONXSLBYZPJGUKF	DFZHUPOAYXIJKNCEVTBQSRLMWG	ZYQJFAEHTBDRSCWMKXUINLVOPG	KOYDFQJULBTEZMCRVXAIPWHNSG	ODZMGYJXRANBSUQPVWTHCKFEIL	0
main	6 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	C 	I 	0.0 	3 	0 	1.0 	OEPXBGCHRKLVTWDQMYUZIFNJAS	LFCIRTSAQZHWXKDOJUPBMYENVG	YKMCWIRHLBUDGEOJPQZXTNSFVA	TAVGEPFRYXICHJSWUKBDOMZLQN	YXQCGHTWSOUPVMNKZEIFDRBJLA	RBWIXTMPGFCUZEDYALQNOJSVKH	1
main	7 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 60.0 	P 	Y 	0.0 	4 	0 	-6.0 	BFWHYXQMORKVDLUJTZIGANPESC	YTZSLVKXCHNGJURDQOBWEFMPIA	XSMJDCRQYBVZFUOETGALWHNKPI	KVPRBCUDMFHZWJSNTIAYXOQGLE	PMBSZCYUAGHEDQKTJFRLONWVXI	QVBMCZEDLPHXUKTWRJFSOYNIAG	1
main	8 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 60.0 	G 	A 	0.0 	1 	0 	2.0 	YEXFRDBMTKCWUIANHVSOPQLGJZ	UILYHEWDAPGOQMXVCNKZJFTRBS	AVGESXPNDZTFBOLUKQHIJRWCYM	SRDXLYMOUWKVBCFTJHEQIGAZPN	ZWJOBLNPVTDAIYEGUQHCKSFRMX	GJASFCTYVXNMROWHBQZIPDLEUK	0
main	9 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	X 	N 	0.0 	2 	0 	-7.0 	TWOCUSAILVJKDMGBEZFXRHNYQP	SDYZFXLBWHIJMRAVPKOQENTUCG	JYXBIGKWCNVAUFPZERQSLDMHOT	FBXWHLVKINEJTADPRSMOZYGUCQ	MSQVFCUNRWGYXDOJLPKABEZHIT	UJRKOLTWGAZYXNQHFDICEMVBPS	1
main	10 	CLExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 120.0 	W 	Y 	0.0 	0 	0 	-1.0 	RBTVKMZWYFXPOUJDSQILEGCNHA	RAKYXHBVWDCPMJZQTOLUEFSNGI	-99	-99	-99	-99	0
main	11 	CLExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	A 	A 	1.0 	1 	0 	0.0 	CNYRGWMSIUPQKZTVOBFHJAELDX	RZOWLTAQXYGMDCVSBEKIPNJUHF	-99	-99	-99	-99	0
main	12 	CLExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	M 	M 	1.0 	1 	0 	0.0 	KPBQWOMNYALXZDGJTISHUCERFV	BPFISWJYLMNUCQKHRTEDZVAXGO	-99	-99	-99	-99	0
main	13 	CLExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 60.0 	X 	W 	0.0 	1 	0 	1.0 	WYHSLICMUJFKQZBRXAPEVTGNDO	VJDOMZWXTKQPBCESRGAIYUFLHN	-99	-99	-99	-99	0
main	14 	CLExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	D 	C 	0.0 	0 	0 	2.0 	LGSVQURMECKDIHNTAFZJWBXOYP	FGVOPSKWDIJHNUTBRYXQCZAMEL	-99	-99	-99	-99	0
main	15 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	G 	F 	0.0 	5 	0 	5.0 	MKPGWRIVLFANZHUJDTOYSQECXB	MQBXIRGJSDUYOZFCTLWPEHVKNA	NDHCOUPXQZBJWTLIVAKRYMFSEG	KBZRQYFAGWCXISHMPTEDOJNVUL	TYEFODNXJHBGUCWAZLQIRPSKVM	EYBKAMFQHIUGJZWPNOXRDLVSCT	1
main	16 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	G 	T 	0.0 	0 	0 	2.0 	WXFEJUDRZNTMGHBQPVKOACYSIL	ARMPVUNJZBLDKTWHEQGSOYFIXC	AQCMVONKGSIUZRWDBYJPETXLHF	PETSAULOQHMNJZKVFBIRXWDCYG	ELIVCFWHSAMYKGQNTOJXURBPZD	WHQGIOPVKEBRNYCLUDAZXFJSMT	0
main	17 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	P 	V 	0.0 	0 	0 	16.0 	ACGOQXEHYVKBDTWRUZFNJILSMP	GQMJLSPYEWHVDXTUINKOBZFARC	TCPRDSOGAJXVEZIHUKBYMNWLQF	YQGZPJAIKMCHOLDUBEFRXNWVTS	JWTRDUXCYSQZVBMOGLFKAINHEP	BDOAIJVNPSHMZGCXFTUQWRKLYE	0
main	18 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	S 	O 	0.0 	2 	0 	1.0 	PNSTRZQLHFIVMUOACXWKGBYEJD	WOLSJXZIPRQAUVTKDMHGBEFYNC	ARZILCOSYPUNBMGDVWFJKXHETQ	CXMKJEBGWDYZLVANPRQFISUOTH	LOKHMJFVTPCZYXERSIDGWUANBQ	ZPSMCWVHOLKTAFYBQUGIJDXNER	3
main	19 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	F 	F 	1.0 	2 	0 	0.0 	EKCNVTBZJSMUHYDPOGXWIAFQRL	APIMGTQCSKEUJDWOHFVLNXZYBR	USYZMKAXWCFHPDJERLQBVOGITN	DVOJXHABRGFIEZUTYSLPCNWMKQ	IEYKMDBFHLPNAQXGJRUCTWSOZV	ZNCMEDLUXQVPGJHTAFIBYKORWS	0
main	20 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	C 	G 	0.0 	3 	0 	1.0 	FLDXBANEOGJIKZHSVTYWRPQMCU	SHCIPMFLZQVXDYJNKTURAOWGEB	QHKDCOIEGBMAWNPZXRVUYFJSTL	LFYTKSJZGCMPUNHRQIEADXWBOV	PSCQTAIFGVWNDLUZEOHYJXRBMK	GAWNLJXKHVERTUICMYPBZQSDFO	0
main	21 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	O 	O 	1.0 	5 	0 	0.0 	PVLBJGTDIOSXARCNWYUHKMFQEZ	HTOYRUJMSFVPGLKDIWXQCZNEBA	ITRSKNOBDZHMFPQYLGXUVWEACJ	QNJGEAHIWUPOSBLKXTFZCMYVRD	QILMWGOKFYTNBEUAXZHSJCVRDP	JPVDEZYTNORICWMBAXKQSUHLFG	0
main	22 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 60.0 	W 	O 	0.0 	1 	0 	12.0 	JETZRBOIHUDQPFVCAWXKSNGMLY	NBXTQMEUZOHVGRSDCLYAKWIJPF	VGOZJMPBIRTDFQAESCWLXYNHUK	SNWKAILMVFORHPCTBEJXQDUZGY	KMBTUEXGADNOLZQCYVJFPHWRSI	HGAZSTBPFWUVEQORNXCDMIKJLY	1
main	23 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	C 	L 	0.0 	0 	0 	1.0 	TABMPHEQLCIVJNUZDRKFXWYSOG	REMHSIADXFBPZCJLYGQKVOWTNU	RBCLFWGOMTVQJKAYPDHZUSENXI	ZOSLTVARHKUCINWJEXGDQMFBYP	AEWNOPHVDIYCZFJSRBXKLGQUMT	QSPHIUDOTEXMNKRGLAFZCVYJBW	5
main	24 	CLExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	P 	U 	0.0 	1 	0 	2.0 	ALFTHEVNGXDWJMIOUBZPRCYKQS	IRGZTVBFWOUJPHDSNYKAXELQCM	-99	-99	-99	-99	0
main	25 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 60.0 	G 	V 	0.0 	1 	0 	5.0 	SLWEXAFCYGJRKUQPDITHNBOMZV	OCUEWMAVZDPTGLNJKXYRQFHSBI	RBMVWJDUGEKSZYFPNOTILAHQCX	ATSWHMILKCYPUDXRVBQNOGFEJZ	CJGRVPLMNIHTQBOYEKSZUFDAXW	FJXLAKMBTQPRZIDWYOHCEUGVNS	3
main	26 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	N 	N 	1.0 	5 	0 	0.0 	QRPDZWOMHTYJSIXUEFAKLBNCVG	VBYPRNITQJOUEDSWCHZGXMLAFK	LJESPFMIUGNBHROWQYVXZTKACD	RUEQVGSCFPXBTOADJLYZKNHWMI	SBWCMVJYQXGULFTRKZAHNPIOED	HTGBEWCNJLURXDYZIPOKMVFSQA	2
main	27 	CLExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 60.0 	O 	Z 	0.0 	1 	0 	1.0 	DYXNFRUIOTALBCZEHGVJMQSWPK	GJXPQNFYWKZOUATRDECLBVISHM	-99	-99	-99	-99	0
main	28 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	R 	A 	0.0 	2 	0 	6.0 	JNLPOWTAKHZQMESIYXUFVBGCRD	SVTQFADWOCUXBRZMNPIYEJHLKG	NOHKFUTAWQBVSRGPMEIJYLXZCD	RLZSMXGHQOUTDVJCPBEKFYAIWN	HWORUNILVKCESTDYGAPBXZFQJM	JVKHRGXCNFBIMTULODQEPZWASY	1
main	29 	CLExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 120.0 	G 	S 	0.0 	1 	0 	2.0 	EOZYFNJUMRHGATPSKQVLDBCIXW	AQRZKWLPBSCGJIUTEVFOHYDNXM	-99	-99	-99	-99	0
main	30 	CLExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	W 	I 	0.0 	5 	0 	-3.0 	YGKHISNXFOJVLTEUMPCRDABWZQ	BUZOCKINJDGEHYVWSAXQRLTMPF	PNEYQIBMXCTJDHOKRWVZFSAGLU	BDNTUXKCGSELVAPYIWFOMHJZQR	HEAZMFYGNRPOCWJXULSTKQDVBI	TDOXYWFHIKSBJAGVLRCMPUEZNQ	1
