experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	nStreams	eccentricity	polarAngle	cueType	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	timingBlips
main	0 	PK2ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 60.0 	 exogenousRing 	U 	R 	0.0 	1 	0 	4.0 	LMFWQOGRNDIUZKHCAPSYXEVTJB	EISFPYQTHDRLKJUCZBOWVGXMNA	-99	-99	-99	-99	0
main	1 	PK2ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 60.0 	 exogenousRing 	W 	P 	0.0 	0 	0 	-1.0 	CVHTJZDWPXKSMLNAUBGERQIYFO	KTINWUCVZFXJMLPSQBYADHGREO	-99	-99	-99	-99	0
main	2 	PK2ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	 exogenousRing 	W 	W 	1.0 	3 	0 	0.0 	OFRSQBVLENJXITGCAHDWZUPMKY	QVXMASJYRFCZIOHUWPLKETDGBN	SKEAIYWOMFRTQJDPNUHZCBGXVL	SZJNIEFCWXPHUMAOKLBGQRTYDV	PRIAOESZBMGUTLXVDWHYCKJNQF	ICFWPKXYTOEJAMGBVNDHULQZSR	1
main	3 	PK2ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	 exogenousRing 	U 	D 	0.0 	2 	0 	2.0 	FOQTKPJAIGLZUEMVBRHWNSDYCX	EWKCIQPAOYZBLRJMUGXVDFNTSH	SIWAZXOYHDTUPELKGQBRNMFJCV	ZDWTUEPXMNJCQKOYRIBVSGHLFA	ESWMXAZNLQDTURHFBKGJVCYOPI	NXQYADFEPZKSRLITGVJMCHUOWB	1
main	4 	PK2ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	 exogenousRing 	W 	W 	1.0 	0 	0 	0.0 	MZIGAXYTWCLFJDBHSNREOVQKUP	WQVZLGNMPKCFBAUJODXEHRTYIS	-99	-99	-99	-99	0
main	5 	PK2ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	 exogenousRing 	B 	B 	1.0 	0 	0 	0.0 	OKYQRHBWCIAEXZGFTJMUNPLVSD	CEURSNTPQZBDHYFOVMLJKGAXWI	-99	-99	-99	-99	0
main	6 	PK2ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 60.0 	 exogenousRing 	E 	C 	0.0 	4 	0 	1.0 	EXDVPHJUAOZBMSNKGYRFWLTCQI	KMEPFIZHDVYCLAJUSNTROGWQBX	BCDFYOQTILVAHPGMUZKEWXNJSR	WZEANDIHRGSMLVOJCPUXKYQFTB	XRZTAPKFCEWMSNBOGIQJUHLYDV	SBRZFHXVPCJUAYMWKEILDONTGQ	0
main	7 	PK2ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	 exogenousRing 	H 	Y 	0.0 	5 	0 	-1.0 	BRLJVUFPSATKQXEHGZCOWDINMY	IMHACFZYGBSLXUQNVKWEPDORTJ	HXETNLVWFOUAPJKCBRMZIQYSDG	FREDAOVPHJQWGZSINBMYUCLTXK	MNJQBRALTYDESWIZPKXFUHCVOG	VTBNSWIJKHYEPGFZXCQLADMROU	0
main	8 	PK2ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	 exogenousRing 	M 	M 	1.0 	3 	0 	0.0 	XILVYRHSPCDFTKUOAJQGEZNBWM	PACSDLYXHRMVJFBUEZKINOQTWG	ZOTEQCVBRMXYUJSLHAFKDNWIGP	SWPTQVLYHMIFCRUJEXOANDGKBZ	MQOBECFGUKNHZWSYVIPJTXLRAD	PXYIUBQEACMVZRSNTKOHWFDLJG	0
main	9 	PK2ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	 exogenousRing 	G 	G 	1.0 	0 	0 	0.0 	WHTVIRFAGONLXKBUCMDJYEZSPQ	ENKAZYHLRBPWQUFOXGTVDIJMSC	CWDEZQLYVORTUANXBMHIGSJFPK	STEHIZJPCFXOYNKLQMBRAGDVUW	HOBAZFKGUJWNELVMCPXRYQTIDS	JQINAEUVKFYTPCDSOMHBWLRGZX	2
main	10 	PK2ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	 exogenousRing 	X 	B 	0.0 	1 	0 	1.0 	BOHXWZMYIJLEUKCTPFDASRGNVQ	JAHIPYCROBXVGZUWSQNLMKEDFT	-99	-99	-99	-99	0
main	11 	PK2ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 120.0 	 exogenousRing 	G 	K 	0.0 	0 	0 	-6.0 	ROGALQPJKICUFSENWBMYDZHXTV	IEOTVRFGHMLACXZUYQJNKSBDWP	-99	-99	-99	-99	0
main	12 	PK2ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 60.0 	 exogenousRing 	W 	J 	0.0 	4 	0 	1.0 	ZDORWMQPFSXHABVGTNLIKCUJYE	VGLXJKBQAHNZDMRWTUSCOIEFYP	NLZWOEGVBIRMKPDFYJXSTHUACQ	LOAQFKMUCHTWZNBXYSRVIGDJPE	NFEGUCOXHJWPQBIATRLMKZYDVS	KTXMIWGDCEQOBHZLSUYVNJPRAF	0
main	13 	PK2ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 60.0 	 exogenousRing 	G 	G 	1.0 	1 	0 	0.0 	CYDVJXKHTLSGWIANUEQMZPOFRB	WRCHZUAXGQKYSNBMFJPEDTLVIO	-99	-99	-99	-99	0
main	14 	PK2ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 60.0 	 exogenousRing 	A 	A 	1.0 	0 	0 	0.0 	UZINTCALSXQJFBKYPMOEDGRVWH	WHMEZXCSUATBLOPQVGIRNDKFJY	-99	-99	-99	-99	0
main	15 	PK2ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 60.0 	 exogenousRing 	S 	R 	0.0 	1 	0 	2.0 	QRZGEDHXMNAPKWLSFICVOYJTUB	GQAOHLTKVRJSZCXDFWYIPEMNBU	FMXTORHBAEKGVYWLQPUZCINSDJ	GQPWLNZTBSYJRHOCXMAUVDFIKE	MZBLNAEFPICHTJYGVQKOSRXUWD	RGTFCJWKUMOZAVQBSIDHPNYXEL	0
main	16 	PK2ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 120.0 	 exogenousRing 	G 	L 	0.0 	1 	0 	6.0 	NEPBQKSZAIUTMYRWDOVFXLJCGH	MYSPCOJLADBITGXKRZUEHWNFQV	-99	-99	-99	-99	0
main	17 	PK2ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	 exogenousRing 	R 	Z 	0.0 	5 	0 	10.0 	GPQCLDXVYITMZNSFHJUBWRAEOK	XNOMPJRKZUDLHVWBGEAISTYQFC	GYITLHDWCEFKVQZMXUSJAPBORN	IKLGOQBAUHNDVZYRTPXFEMJSWC	TUXBGQMLDYSNIOCVAEKRZPJHWF	AKYIVUOZDMCQSLFEBRPTNJXGHW	0
