experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	nStreams	eccentricity	polarAngle	cueType	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	timingBlips
main	43 	CT1ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	 exogenousRing 	E 	H 	0.0 	5 	0 	1.0 	WLYCMITOVNDRHXEGFQSJAUPZKB	CBSURYTJFWEAZDIMPOLQXHVKGN	FANDWXCSVGBHOZJIYLEQKTMRPU	SRGAKELINYMHUDFTXWOPQZJBVC	HRDKATNFUEZXWMVOGPCJYLBIQS	KAWBUVIXHEZSPTCGFJMDORLQNY	0
main	44 	CT1ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	 exogenousRing 	S 	Y 	0.0 	3 	0 	1.0 	EXWGLYOBDMVAJTHQKPRCSZFNIU	RXECVNAKWUQPIFZHGMJSLYODBT	XSWZMAJIULODCRHTKGEPNFBYVQ	NQRTPZXKUCYSMDWLBVGHEFAIJO	DIPSAUYHGWKNZRBQOXMETVFLJC	WTQBHEXOMAUDIVFYRNGLPCZKSJ	0
main	45 	CT1ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	 exogenousRing 	W 	Y 	0.0 	0 	0 	1.0 	DLQCNVYWKTAJIUHXZMFPBGSERO	FJVPQCYEASGHUXINOWTDMKBRLZ	-99	-99	-99	-99	0
main	46 	CT1ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 60.0 	 exogenousRing 	N 	U 	0.0 	1 	0 	1.0 	NOQKTSFEJWVBHILMUGDZPAXCRY	HADBKGUNZVMTCYWEXPFSRJQILO	MWIGFXSCQZEKATHURNYLDVPJBO	PIHDRGNWVKSTXEJZYLMBUFOAQC	HZKTGXAUCDBSJVYMQFLRNWOIPE	LKZPBNOIAUXECTWSGVMYRQFDJH	0
main	47 	CT1ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	 exogenousRing 	W 	M 	0.0 	5 	0 	-9.0 	DSKNYERVAQCFMLBUJIHXZWTGPO	HEGDVJOSMZUFWAITBCXRPKNLQY	PEUFGSJYMKRICDOQVABNWXLZTH	EHIWYUORKAVGJBQMSTXFZDPCLN	CTQNVLYIREBGMPKFWDAJOHUXSZ	WNSPIOKZHMEVRQDFGJLYTAUCBX	0
main	48 	CT1ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	 exogenousRing 	W 	L 	0.0 	3 	0 	-1.0 	IWTRNKHBOMZQXELJYAGDFVPCSU	QWMTXZGNFRLPBOAUKSCDYIJVHE	NKBDUQGZLMRXOSHPVAIYFJTCEW	MCYEVHZWLIDXOKRPBTFSNQUAGJ	CBSJZDAIVPLRTQEOXWUKNGMHYF	ZWYUMRONKAIFDLTQBJGCPXHSVE	1
main	49 	CT1ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 120.0 	 exogenousRing 	N 	H 	0.0 	0 	0 	-3.0 	PFSNCYHZMOJEVRQIGXLAWKUDBT	WBPEGSRCTNIVQZLJOFKXAYDMHU	-99	-99	-99	-99	0
main	50 	CT1ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	 exogenousRing 	S 	O 	0.0 	0 	0 	1.0 	ECJHXGMAOSNLRQZFTKDUBWVPIY	RKIWBULHQZGNPJMVDTSAXECYOF	-99	-99	-99	-99	0
main	51 	CT1ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	 exogenousRing 	M 	O 	0.0 	0 	0 	-3.0 	LJSPMRWOITEXUGHDFZNAYKVBCQ	KUZIDHNSVTCQOFMGEXJBAWYLPR	-99	-99	-99	-99	0
main	52 	CT1ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	 exogenousRing 	M 	I 	0.0 	0 	0 	-1.0 	PWTYFMIVCKGRZJQBDNLXOHAEUS	EZPCMJNRKGLUYBXIAODSVTHQFW	WBRHCKEOGUPVNLQFDAMTJXSYIZ	QXMDKGESAVNIRCYWOJUZLTBFPH	QYAPHBOJVXDISGWFMRZUKTNELC	NSXBRHYOKLGDMAUJCTFZVQWIPE	1
main	53 	CT1ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	 exogenousRing 	E 	E 	1.0 	5 	0 	0.0 	BOWYKCZNLPHTMSUJFQXVRDIGAE	PKGLWRQEJBNYFDUIVCXAMTHSOZ	LHUKBXODJTMNGCFVAIRPYWZSEQ	ZURFEKBDCGOLQYNJXIPWASTHVM	GKOCZWIVRTSXHNFJEMPULDAYQB	JMLZVNTOAKEIQDXPCYUGWSRHFB	0
main	54 	CT1ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	 exogenousRing 	R 	R 	1.0 	1 	0 	0.0 	RZPCYKIVUTNGOMXABWSLHJEDQF	IXFDSMTUYRQKVWJAGOPENZLHBC	-99	-99	-99	-99	0
main	55 	CT1ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	 exogenousRing 	C 	D 	0.0 	1 	0 	1.0 	TAHBFKPUJXQMGISLOVDEZYNRWC	KPZVEMDCJRXTFBUWGHOLQSNYIA	-99	-99	-99	-99	0
main	56 	CT1ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 60.0 	 exogenousRing 	D 	C 	0.0 	1 	0 	2.0 	IDTMKJWGFSEUZHXCRQYAPLNBOV	KFRGBWMHCQDAOLXNSYPJTEIVZU	-99	-99	-99	-99	0
main	57 	CT1ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 60.0 	 exogenousRing 	A 	L 	0.0 	1 	0 	1.0 	VMQIRTSGPLKJDECZOABHUFYXWN	HIEKCRWLAZMBOPSGDFNVJUYXTQ	MKBGEFHVAXCURNYZSTLJOIDWPQ	JOUZRMLQNHISXYEVKPBDGTAFWC	FOGPWXSBVAYIQZNKRUTJLHCDME	ETOBFJNIARQCSDUXLYGKHPVMWZ	1
main	58 	CT1ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	 exogenousRing 	Z 	C 	0.0 	0 	0 	1.0 	GTWQLMXUANCZYDVORJEHSFBIPK	DBXNYIQGAZUWRCPFOKMJEHVLTS	-99	-99	-99	-99	0
main	59 	CT1ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	 exogenousRing 	C 	H 	0.0 	2 	0 	1.0 	WYVGUTNESMDLORXHCBKIPQFJAZ	SJADLUGZYVMXCFQPTOWBHINEKR	MTGYJXAIVLHCRZENOPWUBSFKQD	EOUSKTPVFNIMHJQAWGRYLZBCDX	UTPMYDIQKXBAERNVWGZFCJSLHO	NXQWORKAFJPHBTSVEGUCIDYMLZ	0
main	60 	CT1ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 120.0 	 exogenousRing 	F 	I 	0.0 	0 	0 	10.0 	LZKBYPIETOCQAXRGFMDSUHJWNV	EWKGZDNLFBMAUQVTSYCJXHPIOR	-99	-99	-99	-99	0
main	61 	CT1ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 60.0 	 exogenousRing 	B 	B 	1.0 	4 	0 	0.0 	ABFWLYNPGTDRSZCOXEJUMHIKQV	TRPEOJWNIFHGZAYBSXLKCUQDMV	URHOQEXNDPLKIFSYTWBGCZAJVM	QZGHSKTFWBDLJUPRYNIOAEMVXC	WGRUKQCBVLHOPAJDXINYETSFMZ	HWDQZARSPTXGLOYVKMEBNUJFIC	0
main	62 	CT1ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 120.0 	 exogenousRing 	U 	U 	1.0 	1 	0 	0.0 	XKTWPJOMHNUGLRIFSDVZQEACBY	LOKGQVUIDWNXCRYHFBMJZTPSEA	-99	-99	-99	-99	0
main	63 	CT1ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 120.0 	 exogenousRing 	R 	O 	0.0 	1 	0 	-1.0 	MKVBZXYJIHRCDELAUOTQFWPSNG	ZXLVWPYEROKQDMTHBJFGACSNUI	-99	-99	-99	-99	0
main	64 	CT1ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 60.0 	 exogenousRing 	M 	C 	0.0 	4 	0 	4.0 	HLXFJYWMBZKTIAQNDGVSEOUPCR	SRZAFKMJWIUDBQXLNCPHYEVOGT	JQSXHTUGZOIYVALPDKBNWEFCMR	ICGMVHQNYLEJZBRWTUOFXPDSKA	UINZAKJDVYCHTLMOGXQPWSEFRB	DOKCXAWBQRELVPGTNUMIJZHSYF	1
main	65 	CT1ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	 exogenousRing 	P 	V 	0.0 	0 	0 	1.0 	OFKRJSNDVPMWCLATBUZIGQEXHY	MXBHKAEGSRVNLIYDOFQZTPJCWU	JCFUXDWSAEHBLNIORKPZVGYMTQ	WEHVOYUFMXCNAJIBZGTSQRPDLK	BNMCJWVSGRHDOAKEZYLUPXTIFQ	QKPHLYCEUTJIBMSZNAXFDOGVWR	2
main	66 	CT1ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	 exogenousRing 	M 	M 	1.0 	0 	0 	0.0 	UPXOVTLBNSMGCQJWKRYEDZHAIF	CQYIDXTHLVEPFBMUJGKSONARZW	-99	-99	-99	-99	0
main	67 	CT1ExN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 60.0 	 exogenousRing 	G 	N 	0.0 	1 	0 	1.0 	GCJBPYWOVTAIXKLMRDEFQNSUZH	MDABLIHNGWSYOEUJPFRCXTQKZV	-99	-99	-99	-99	0
main	68 	CT1ExN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	 exogenousRing 	P 	I 	0.0 	0 	0 	1.0 	RSOKFVJNDIPXQBUAZMHYELCGTW	HNIFEYOVAXTSRMWPCLZKQBUDGJ	TCPKFEWUMQOYVZBLRSIHGXNJDA	STJGNBOZHIPALFQMRVDWKYXEUC	LCPVXFNIOBAJKTQRHDYUSZWGEM	JXKBEHFVSCYAPORDLUZWNMITGQ	0
