experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	nStreams	eccentricity	polarAngle	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	timingBlips
main	0 	CLEndN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 120.0 	H 	N 	0.0 	0 	0 	5.0 	KPAGTSWLNXYJQHFMIVDOURZECB	ZQXRTVPFINGBKJWLCUADOSHMEY	-99	-99	-99	-99	0
main	1 	CLEndN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 60.0 	S 	R 	0.0 	4 	0 	3.0 	ANCHJULWBXEKDTQMOYZGPRSFIV	BPWSRVYIJFQTOLZEKMUGHNDXAC	FOEZINWLBMGQHYVRCJXKUATDPS	XOLRWDSNTIBZPHJCVQUEKAFYGM	VWGICQRKNSEHXPYJLMDTUOFBZA	MKGEOSUQTBCIYVFJXLWHARDZPN	0
main	2 	CLEndN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	D 	O 	0.0 	5 	0 	2.0 	NRDEPYGLAMHSUIZWVJBXFKTQCO	BYNHMOXSZWQJGUKCDAIEPTFLRV	FDLHSBCMJYNRXOZETUQGVAKPIW	FRZJNBDYASVUGIHXPTCLKQOEWM	GVLRSEAHMWZTQFJXCNIOYUDPKB	QBFSAWRUOZDIEYVLMNGPHTKXCJ	0
main	3 	CLEndN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	X 	J 	0.0 	3 	0 	4.0 	SBAEWCJLYPTIQVXKZNUFRHOGDM	BSEOYKHQCNJGWVRXZMAUIDPLFT	YIBUWDKXJQZRSVLCOFEGMPHNTA	ROQFKBEIJYLMXPDCGSVHWUZTAN	PZISKCLNHMEJBQTDXVOYWRUGFA	UJTLKRHYMDSFNXIOZVGEACQWPB	1
main	4 	CLEndN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 60.0 	F 	N 	0.0 	4 	0 	13.0 	MYTQRWIOXUKAVEJDSLBCFZNPHG	BCUDXMAIRLEJQGHNZKTOVFPSWY	QKLOGXFRATMPISNEWZJUYDHBCV	VAWDOTCPJQRLESZYNFMGKXIHUB	PKWOYGEANXLZDQTMUSCJVFBHRI	EPRLXKIOJYMDQSWBNVFZHCTAUG	1
main	5 	CLEndN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	E 	I 	0.0 	2 	0 	3.0 	NVKDFLXWTAOGBSHUQJMPCEYZRI	LJVHPTUBMKRECWOGNZASDYFXQI	JNZPQKIDWEALHGTSCFVYRMXBOU	WZMCDLKTVYFESUBRPAJQGXINOH	TMGNJYZOISHLVFEKARXCUBWPDQ	HBDQKPJWLIFGZAUXEVMYNSRCTO	2
main	6 	CLEndN6 	 oneCued 	 0.0 	 left 	 2 	 6 	 0.0 	X 	G 	0.0 	1 	0 	5.0 	UREPFHKWSQXALJGOTIMNCDZYBV	SCFATYPGHMNRXBZQKWIVULODJE	-99	-99	-99	-99	0
main	7 	CLEndN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 0.0 	G 	N 	0.0 	3 	0 	5.0 	CZAUFRIWGYTBHENMLDQJSVPOKX	QKBOFEDAHTXNZGWVMYPILJSCRU	MJLEGCFAOHRWPKQSDBXTVZNYUI	VSLMTORAKUNZEYDGXHPWJIBFCQ	TDJVYISCPAQNRZHOWFMBLXKEGU	NRMSZUXOJCKTVYFDQEPHILBWAG	2
main	8 	CLEndN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 60.0 	A 	K 	0.0 	1 	0 	5.0 	STNKBWXOCYLPVDIUGQEMJRZFHA	UQCIFPWKLOHGATMBDYXJVZNERS	SORHFVNPCLZEQGIMYTDJWKBUXA	WLRDHOEZQVYKUPTXIJMFGNABCS	DOKFTZLHXBMQYEPIGRUWSVCNJA	UOSHFNTZRDXQMBVGJWELPKYACI	0
main	9 	CLEndN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	P 	D 	0.0 	2 	0 	4.0 	SAFKDQXGVUYTCMLWIJRBHZNPEO	COIJMSYZXABQWKHTUPGNDRFLEV	GXAFQIBNDKMZPJLHEYTCUOSRVW	UVNMHAZIWRCYLDTEPGOJXSKQFB	WIRDETCPKOGLMXSHJYFBQANUZV	HIRUFCSZTDYLMEPKBOGXVAJQWN	0
main	10 	CLEndN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 60.0 	M 	C 	0.0 	1 	0 	3.0 	TVYIOXPCSLMDUWGBEJZANQKRFH	TUQWRYBAZCJDMGOPVENXILKHFS	XVZARKSNPGITOBEHFDLCUWJYQM	KRZTCWNGLOESAJYMBDPUFVXIQH	RKWPFDXVCTAGSNEMHQOLZIUBJY	RPUJAWOHTYDNCBVIFGLESQZXMK	0
main	11 	CLEndN6 	 oneCued 	 0.0 	 left 	 6 	 6 	 120.0 	C 	T 	0.0 	2 	0 	3.0 	AGQFBNCYWUXEKLMISHZDOJRPVT	AOGTUWMBSKECQHRZPJLVIXDFYN	AGRIDOKXYSTZWCBFUPQJHVMNEL	GOSRFCYMVZTWLIDAHXPQNEKJUB	IMBVKRSCZEOGJHNTUAPYDWLFQX	RCDIVXWTQKNLGBFUMJHOAEZPSY	1
