"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"crowded"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"	"eccentricity"
"main"	0	"CharlieWiderBouma"	2	1	"Bouma"	"M"	0	7	"T"	"False"	0	30	0	0	0	2	"VLSAGFNTQMJBPDXIZYHEORKU"	"ILOVRTEBKFDGPJNQHASUYMZX"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	9	7
"main"	5	"CharlieWiderBouma"	2	1	"Bouma"	"A"	0	7	"X"	"False"	60	270	0	1	1	-2	"AKELFGPRVZNISQHOXYDJUBMT"	"PNTHUAOXQDRLJMYFGIVBKESZ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	5	7
"main"	7	"CharlieWiderBouma"	2	1	"Bouma"	"R"	0	7	"S"	"False"	0	210	0	1	1	1	"GAYSEIJXTNBOQKUDMZRHFLVP"	"IQUXETYSRONAHZPMDLKBGVJF"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	8	7
"main"	14	"CharlieWiderBouma"	2	1	"Bouma"	"X"	0	7	"K"	"False"	120	150	0	0	0	-1	"PEJIOHXKRYQVMLZDNAGUFSTB"	"QPLZYDNXAUJHORGTVEKIMFSB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	6	7
"main"	16	"CharlieWiderBouma"	2	1	"Bouma"	"M"	0	7	"X"	"False"	60	90	0	0	0	-1	"NEHLKQMXPAIBORTYVFSJGDZU"	"UALISFJNROZYEXKMDHPBTVGQ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	6	7
"main"	19	"CharlieWiderBouma"	2	1	"Bouma"	"D"	0	6	"L"	"False"	0	30	0	0	0	-2	"MZJXDBLNQIFEPUTOAGSHVYRK"	"MYZARKTLFUDJNPBIHGQSXVOE"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	4	7
"main"	25	"CharlieWiderBouma"	2	1	"Bouma"	"E"	0	10	"F"	"False"	0	210	0	1	1	-2	"IZHGETBDPUMXRANSOJYKQFLV"	"YNHZJTUDEMFBSPKVAXQLRIOG"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	8	7
"main"	26	"CharlieWiderBouma"	2	1	"Bouma"	"M"	0	10	"N"	"False"	0	30	0	0	0	5	"KPJVXTDLSQNHFIOMBYAUZRGE"	"TNASRLFJIDOUQXVHBPGKZYME"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	15	7
"main"	28	"CharlieWiderBouma"	2	1	"Bouma"	"F"	0	8	"S"	"False"	60	90	0	0	0	-2	"ZQUPNOFTSXBKHIDLRGAJYVEM"	"QIRBOJENFDTZSUPKHLGMAYXV"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	6	7
"main"	29	"CharlieWiderBouma"	2	1	"Bouma"	"F"	0	10	"Y"	"False"	60	90	0	0	0	2	"AVUZBMHOQNYXFSDGLPJKITER"	"QYBXHZDTLASFNJVUOPERIKGM"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	12	7
"main"	30	"CharlieWiderBouma"	2	1	"Bouma"	"U"	0	9	"O"	"False"	0	210	0	1	1	10	"YINDMURKLXJGTHESBVZQFOAP"	"SRMHVEZDJOAQPFYLTNIUXGKB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	19	7
"main"	35	"CharlieWiderBouma"	2	1	"Bouma"	"F"	0	6	"N"	"False"	120	150	0	0	0	1	"VBYUKRNFGPMOJAXHDEQLIZST"	"MQOXEYRKHBTIPSNLAUVGZJFD"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	7	7
"main"	36	"CharlieWiderBouma"	2	1	"Bouma"	"M"	0	9	"M"	"True"	120	150	0	0	0	0	"NIJXBHZVYMLOSPRAQKTUDGFE"	"VUYZFNIXJPKDLORMTEQAHSGB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	9	7
"main"	38	"CharlieWiderBouma"	2	1	"Bouma"	"O"	0	10	"F"	"False"	120	330	0	1	1	1	"LOKVEPHBGNIJURYDQMSXZAFT"	"SLJZTPEHXQFODAIBRVYUKMNG"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	11	7
"main"	41	"CharlieWiderBouma"	2	1	"Bouma"	"J"	0	9	"T"	"False"	60	270	0	1	1	1	"KDIVUTOLJAGBENPRQHMXFSZY"	"PFMYGIHDATJVSKBUNXZRLQEO"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	10	7
"main"	42	"CharlieWiderBouma"	2	1	"Bouma"	"G"	0	8	"G"	"True"	60	270	0	1	1	0	"JROEDFPKLUYGZSNATBVHQXIM"	"APDSEZFNGTMXRIYLOVBHUKJQ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	8	7
"main"	45	"CharlieWiderBouma"	2	1	"Bouma"	"M"	0	9	"Z"	"False"	0	30	0	0	0	-5	"JOENMQDHLZVRTSBUYIPAXGFK"	"HKGPZOXMSJRVNAFBIQYTDLUE"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	4	7
"main"	47	"CharlieWiderBouma"	2	1	"Bouma"	"M"	0	10	"K"	"False"	120	150	0	0	0	-5	"QINLXMYBGEKZHTFVUJADSPOR"	"GOESFTZPAKLHQUNIMRJDYVBX"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	5	7
"main"	51	"CharlieWiderBouma"	2	1	"Bouma"	"J"	0	10	"Y"	"False"	60	270	0	1	1	-6	"RFMZXUHSLIDKNAOYTPQVEJBG"	"GFVOJEMQTIYLSUXZADKPBNRH"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	4	7
"main"	52	"CharlieWiderBouma"	2	1	"Bouma"	"L"	0	6	"V"	"False"	60	90	0	0	0	2	"ZISQKTVYLXREANUJPBDFOGMH"	"LOAUFIRKBPXDQSTEYNZGVJMH"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	8	7
"main"	57	"CharlieWiderBouma"	2	1	"Bouma"	"L"	0	8	"K"	"False"	0	30	0	0	0	8	"PXOUGHYFKDIBAQRTLEJZVSMN"	"OPHLAYNBVQKSEJRDXGUTMZFI"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	16	7
"main"	58	"CharlieWiderBouma"	2	1	"Bouma"	"B"	0	6	"K"	"False"	60	270	0	1	1	1	"NOIULGKTQRFSPMZDEJHBVAYX"	"ZJGONXKBLDPMIYQASTERUVHF"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	7	7
"main"	60	"CharlieWiderBouma"	2	1	"Bouma"	"S"	0	8	"U"	"False"	0	210	0	1	1	-1	"EVBNMLJAQRKSFOHTDPZYIUXG"	"VJXFEBASURGPKONHDZMLQYIT"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	7	7
"main"	64	"CharlieWiderBouma"	2	1	"Bouma"	"P"	0	9	"R"	"False"	120	330	0	1	1	1	"GLANERBMYQJXZVIKDSTUPFHO"	"GFOTYNMIKRPEBQLADUVZHJXS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	10	7
"main"	68	"CharlieWiderBouma"	2	1	"Bouma"	"U"	0	6	"T"	"False"	0	210	0	1	1	-1	"XYZRPVFQETILSBNDMGJAOUKH"	"DHQINUTRJFBGYZKPEOALVMXS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	5	7
"main"	72	"CharlieWiderBouma"	2	1	"Bouma"	"U"	0	7	"D"	"False"	120	330	0	1	1	1	"SFIVBMTGKLJQPHEXDZYORNUA"	"GZLMXQNDUFARIOYKPHETSBVJ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	8	7
"main"	73	"CharlieWiderBouma"	2	1	"Bouma"	"F"	0	9	"Y"	"False"	60	90	0	0	0	-5	"KUAVFQHXLYRZDETPSGONBJMI"	"TZNXQRSKYUVHIGLOBEDPFJMA"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	4	7
"main"	78	"CharlieWiderBouma"	2	1	"Bouma"	"Z"	0	8	"V"	"False"	120	150	0	0	0	1	"LGORSKTDVZYFJMEPXBAQNUIH"	"NLMYIESFGVHQOZAURPKDTBXJ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	9	7
"main"	79	"CharlieWiderBouma"	2	1	"Bouma"	"T"	0	6	"T"	"True"	120	330	0	1	1	0	"RNPJZEVTLMXAFODHUSGYBQIK"	"QAEOFJTXSRIMHNUBZYVLKPDG"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	6	7
"main"	84	"CharlieWiderBouma"	2	1	"Bouma"	"E"	0	8	"R"	"False"	120	330	0	1	1	4	"LGEBYPFNTSOJHQZUXAMRDVKI"	"FJXUVQIORHPGEKSMBNYLADZT"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	12	7
"main"	92	"CharlieWiderBouma"	2	1	"Bouma"	"F"	0	9	"Z"	"False"	0	210	0	1	1	2	"HADXBPERVMSNGJYOQUKZFTIL"	"NKLYRDOMTZSFHGAPVXUEIBJQ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	11	7
"main"	98	"CharlieWiderBouma"	2	1	"Bouma"	"E"	0	8	"P"	"False"	120	150	0	0	0	1	"KJNVBUTRPEHIQGAYDXMSFOZL"	"VYZMASODGNRIEHFKPXLJUQBT"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	9	7
"main"	99	"CharlieWiderBouma"	2	1	"Bouma"	"T"	0	7	"G"	"False"	120	330	0	1	1	1	"OPXKBRJYQUVIGDAFTLMNEHSZ"	"FPKIMAZGTXNRUVEDSQLHOYJB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	8	7
"main"	100	"CharlieWiderBouma"	2	1	"Bouma"	"T"	0	10	"M"	"False"	120	330	0	1	1	1	"KVXILZPHORAYFMJDSTUQNEGB"	"VRSONLHJIDMTEAKBXUYFGPQZ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	11	7
"main"	104	"CharlieWiderBouma"	2	1	"Bouma"	"O"	0	6	"H"	"False"	60	270	0	1	1	1	"OQRZDHJPALMVNEIUYXTKSBFG"	"VLRYMFHODXBUEZTIJASPKNQG"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	7	7
"main"	106	"CharlieWiderBouma"	2	1	"Bouma"	"T"	0	7	"T"	"True"	60	90	0	0	0	0	"HFXDEYLTVQBSUZJIGPKAOMRN"	"AULEVJBDKMFZXRPNHIQTSYGO"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	7	7
"main"	109	"CharlieWiderBouma"	2	1	"Bouma"	"H"	0	7	"B"	"False"	120	150	0	0	0	-1	"IZSEOXHBKVPFTQGDMUNARYJL"	"HEMDFQUYIGAZNJSLRTVXKBPO"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	6	7
"main"	110	"CharlieWiderBouma"	2	1	"Bouma"	"L"	0	7	"N"	"False"	0	210	0	1	1	2	"MVGORNZLFPKSBHUXDYEQTAJI"	"HADJYFTNGLUERSBZPXVMKQIO"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	9	7
"main"	111	"CharlieWiderBouma"	2	1	"Bouma"	"A"	0	7	"H"	"False"	60	270	0	1	1	-4	"NFOXKYGLSDEJRVTQIHUBAMZP"	"NVZADFJHUSMBTOQIERGPXKYL"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	3	7
"main"	114	"CharlieWiderBouma"	2	1	"Bouma"	"E"	0	10	"B"	"False"	120	150	0	0	0	-1	"AHFSJRLZGEBUTDNOIKYQMXPV"	"GMSZYBPNHUQVLIDRAJFTXOEK"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	9	7
"main"	121	"CharlieWiderBouma"	2	1	"Bouma"	"Q"	0	6	"E"	"False"	0	30	0	0	0	3	"LMOHZGEYFQISJUPRNDATXBVK"	"RLFPKGUANXDBZOVTQIYMHSEJ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	9	7
"main"	123	"CharlieWiderBouma"	2	1	"Bouma"	"G"	0	8	"N"	"False"	60	270	0	1	1	-2	"OJIDXZPKTEHALNFQSUYGVMRB"	"QTFEMBGLNKOIUYDRAPVZHXSJ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	6	7
"main"	124	"CharlieWiderBouma"	2	1	"Bouma"	"O"	0	8	"O"	"True"	0	210	0	1	1	0	"URLFGDHEZKINVMBQJTPSOAYX"	"ITEBUVJHOYMFPSLRGQNAXDKZ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	8	7
"main"	132	"CharlieWiderBouma"	2	1	"Bouma"	"F"	0	8	"Z"	"False"	60	90	0	0	0	-8	"FIBTRGHEZJMYSPLXAODKQNVU"	"EBZMNTQJFOLSPGIYKVRDHAUX"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	0	7
"main"	136	"CharlieWiderBouma"	2	1	"Bouma"	"T"	0	6	"M"	"False"	120	330	0	1	1	6	"NHABKSZFMJOPLRXYQIDEVUTG"	"XVGIBHMRAYUJTLKENSDPOFQZ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	12	7
"main"	137	"CharlieWiderBouma"	2	1	"Bouma"	"A"	0	6	"S"	"False"	60	90	0	0	0	2	"FPTJMZSIAYNBEXOLURHQGVDK"	"NAIJQKMRTPOXBEFZVGULDHYS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	8	7
"main"	138	"CharlieWiderBouma"	2	1	"Bouma"	"L"	0	9	"I"	"False"	0	30	0	0	0	-6	"TVYLMFXQHINEUJOZPASDGRKB"	"TUFYEDMAXSNGZOJHQVIKLRBP"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	3	7
"main"	140	"CharlieWiderBouma"	2	1	"Bouma"	"E"	0	10	"N"	"False"	60	270	0	1	1	-1	"SXDMQVPOIKJNEAZHYFUGTRBL"	"BLRUDXSJHENVKFPGTQMAZIYO"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	9	7
"main"	141	"CharlieWiderBouma"	2	1	"Bouma"	"P"	0	9	"F"	"False"	60	270	0	1	1	1	"GYHXAEOSDBZUNPVIJTFRKLQM"	"KGHNVXROIFPLJMADBUSYQZTE"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10	7
"main"	147	"CharlieWiderBouma"	2	1	"Bouma"	"G"	0	8	"G"	"True"	120	330	0	1	1	0	"VSKJDTHEUBPRXZGQMAIFLYNO"	"PIZSUHBMGETNLQAJRKDVXYOF"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	8	7
"main"	155	"CharlieWiderBouma"	2	1	"Bouma"	"J"	0	8	"T"	"False"	0	30	0	0	0	-1	"GMOEZSBJTQLXNPKRDVIHFUAY"	"UERJPDFVSXQNZLBYGHTIKOAM"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	7	7
"main"	156	"CharlieWiderBouma"	2	1	"Bouma"	"M"	0	6	"D"	"False"	120	150	0	0	0	-1	"FHOZYMDXBEVARUQIGLPSTKNJ"	"PTNIRVGMJDOUKFLYBHXSQZEA"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	5	7
"main"	157	"CharlieWiderBouma"	2	1	"Bouma"	"D"	0	10	"K"	"False"	0	30	0	0	0	-2	"FSXIGMVRDBKTEUYQHZNOPAJL"	"QYZAJUPLTIRXBDHEMGNOKSFV"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	8	7
"main"	158	"CharlieWiderBouma"	2	1	"Bouma"	"L"	0	9	"T"	"False"	120	330	0	1	1	2	"OPLUNTIEJVDHMZBFGXKAYRQS"	"GFNEPOVJDTKLRUSIAZBQMHYX"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	11	7
"main"	159	"CharlieWiderBouma"	2	1	"Bouma"	"H"	0	9	"H"	"True"	60	90	0	0	0	0	"RIJMSKUGFHXOZDAQPTLYBEVN"	"NPMADFBHRSVJOEKULIYZTXQG"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	9	7
"main"	164	"CharlieWiderBouma"	2	1	"Bouma"	"L"	0	9	"X"	"False"	120	150	0	0	0	1	"FNHIAZTYEXLORVMDPUBKJGSQ"	"SNBOTYUGFMVPJKQAZIXDEHLR"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	10	7
"main"	166	"CharlieWiderBouma"	2	1	"Bouma"	"E"	0	7	"M"	"False"	0	30	0	0	0	-1	"ZYUVIGEMSPQDXORNFBJTHKAL"	"FUYABJVHSMITNQZKDOPRXGEL"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	6	7
