"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"crowded"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"	"eccentricity"
"main"	0	"PB"	2	1	"Bouma"	"A"	0	9	"P"	"False"	120	330	0	1	1	2	"BLFKAPXQYRZNSHDEUGOVJIMT"	"TQIUNBFHJPLAZMDOSVXKERGY"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	11	7
"main"	1	"PB"	2	1	"Yes"	"M"	0	8	"M"	"True"	120	330	0	1	1	0	"QOKJMRILSYENBXHPDFUZAVGT"	"QAZILGDUMNPEBHTJRXOVFYKS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	8	7
"main"	10	"PB"	2	1	"Yes"	"S"	0	10	"Q"	"False"	60	90	0	0	0	1	"ELAUBTORMGQSVFKNDXJZPYIH"	"JUIXMGSKHAZEFBTQDRVPONYL"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	11	7
"main"	12	"PB"	2	1	"Bouma"	"B"	0	8	"O"	"False"	0	30	0	0	0	-7	"MBEVLTJDOZYQUGXRHPASNIFK"	"IPJRXFGENYQOTZBKLADMUVHS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	1	7
"main"	14	"PB"	2	1	"Bouma"	"K"	0	10	"T"	"False"	60	90	0	0	0	-1	"SGOJBEDQVKTRILUAXNMPYFZH"	"NOTEVPFBUZIDXLKJQARHGMYS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	9	7
"main"	16	"PB"	2	1	"Yes"	"S"	0	6	"A"	"False"	120	150	0	0	0	1	"UVNZIHASQMPORDKYLJGXTBFE"	"JMXYDUTSZKBRNVGFALOPHIQE"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	7	7
"main"	20	"PB"	2	1	"Yes"	"Z"	0	10	"U"	"False"	120	150	0	0	0	1	"BHDKPXFNTLUZYAOQVGMSIJRE"	"DXMEGYZTJRKLNAOSVBUQIFHP"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	11	7
"main"	21	"PB"	2	1	"Bouma"	"B"	0	8	"Y"	"False"	120	330	0	1	1	-7	"FUHOIEGYPVMLRZAKQJDBNXTS"	"LBZQRGOHYDPIJKXAUENSVTMF"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	1	7
"main"	24	"PB"	2	1	"Bouma"	"I"	0	7	"H"	"False"	0	210	0	1	1	-2	"MXOLTBGZNFHJQVSPEAIDUYKR"	"DOANLIBHYUSTGPVXEQJKMZRF"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	5	7
"main"	30	"PB"	2	1	"Bouma"	"A"	0	10	"O"	"False"	120	150	0	0	0	1	"HTRKYFNJBDOAXPUGZIEMQSVL"	"IJRNYESLDAXOQKBGFHZUPMVT"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	11	7
"main"	31	"PB"	2	1	"Yes"	"X"	0	6	"X"	"True"	0	210	0	1	1	0	"KUESHVQBPXYLTRIMAGZDFNOJ"	"RHBDLVXKOUZEJNQTASFIMYPG"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	6	7
"main"	36	"PB"	2	1	"Yes"	"H"	0	8	"J"	"False"	60	270	0	1	1	-1	"EFHAGUPRQMKBYLJXIVDONSZT"	"RBQVAZYHJFSXLUGENKTMDPIO"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	7	7
"main"	37	"PB"	2	1	"Bouma"	"I"	0	8	"Q"	"False"	0	210	0	1	1	8	"IJYSXKFPTVEQRGMNDHLOAZBU"	"AOUJYKSHQMRFPEBXITVZNDLG"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	16	7
"main"	40	"PB"	2	1	"Bouma"	"H"	0	7	"I"	"False"	60	90	0	0	0	-1	"XUTEAPHIVGJNSDBQYOZMKFRL"	"ZXUNFVLTDKISHRJBYQEMPAOG"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	4	6	7
"main"	48	"PB"	2	1	"Yes"	"S"	0	10	"U"	"False"	120	330	0	1	1	1	"KZRPUJDVYSIXFMELTONAHGQB"	"DTMOHFQLXAUSBIKZGVERYNJP"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	4	11	7
"main"	50	"PB"	2	1	"Yes"	"G"	0	8	"S"	"False"	120	150	0	0	0	5	"JIULYDMESQFXTGBAVPNROHZK"	"QPGUDIZFTHXEVNRJBOSYMLKA"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	13	7
"main"	54	"PB"	2	1	"Bouma"	"S"	0	7	"F"	"False"	120	330	0	1	1	-1	"DJZROLAXBKYTUPNHMGEQSVIF"	"GLTHVISFNOPQRMEKYJZDAXBU"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	6	7
"main"	57	"PB"	2	1	"Bouma"	"J"	0	6	"J"	"True"	0	210	0	1	1	0	"TKJVDOBFGPEAHULSZMYQNIXR"	"LKNTXYJVHSADPIGZUBEQOMFR"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	6	7
"main"	60	"PB"	2	1	"Yes"	"D"	0	7	"O"	"False"	60	90	0	0	0	-4	"JAMDENHOQUSGRYLFPIXZVTBK"	"HOEUZBRXLMNSDQYGFAJTVIPK"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	3	7
"main"	61	"PB"	2	1	"Bouma"	"K"	0	6	"U"	"False"	0	30	0	0	0	4	"GSLTRXUFNDKZYPJBIQAHEMVO"	"HLVSTGZOUAFYBRXKIJEPDNQM"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	4	10	7
