"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	40	"AN14 "	" oneCued "	0	" right "	8	0	"T "	0	7	"O "	0	7	0	3	"LMJNYXAUSTGPRZFDOIKHVQEB"	"ERJZUKQBNFGVTAPOIDXYMHSL"	"RNPJKDYOHUVAQXGBIFMSTZLE"	"OBZJYQUVEMDHFXLASKPIGTNR"	"POKXHBJDZNLYATFGUMESRQVI"	"YARMVGTXDZIEOFHPNUQSLBKJ"	"RMTGLDFNKEASVIUZXHBJYQOP"	"UDNHEBPOAXTZYFJKGVQSIMRL"	0	10	FALSE
"main"	41	"AN14 "	" oneCued "	0	" right "	8	135	"R "	0	8	"R "	1	0	0	0	"LEQPVFOJRKXGTZMYNHDBISUA"	"MLVJXURSNYAKFDPEBTGZQIOH"	"NBYRGTFAVMISHUKLPEZXQDJO"	"ZJIVKDSENBRYXTMUPHAOQLGF"	"DMUSERZNJQYXFLIKBAOVHPTG"	"RPEIMVLHOKGNSJUADXTBFQZY"	"AQDRKUXHLOVMSENYZTIBGFPJ"	"FDGHBZRQYIASPJOVNLMUKETX"	0	8	FALSE
"main"	43	"AN14 "	" oneCued "	0	" right "	8	270	"T "	0	10	"I "	0	7	0	2	"UASFNLYZDXROVIGPKBJEHMTQ"	"DSPETLRJHVQYGFAMBKNIZXOU"	"RIBEHVDLAMZNQPXFUKYTGOJS"	"IRXFUPJTMNKOBEHVYZGLASQD"	"KAMLOXNURFQSBEYIJVDGTPZH"	"XAHFMYOEGDTJPBISQRVNUKZL"	"VJOEHIGSDYZMNLTBPKXRQUFA"	"KEFQPAYDVUIOTHZRBNGJXMLS"	0	12	FALSE
"main"	44	"AN14 "	" oneCued "	0	" right "	8	315	"I "	0	6	"K "	0	3	0	2	"KYHJMDLFTENPRSBVAIOXGQUZ"	"GVKONTIQPZBJUMYRXFLADEHS"	"GDMEPIBYSHLANQTZKFVXUROJ"	"MLVHPTKUIEDAXZJGFSQYNBRO"	"DFNKZYAPUBTISRJMXVQHGLOE"	"JLHZOEKRUNXGMVPAIBQFSTYD"	"GXKOLUJZTYHPRNSVDEIMBFQA"	"NSMJGXUBFQYORKTZHAEDVLIP"	0	8	FALSE
"main"	45	"AN14 "	" oneCued "	0	" right "	8	0	"B "	0	7	"K "	0	7	0	1	"YZQTRXUAJPNHEISMLKGVODBF"	"UZYVSTBJPNHDEMGLOXQFAKIR"	"BQRFGOLXMPDUTAEIZJVYHKSN"	"FNBPSAYQGKLMXTOEJIZUDHRV"	"KIPYGBSUVLHJNTZQORMEFADX"	"RNAYLBTUKEOJHGFSQIXMPVZD"	"OXYDGUPMJEKHLIAVBQFTNSRZ"	"GOLUEPVKBSMQINAZTJDHYXFR"	0	8	FALSE
"main"	46	"AN14 "	" oneCued "	0	" right "	8	180	"P "	0	8	"U "	0	2	0	4	"VOEAHUZRBFKIXGDSQJYMTNPL"	"DKHMNIOZRLGSUEBFVTXAPYQJ"	"JVKTZGFNUSDIPXAQMHERBYOL"	"TDSHYLNBOZGQAIKVMFJRXUPE"	"MUJEAHVKGDBPNRSXQITFYZLO"	"XYAZTPBMHRESUIDJQNOLGFKV"	"QXNSIPHYLMADKRFJEZVUBOGT"	"XANJTLRMFEDBUIGOHQPZVKSY"	0	12	FALSE
"main"	50	"AN14 "	" oneCued "	0	" right "	8	135	"I "	2	9	"P "	0	7	0	2	"SYXFQPDNJUOBMEIVHTRLKAZG"	"DNGYZBISRAMJHLFUKXQPTEVO"	"IMYHREKJZVNXUSOGFTPDQABL"	"KDTMGAHVSERNIOPZBXUFYQJL"	"FRDKJHYUIQGMTPEZLSAXBOVN"	"JPOFTEBNLXHMAQURIDSVZYKG"	"ETBQZAPRIKFVDSONJUXLHYMG"	"VYXBQRHJKPLITNEDFSUOGAMZ"	0	11	FALSE
"main"	51	"AN14 "	" oneCued "	0	" right "	8	315	"P "	2	8	"L "	0	7	0	2	"KGNMOESDUPIVHYXQFTBARJZL"	"ZVAUERIOYKJBNHMGPQDSTXLF"	"MAQVNRJYFSKEGBZOPXIDTHUL"	"ZLRUEXBAKYIPJDQSNMFOTHGV"	"QEZBKHPLUJVGMOARINDXFTYS"	"YVXKEBGLNOIAPMJQHUSZDTFR"	"NOMKZUBTPIYVDFQLJSXEGHAR"	"ZJOMHEAULYPDRKTGSNVFIXQB"	0	10	FALSE
"main"	59	"AN14 "	" oneCued "	0	" right "	8	45	"R "	0	6	"O "	0	5	0	7	"TXKZFBMOHLYGSRNEPDAQJIVU"	"IRJVKGSMXLZPUDYBQOTHAFEN"	"LSPFTHQOJRYKAUNXGZBIDMVE"	"BIJSPVGNAORMUKZHTDQXLEFY"	"HQYVMZSODNPIGELRTKAUJXFB"	"JMTIAYOQPUDGFRBHSXKZVLEN"	"DPEKRVIJBHNLAQYMFGXUZTOS"	"JYXSAEGLUMDBKTQFRVPZHNOI"	0	13	FALSE
"main"	61	"AN14 "	" oneCued "	0	" right "	8	270	"E "	0	8	"F "	0	0	0	2	"VTOKURNYFQEZIHMPLXSADJBG"	"LBNMJVXQZASHTYDKEIFGOURP"	"VSLEHUOANZIFBPXKDMJGTQYR"	"AGBNYRZFMVHKEQJDLUSTPOXI"	"AGHFQYURIJSPVBKENXLMOTDZ"	"VHMDATGPBKQOYESNUZFRLIJX"	"KZOEGXFLTUDVHNSYMPIABQRJ"	"IAQEUJZDXTPSYMRKFNOGHVLB"	0	10	FALSE
