"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"nPreCueStreams"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"angleOfWhichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	25	"SH20"	"nStreams"	0	"right"	8	90	"T"	0	10	"J"	"False"	2	180	0	1	"IJSHGBXMVKFUERQZYATLPNDO"	"BDPIFXTJMAVNQRSELKYGOZHU"	"HPKEBDRNYUJTZIXVLQSOMGAF"	"QAENSJFDUMRPHLVKTXYOZIBG"	"VHIXMEZBFGTRPJSQNKOYUADL"	"EKUMFVZSIJLNOQTDAHPXRGYB"	"HBSDIGVMYTOFQXAKREPZLJNU"	"VQRNAXBUZDPTEOIGSLFMJKYH"	2	11	FALSE
"main"	26	"SH20"	"nStreams"	0	"right"	8	180	"M"	0	6	"X"	"False"	7	135	0	1	"KDARYOTVSHZNUEIPXBQLGFMJ"	"IQMHJKASDNOLXRYTUZVFBPGE"	"MQYKNUBTSLDOHGIEXAZJPRFV"	"QLDVMHRNJBIGOTKAPUSEXZFY"	"FXYKROVPZLUAMEHSGTQJIDBN"	"NVJXSDYGLMFZBHIUTOKARPEQ"	"YOETPJSUBMZDXNFLKQIVAGHR"	"LODRIEXMPQZKUBFVJHNGATSY"	1	7	FALSE
"main"	28	"SH20"	"nStreams"	0	"right"	8	225	"O"	0	9	"Q"	"False"	6	135	0	10	"JXAZGSVRUIEPLFYQDOHBMKNT"	"MGEZSJLTRAHQFUYKDBPVNOXI"	"IYNOJQFKBZRPAVGLTMSDXEUH"	"MYSHRNUPKZQFALJVBGDTOEIX"	"XKYPTLIBFDJHMUNZAGRVSEQO"	"ODEVSLPXYTJQIKMZUNHBRGFA"	"ZAHTBVIPSQRNYFKUJEMOGXDL"	"QORJSUXNKIPVBMHTAFEGZDYL"	0	19	FALSE
"main"	34	"SH20"	"nStreams"	0	"right"	8	45	"P"	0	10	"J"	"False"	2	135	0	1	"AUZNBDXQSJPGTVEOLIRYFHMK"	"DQKVPEBGHORLAJXNUSMZYIFT"	"UQABLDGHOMJPKVZXETSRNFIY"	"ZVMREGSYOJTFKNPLXDIUHBQA"	"KUSVHAZYBDERJNLMOIPQFGXT"	"YSUMGPRFZKQDNTXOJLBIEHAV"	"QOAXEBZRIVFKJTHSPGNLUMDY"	"ZTODMIGYNLXRUEVAJPHSQFBK"	1	11	FALSE
"main"	35	"SH20"	"nStreams"	0	"right"	8	135	"F"	0	9	"I"	"False"	2	-135	0	1	"PTRAIFXMKDHVBEJNUGZLSOQY"	"HYKUTIEDOBXJQLSVNZMPRFGA"	"KLXNTGRUEIFVMAYSPJOHBQZD"	"MXUJPDKGVYZTRSIBAHNOLQFE"	"TRSHBNLZGFPAIDOUKYXMJEQV"	"MRNLYUGKISDZVTEOHJBFXPQA"	"QHTIVLFBMGEDKXJSNPYRAOUZ"	"PYMUSHBDXVILFRAOQEJZGTNK"	0	10	FALSE
"main"	36	"SH20"	"nStreams"	0	"right"	8	270	"Q"	0	7	"O"	"False"	7	-135	0	1	"XLEQURPHVKMFNSGJZAIOTBDY"	"VXFZLHERJMAQKUPSNIGYDBOT"	"TYUFKVDZSQNAEOHIJMLXGRBP"	"FTRGEDJAVXUQNOHSBIPYMZLK"	"QDESXFPOHRMVNLGJZYBIAKTU"	"HXUOZQINMKJSVTYEFRGLPABD"	"JLIKMAXQGVHPDUYEBNFTSZOR"	"MVXRFGNOQKIADJTSUZYHBEPL"	0	8	FALSE
"main"	40	"SH20"	"nStreams"	0	"right"	8	90	"N"	0	9	"Z"	"False"	6	-1.40334185971e-14	0	1	"LNVBPSRAKDUXGFOYHQMTIJEZ"	"GOKSNZPEAFQDIBRUHLMJVYXT"	"ZRMAUKXVGONHTDQPIEFYBSLJ"	"SXDJKQOEIFUAHTYNZBVRMLGP"	"OVITAXHNQYSLJRZEFBDUPKGM"	"UOAXKSBQYGEMJPIHVNFRDLZT"	"VXHLIEGTQZNJOABRKUPYFSMD"	"ZDXMOAQPBGSNLEFTHRVUJYIK"	1	10	FALSE
"main"	41	"SH20"	"nStreams"	0	"right"	8	45	"I"	0	6	"N"	"False"	5	-90	0	1	"BSVXQZTRYONLMFPUDHIJEGAK"	"FOUHQMTPKVYRZBIJGXNSLADE"	"GTLIKNMFERSDAUBHPXOVZYQJ"	"HSTVKIFEAPRYOJGLUBXQNZMD"	"KYAGEZHBILDQVRNPSXTFOMUJ"	"ZKTOSXNIRPHVMEJDYLAGBFUQ"	"RZNOJDIMGFEKXTQPHULASVYB"	"TNVBGFHJSMAQZKLURYXIPEOD"	1	7	FALSE
"main"	42	"SH20"	"nStreams"	0	"right"	8	90	"O"	0	8	"Q"	"False"	4	-90	0	2	"PGFLZODIKVYTNSAJBMXREQHU"	"DNRPAQEXJGFITZLMOVKBSYHU"	"LHAIUJTODFQPVKYESBNZMRGX"	"NXBHMTOKPSLUYIFAERVQDZGJ"	"YKUVJFSLQNOXDGHIZMEPBTRA"	"MPEQGZKHFXDAOYSTLUBJIRNV"	"YBOHNEDQMXSRIJAVFGPLTZUK"	"RDXTBZFAUKOPYLMSQGENJVHI"	0	10	FALSE
"main"	43	"SH20"	"nStreams"	0	"right"	8	270	"U"	0	9	"U"	"True"	6	180	0	0	"ZLPVJDXUQSANYRGMIEHBTFOK"	"UOSAKGMVLTDHYERPBNQFXJIZ"	"FVPLAIUBYTHMZODRKEJNQGXS"	"DPLFJOHEAQMYXGZBRVNISKUT"	"MUFPGAEBKVZJQSXIDORHLNTY"	"TKIHLVJXABPYGMUSNROFQZED"	"RAVGBKMLNUJEPSHFTXZYIQOD"	"MGXYZNHALJBIUORDTVFPSQKE"	0	9	FALSE
"main"	44	"SH20"	"nStreams"	0	"right"	8	0	"B"	0	8	"H"	"False"	7	-45	0	1	"KUXGBPTFEHMSQNIVDYOLRAZJ"	"QPLNJIDEUATKVOMBZHSGXRFY"	"VRTJMXAHIKDYSZOLFUQBPNEG"	"HXEOYUDBIRASQLGKTMZJVFNP"	"TXKVYSBMRGZFUHPJEAQNOLDI"	"XYUITVKZJSGONRPLDEFAQBMH"	"MXVFUYGNEBAJHZSKPRILDQOT"	"NPUGKQMSHBLJZFVYDEXIOATR"	1	9	FALSE
"main"	49	"SH20"	"nStreams"	0	"right"	8	45	"B"	0	7	"E"	"False"	4	-135	0	1	"MPTIDFYQVJXRKSOEUNGHZLBA"	"AUEFMYJXGLPIKSHTVOQDZNRB"	"ZJKBPXTGQUNLHYFSRMDEIVOA"	"GZDPLYIUKBQXFRASJNHVMETO"	"VNQMUHKEBTXASFOIYLPGDRJZ"	"FHTQYILBJMDAESNZPRGUOKVX"	"ENHYPARLMZUBIXQTDJVOKGSF"	"YVLJRIOSFADPMKHBTNEXUQZG"	2	8	FALSE
"main"	50	"SH20"	"nStreams"	0	"right"	8	90	"S"	0	7	"R"	"False"	5	-45	0	1	"JHTUXVQOEFBZYLGIARKMNPDS"	"RIQSYTDXZOJPKBNLHUGMFVAE"	"TKZDAFHJUREMBONGLXIYVSQP"	"DVMKQEZXBYARJSPLFTNIGHUO"	"GBTAKZPRHVNOFISEDJLMYQUX"	"KQNUIOVRSHDEMXPTYZJLFGAB"	"ZNFPOITRBDULJYESXMQHGKVA"	"UJGZRBQVKMLYFSAEOIXHTDNP"	1	8	FALSE
"main"	51	"SH20"	"nStreams"	0	"right"	8	135	"Z"	0	7	"J"	"False"	1	180	0	2	"ISHVTFBGNOUZYKLXJDREQPAM"	"AFOTMULJDZPEVXIKSYRGHNQB"	"RFNZQEBYPHDXMVAUOKGLJSIT"	"NTSOLGBZFYHKQXIUMJAPEDRV"	"QVKNFPAMZRSXELDOTIBHGJYU"	"MBUZXNSTYPOFARKVIGHQJDLE"	"IGMTDKSEHQZOPYANUJFRLXBV"	"OKJHNGZLXYVPQISDARBFTEMU"	2	9	FALSE
"main"	52	"SH20"	"nStreams"	0	"right"	8	0	"R"	0	6	"I"	"False"	3	135	0	1	"SIYOKMVNJHPARZGUFETQXLBD"	"LROFMGSEIHKNVAPZUJYXQTDB"	"SDYQXEULJZAVRNOIPFHGTKBM"	"QJETHOIRGNXBYPAFUMKLZSVD"	"ITKPMNYBJZUHELGRFODQAXVS"	"TLNXFDBRKOYHEQVPAGUJSZMI"	"MLBVNJPXZSGAKFHQETRUIOYD"	"ZMLIUOAXYNFDSPEHTQVGBRJK"	2	7	FALSE
"main"	56	"SH20"	"nStreams"	0	"right"	8	45	"H"	0	9	"K"	"False"	0	45	0	2	"DFOMBNTPXKEHGALYQRSIUZJV"	"ZQDOFTEXRAKLUBYMPSVIGJHN"	"MFJZTINYEDAXUBOPGQLSVRHK"	"DMISJQRXYPFUNBTVKLZEAOHG"	"ZAIEKSPMDOBNRTHFVXQGLYUJ"	"BQPYRNLIAUKFMDTXGOEHJSVZ"	"EAGDOSURNHKTYQZXVPIBMJLF"	"UIQRAFJNVTEZPXGDSYHOBLMK"	1	11	FALSE
