"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"fixationReject"
"main"	23	"AL10 "	" oneCued "	0	" right "	8	225	"S "	2	10	"L "	0	6	0	1	"UQVKASYZRNXIJGBPTMOELHDF"	"JSIXPNMOUQDRKBFHLAEYVGZT"	"FUYSNGHTOMRQBEDXPIKJVZLA"	"AHLXUTGSMYIJOBEZFKVRDQNP"	"SVNEDYAGOMHIQKTLRFUPXZBJ"	"KPJHAYIUTGBOXNFELMVQRDZS"	"JYRENBZPDTLSVIMXFKGOHQAU"	"FOLGUYATZVHRBQSNPIEDMXKJ"	0	FALSE
"main"	26	"AL10 "	" oneCued "	0	" right "	8	90	"P "	2	7	"O "	0	3	0	1	"THSEJOPVAMRKZBYNUGLXFDIQ"	"VJMBKROHIEPYLDZQUFXNGATS"	"NFBHMPDOUVRGSXZTJEKQALIY"	"QHVUAJTOPBFZGLMIENXRSKDY"	"AXOQMTIFLVNZSKUREYPGBHDJ"	"UKPIQFDEVXOBJYSLHMNAZRTG"	"VIYUNTMPLBHGOFJADRQEZKSX"	"MELNVHUBTAPFDQKZSXRGJOIY"	0	FALSE
"main"	27	"AL10 "	" oneCued "	0	" right "	8	0	"N "	0	8	"E "	0	1	0	2	"DNJMVSZIAXFOTLBUPGYRKEHQ"	"GUAFSLRPETNQDKOIXYZMVHJB"	"PNKLMBJXIHQZOGAFUDVSTYRE"	"KJBPIUDOZEVTNYHGASMRQFXL"	"AFSUJQTHKMNGVOBPZIERXLDY"	"SXMVAKNEBLYFQGJDTHUZIPOR"	"PAGDHNORSFEMBJUTVLYZIQKX"	"VKEBJPRGUXDTNMAHFIOYZLSQ"	0	FALSE
"main"	33	"AL10 "	" oneCued "	0	" right "	8	270	"J "	0	6	"L "	0	0	0	2	"XFSBKPLHJIYEGAZTVUQOMDNR"	"ZHFYQRAXITMUGLSOJPEDVBKN"	"MRSQGODPIBJNKTAYLFHUEXVZ"	"GUVLQIDXZTOBJEKYHFAMPSRN"	"QYJVUNRMTDKLIGOFBXZHSPEA"	"RKTLODBPNFMVUYZQHXAIJSEG"	"PQFMXOVDBYJKRANGTHZLISEU"	"JSNROKQHEGPDBVYTZMULFXAI"	0	FALSE
"main"	38	"AL10 "	" oneCued "	0	" right "	8	0	"R "	0	7	"L "	0	3	0	8	"TQJFLPYHASXREZBVGKMOUDNI"	"QPEGYBZXRAHTVKISFNDUOLJM"	"AYTUMFNGZPOEHJDKXQSIVBRL"	"EXGAOKJLPHTBUVSRDNIYZFQM"	"XNZAHLFUPJTQBRYVGDSEKIOM"	"QTLPUMYBDJRGEZAHONIVKXFS"	"VNGXTOMRKZQDESPYLAFBIJUH"	"DUYNVHJGFBZQTMXRKAOSPLIE"	0	FALSE
"main"	39	"AL10 "	" oneCued "	0	" right "	8	0	"Z "	0	10	"P "	0	7	0	1	"QKBVDZMLAPYESNJFHXUROITG"	"JXSRVIFLMTKBPAZOQHEUYGDN"	"HGIJTYEQKBRFVUZOMPDNXSLA"	"PKSLFMNQTRAYXBJUIEDVGZOH"	"GTKMLIUVNYFEHOBARJXPDZSQ"	"XUJGKRVMLDTBIZESFOYHNQPA"	"SFUOQEKZJMNHTLYAIRXPDVBG"	"VHEARFSGTXPZUIKJNYDQOLMB"	0	FALSE
"main"	40	"AL10 "	" oneCued "	0	" right "	8	180	"G "	0	8	"J "	0	4	0	1	"TAHPIYZFQMLXNOKUSDRGEVJB"	"BKFMZSOQAHXUGJRLDYVPNIET"	"FEOMIUDLRJGYPNHQASZXBKTV"	"ODKBMVXZARQLFUGIYTSHJNEP"	"MNQXHVYFJGIRAUKPLSBEZTOD"	"QTJFLNGKHZMDVREOSYPXBAUI"	"QPJEUZVIHNBRFTXLAOSGMKYD"	"LINVBFHDEPKGSQOJRZYXUATM"	0	FALSE
"main"	41	"AL10 "	" oneCued "	0	" right "	8	0	"K "	2	6	"N "	0	0	0	1	"TPQGRBNKXEOVLIHASDJMYFZU"	"UKVIMFPXDTGJRSOLHEYNZAQB"	"ARVMZNTQBEUSFLYJXDGHIKPO"	"JVQLOGFBDEAMZYSKTIRPNUXH"	"ZKXSJVAHOQILFDPMTBNREGUY"	"GTQHYOZNKSJDMLRPBAIEXFVU"	"UAJYQKNLIVEDOZMFXHTRSGBP"	"YFXESHPAIGNOJMKULQZVRTDB"	0	FALSE
"main"	46	"AL10 "	" oneCued "	0	" right "	8	315	"D "	0	9	"Y "	0	4	0	2	"GXTLKJQZYHAVFESRINBMUODP"	"IHBVPUZSKDGLMYTFJAXONERQ"	"AHOXRPNQVBJYKTUEMZGSDILF"	"SEDBXJRUTMVNYHPOZKAQGFLI"	"RELAZUPKNYQDJHMBIXGSOVTF"	"EKSBALTJHXMZUDFYPRVQNIGO"	"SAJHIUFERBDZTLMKYPQVOGNX"	"BJLUOZEYRVXKAFIMPNQDHTGS"	0	FALSE
"main"	47	"AL10 "	" oneCued "	0	" right "	8	180	"R "	0	6	"H "	0	1	0	2	"XTHBKVSFIQNPMDEUZGOLAJRY"	"PKXASJHERQFVNGLIOYBDUTMZ"	"IUXSPQRKHLFTEAOYZVBJNMDG"	"JXFUHPYTMGINRVDQZAOLSEBK"	"EPUBMLTXFAKYJZHDVNGSIQOR"	"OVXUGAISKFPJHBQNRZDELYTM"	"UYAPSQZXTBERNVMKDIFGHJOL"	"EASFXUDBPIGYHQZLTNVOJKMR"	0	FALSE
