"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"nPreCueStreams"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"angleOfWhichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	1	"AB14"	"nStreams"	0	"right"	8	0	"M"	0	6	"O"	"False"	0	0	0	1	"VXAKPBOMUHGLITQYRZJENSFD"	"KJUZYLANOSBETPVQXRIFHMDG"	"QBPARFXHKJYEGLTDUMZNSOIV"	"HJXBKNRUTLGMPYDSAVFEIZOQ"	"LQSZMEVANIYUTHRJXPOBDGKF"	"VRIFYHKZUQXPDTJBSOLAGMNE"	"YABNXVSHJGLEZRTOQUIDKFPM"	"IKUAPJLSRFTYBHMEZONQGDXV"	2	7	FALSE
"main"	2	"AB14"	"nStreams"	0	"right"	8	180	"N"	0	6	"F"	"False"	0	180	0	1	"EPQJOTFNALIYBZSKMXUHVRGD"	"DNKQJUMRITAZBVPGLHEOYSFX"	"PHEFRIKNVSGLOXBDMQYAJZTU"	"SFZTMRIEQOJLBVHUPXGYAKDN"	"TZOAYERXNGHLIUDBQPMVSFKJ"	"LYSZFMGDTJKOEVUBARNIXHPQ"	"LUGTIASEFVDBPQRKHOYZNMJX"	"NHTFBJSPLYQGKMDIVAXORUEZ"	2	7	FALSE
"main"	3	"AB14"	"nStreams"	0	"right"	8	225	"F"	0	9	"D"	"False"	5	90	0	-1	"YNFOGSARBUQZMDVPJKELHXTI"	"JLQYNZGBTSVDROHAXIKFEPMU"	"SHZANKYDJBTUEGROQILXPMFV"	"JGUTMHPRNZQAXKLBYDISOEFV"	"JTGOBDEAUZPLYXRMFNSQKVHI"	"RPUHAYLOFDENQJZVMTIXGSBK"	"XNVEBIJQSDRPYAZMLFTGOKHU"	"GAFPZQSYBHUXILVEKMOJRTND"	1	8	FALSE
"main"	4	"AB14"	"nStreams"	0	"right"	8	135	"S"	0	6	"S"	"True"	3	-90	0	0	"SPMVUQYKLDFGXAHONRTEIZJB"	"JSOQGKTFLXDIMPYUNRAEVBZH"	"ESJTQPYAIRVXGDLMOBZNHUFK"	"XRKTFOSPVLEAJGZQBMDIUHNY"	"TVAKRBOHPGQIDLZYUSMENFXJ"	"PHRJSZLMIBAUQYFOXKETGVND"	"XZOYLURAQDVIPGKSHFNEJMTB"	"ZKXYBQFEDGMOJRALIUVSPTHN"	0	6	FALSE
"main"	5	"AB14"	"nStreams"	0	"right"	8	0	"M"	0	7	"M"	"True"	6	-90	0	0	"SBYAVJUFDLNRQXIEGOTPMHZK"	"VKYGDOLTRHBAUXZFPSMQINJE"	"ESLGZPTYJBKQFAVHOUDNMRIX"	"AKGLEYPIJVOSFHTBZMURQDXN"	"OPQVLXNTSHJMRFZBGDAUKEYI"	"AHYUNIOFJVQLRGEKZSXPDBMT"	"BKAHEGDMJIFRYQOTNXPZVLUS"	"APGIDLXKRTZFOJSNMQVEBUHY"	1	7	FALSE
"main"	6	"AB14"	"nStreams"	0	"right"	8	135	"A"	0	7	"A"	"True"	6	45	0	0	"ULEFSTKAPBRNMGDXJOHIVZYQ"	"PAUKFQEHMRVOYLJNXITGDZSB"	"UDLEZIQKAXGVJRMBTPNHFYSO"	"UYRNLJHAFOBZPDTVSQEIMXGK"	"ZHOKLFPASYJGEQRBUNDXTMVI"	"JHQRGFNLKOUTBIVXPMAZYDSE"	"GXRUJDSAYLKHEZFONMTPBQVI"	"SQGRAVZNFULMKTDBEOIHJPYX"	2	7	FALSE
"main"	8	"AB14"	"nStreams"	0	"right"	8	270	"X"	0	10	"X"	"True"	7	-135	0	0	"TXZLHISNVYPMORDBKEGAJQUF"	"JYGXNHFMAPQUEKBVRTLOSZID"	"IYRKDSHFMVOPNZXBQALGTEUJ"	"DKIMJNOBYTSZERVAPUHGLXQF"	"NRFALGOYPVXDHEUTQSKMJZBI"	"JBZHSOYDLQKVIPNAXUMEGRTF"	"UGTBQZNDLEIXKJASFVOPRYMH"	"TAZHQKVELPXYRDMFIGNBSUJO"	1	10	FALSE
"main"	11	"AB14"	"nStreams"	0	"right"	8	0	"Z"	0	8	"Z"	"True"	6	-90	0	0	"PVQKSXBRMNFOHELAJUTDGYIZ"	"HJZFDNIPOERYLKMVTSQBUXAG"	"TPJOQELXBNYRUSGDZKAMFHIV"	"ZPRSJGBHYMNDXOEAKLUTFIQV"	"JQIGPTHAKSFLYDUVBMENXZOR"	"FNVJQDYGABTXRSHKELOMZPUI"	"VJIENGSKZPHYFXRAMTLDOUQB"	"OBPEHAKIQTLYDFNGUXMVJSRZ"	0	8	FALSE
"main"	12	"AB14"	"nStreams"	0	"right"	8	135	"E"	0	8	"E"	"True"	1	180	0	0	"ZQLUISGKMJDYVORBATFHPNEX"	"NHIVAOMDEBZTFUQLKSXGRJYP"	"NRMHVJLBSXPQEDGYATZOKUIF"	"MVFYLORBDHUJGPQKNISTXAZE"	"ZPALVHKEUGDSJYRITBMXQNOF"	"NLFAXVJRUDPOGBQEMZSHIKYT"	"ITXOYJMEQGNPUFVHBZKLRSDA"	"GIKOSNETALQMYXFHUVZPBJRD"	2	8	FALSE
"main"	13	"AB14"	"nStreams"	0	"right"	8	270	"T"	0	8	"T"	"True"	0	-90	0	0	"YZLVOXNDTFHGSMRIEBPUAKJQ"	"MKRDIQTPZXAUGBEOLNJSFVHY"	"SYDFIUONEMZTXHGKBJPLRAQV"	"EVAPXMFSHYZGNKBQLUOTJDIR"	"ULHDVKEJZIXMPYQGTOBFRNSA"	"PSJHVLXBTMEOKQGFRDAZINUY"	"AZGDRXKEUVSFIYHLPMQJTBON"	"OFERZGQUJTPNADLMIVBXYKHS"	2	8	FALSE
"main"	24	"AB14"	"nStreams"	0	"right"	8	45	"N"	0	9	"E"	"False"	3	180	0	1	"DTQPYUNRXMOJIZBHVLEKAGSF"	"ZNTKFYRIGPMXSVBLAHDEJUQO"	"VREQBMFKIDJNAGOZYHPLXTUS"	"UFBYKDSIGENQHTPXMZJLVORA"	"LQEIZKNVGYTPRBJOFHAUMDXS"	"HRZDXPJVQEKTSGFLYMAOBINU"	"IYVEKDBHFNRGMXPTOSZAUJQL"	"RTSNBZIMEQYUFGLVJXHOKAPD"	2	10	FALSE
"main"	27	"AB14"	"nStreams"	0	"right"	8	180	"S"	0	9	"S"	"True"	7	135	0	0	"ITKGNERLQXPFUMOSDYBZAHJV"	"JKFZEXPRMSAYVHQTIUBODGNL"	"KZSBDHEVLORQUPJANGMIXTFY"	"RQFDJUVEKPITAXYMSZOBHNGL"	"ZNSXQEVHUGMBALJOYIRTPFKD"	"GALZKRTNEYJPFOVDUSXQHIBM"	"ZLPFKYUOHNSDMXTRBJEIVQAG"	"FEIHVPYBLSTORZXGMQKADNJU"	1	9	FALSE
"main"	31	"AB14"	"nStreams"	0	"right"	8	90	"E"	0	8	"E"	"True"	2	180	0	0	"OJXQEVZBUYMPSNLIARGTKHDF"	"KMAYNPRQXIDBEHOLFTZJGVUS"	"FTGNXAUQELZHSPMJKRODYVBI"	"PDFUNHSYQVMBTAEOZRGXIKJL"	"YUMJBRLXPZQOATSDGIKNVEFH"	"DJGHNUVQMOPKZBSFRXELIAYT"	"IGLUREAXYSVHZJBOKQNDFMTP"	"NUOJTMAKGZIDLPBSEFXYRQVH"	2	8	FALSE
"main"	33	"AB14"	"nStreams"	0	"right"	8	0	"P"	0	9	"P"	"True"	1	45	0	0	"EOANPVRYSDGLFIBKZQXMHUTJ"	"OFVMUXLGQPDETSNZAHKJYIBR"	"QUOENJARTDMBISPLYFHZKVGX"	"XPTUYDFREJOALMGHKISBNZVQ"	"DVMAGUEKOXPZBTNFSJILYQHR"	"OZVLUFKTRQXIPNMYJSHADGBE"	"BVUZPRJAMGSTOXHKLYIDQNFE"	"NSKBGRAUYEZDOMQVXTLHIPJF"	2	9	FALSE
"main"	36	"AB14"	"nStreams"	0	"right"	8	90	"H"	0	6	"H"	"True"	1	135	0	0	"KYTIUDHGFNRXQJSAZMOBELVP"	"LBXZGKHTDUAPSEYRJNVIMOQF"	"RTQLBNFVDIXEPSJYAUOMHGKZ"	"POXDVZUAHMQFEIGLSJKBNRTY"	"HFQMIEXLVGYDBUZNORPKJSAT"	"BTEPQVRFJXOASMIUDLGNHKZY"	"KOFLXRBSQHUJVTYMINGPADZE"	"GPQOXMESIAJUKRLNTZDBFYVH"	1	6	FALSE
"main"	39	"AB14"	"nStreams"	0	"right"	8	45	"G"	0	8	"G"	"True"	4	-135	0	0	"EPBXOVFTZKYADQLMGSUHJNRI"	"KEGFRZOBIUASVTYQPNDJHXML"	"STJOBIPXUDFMLARGEVHYKZQN"	"LVRYAQDOBFGSKIHXUMEZJTNP"	"PKENSXOVGJUFARZQIMYLBDHT"	"DBRMLYXIQZSFGEAJPONUHTKV"	"KHYFVSIGTQUDNAORZJEPXBLM"	"UYBFHLPTVQMJNZXDOIKASEGR"	2	8	FALSE
"main"	42	"AB14"	"nStreams"	0	"right"	8	45	"N"	0	6	"M"	"False"	2	135	0	3	"YITNASZXOGMDPBJQUVHLEFKR"	"NVELDOITBGPSKUHFJMZYRQAX"	"UAXOGZMPSNJIQBRFTLHDVEYK"	"HANVOBKTSJUIPYQLZGFDXRME"	"FNABRXKSMGHZPDEJVQTUIOYL"	"TFHOUENVQRSMXAZGIDBLPJKY"	"KRLFBSYJXTEUIMQVOHNDGPZA"	"KJHNTZROGFBXEUIYALSDPQVM"	0	9	FALSE
"main"	53	"AB14"	"nStreams"	0	"right"	8	315	"P"	0	10	"F"	"False"	5	180	0	1	"YNFOSTUZBRJQPIDAVLEXKMGH"	"YPQINHBKXZUOSTMGFEVJADLR"	"PTLNBYDRQGSHKFZIEVAXOUJM"	"DANGTLBVZSKMEYOUIXQHRPFJ"	"AJZXLKSBDIPRNGMUVYTOQHEF"	"LSDAKMTUNBFPYREZJHGXVOQI"	"AOTINFXVDKSUEHMBPGLRJZYQ"	"ZEXNJYSHAGRKDIUVOPBQMTFL"	0	11	FALSE
"main"	55	"AB14"	"nStreams"	0	"right"	8	135	"X"	0	10	"X"	"True"	3	-90	0	0	"NUYBMDSRLEHVGKOFQPZAIJXT"	"JIXUBDESLOGAHYZFKQPRNVMT"	"MQHRJDONKVIXBZGFYEAPUTSL"	"GTIYEBFDAMXJKRQZOSNVLUHP"	"IUQJADVHSKXERZNFGLOYPBMT"	"GIUNRYLSHPQXVJMDTFBAKZOE"	"RJFHBEOPQSZIXLTGAMKNUVYD"	"KLGDBOHSEYJVIRAFQMUNTPZX"	2	10	FALSE
"main"	56	"AB14"	"nStreams"	0	"right"	8	315	"S"	0	7	"S"	"True"	3	90	0	0	"VDZAFROLTNQYKUHGMSJPIBXE"	"FDNJHMYZVKUTOISALXQGPRBE"	"VYTMIZDFHLJNBKUOSEQRAXPG"	"TNILDMJSUQYPAXEHOVZRFGKB"	"DZGPQVKXSAJEYHURBNLOIFTM"	"HRSNDIBULTOEJMXGAQFPYVKZ"	"BDUGSLYJVRNPFOKZXAMQIETH"	"PHFBARIGKQXNSZTJOMLYDUEV"	2	7	FALSE
