"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"fixationReject"
"main"	22	"RN12 "	" oneCued "	0	" right "	8	225	"R "	0	8	"Q "	0	2	0	10	"VSJRYFNLKQPETDAHGUXBMZIO"	"NDOZKJHLIBESMYTUGAPXQFVR"	"MVIGYLEXQKONTFPUADRSZBHJ"	"DBIRVAYZJNTKMQESXHLUOFGP"	"USPHFRKEGYOVMBDQALNIZJXT"	"LIYSEMZFNTVBPRAKHJXQUODG"	"ZISGHYJQFVUOBXLDENPMTAKR"	"HUISMVQORTBNFXLKGEAZYPJD"	0	FALSE
"main"	25	"RN12 "	" oneCued "	0	" right "	8	135	"B "	0	10	"I "	0	6	0	1	"YHDISLKMFTZXEJGQNPVOBUAR"	"FYDISPNLKXBHRVTMOZEJAQUG"	"RFDOILXENHQZJPVYKUGSMTBA"	"YQFOVHLBIGMZDSTXJEUAPRKN"	"MONLKAEVDHYFZGTSQPIXJUBR"	"FLHXYEZTBOMKGRNDJASIQUVP"	"VQLGXTDPKUIBMSYNOAEHJRZF"	"ZXBTQJLMROADKYEUSVGIHNFP"	0	FALSE
"main"	26	"RN12 "	" oneCued "	0	" right "	8	270	"D "	0	10	"S "	0	4	0	1	"OVLNAPQITSMUJGKBHFRDXYEZ"	"TLIHSPVBYAXEQZKUNORMJFDG"	"OELJSFVRYHGNAPZMKTIXDBUQ"	"EJFRMLTUOQKAZVNYBDHIXGPS"	"AOVNGLEQRTSDFPBHMZXJUYKI"	"ZLRNJDMEGQIAPFHSTBOUKVYX"	"LIMGZBUKJSTRNHFDYOVEPAQX"	"RTQHSMEBKGXNPFDLVYZIOAJU"	0	FALSE
"main"	29	"RN12 "	" oneCued "	0	" right "	8	180	"K "	0	8	"J "	0	6	0	12	"VDOTUKPFQEGXHZJBASRNYMLI"	"KRJGTVHZDBMYALXUEQPOFISN"	"XQTELFNISKJZDVUHABYGMPRO"	"PQKJAXIDBZLUVFRHENMGYTSO"	"XLEOBFMDQAJGUHKSVPYRTZNI"	"PBYVQOMZSHNTAJDGEKURIFXL"	"VQFIXNDHJRMLPUAYZEGBKOST"	"OUXVGDEFZLNABKSHTMRPYQJI"	0	FALSE
"main"	30	"RN12 "	" oneCued "	0	" right "	8	225	"A "	2	6	"H "	0	0	0	1	"UFEQIGHASBTMLXJNZRPVYODK"	"UVHPSOYXQMTDEBJKIZRALFNG"	"TSOBXIGPUZKVAEYHDLRQJFMN"	"FAYKGUOPTJZVBLRENISHQDMX"	"XOSIMYJDUKVNQTAZGFRPELHB"	"PGNAHVFDRKBTJIZXUOQLESMY"	"DBZMQEXIYVRPLKGNFUHJASOT"	"KSYUTEXPAVLQBMFJINODZRHG"	0	FALSE
"main"	31	"RN12 "	" oneCued "	0	" right "	8	225	"I "	0	8	"R "	0	6	0	2	"HKSQERZOYXTLUJMGBPFDAVIN"	"MDSLJYEQIVXKHUPNZROGAFTB"	"ESDXLIQAJPGOHMRUVTKFNZBY"	"PDMXUJSAVYQHIRFEBLTONKGZ"	"UDIAQMJSKRNZXHYBLGPOFTVE"	"ZFPSADTNRKQJILEBOHYVUMXG"	"DKQOFZPTRXIJBGSUANYLVEHM"	"XNFSLHZUIVPMDKEBTGYQROAJ"	0	FALSE
"main"	33	"RN12 "	" oneCued "	0	" right "	8	135	"S "	2	9	"P "	0	5	0	2	"QGAMOBRPJNUVDXHEFKSZILTY"	"JUOIHYLMQREATBVZPFSGDKNX"	"VSNYOTKZFEJRUIAGQDLBMHPX"	"AZJGMNBKROUHYSEFLIDTPVQX"	"IEVNBHYUKZROXPJQAMFSTDLG"	"MUNZDQTFRPKSIELXHYVGAOJB"	"FISZUGLANDBRYEJQPOKXVMTH"	"GQBSLKPZJDUYRNHMOEITAXFV"	0	FALSE
"main"	34	"RN12 "	" oneCued "	0	" right "	8	270	"J "	0	6	"P "	0	5	0	2	"EULDYAMVTSBIHPKQZFJGXRON"	"BIEVYOMPQLHJSZFKGXNDTARU"	"EFKBNMTZIHLDOSQYPAVGJUXR"	"FZJUBAVSMIYHDTPKRLQNXEGO"	"YELPTRHBDNUVZMOAGXKFQSJI"	"IZBLENPKJMXRGUFYAQSHTOVD"	"IJTBLPVFQYOSMERHNXDZGAKU"	"AGNEMJKHDIXSYBOZRTQLPVUF"	0	FALSE
"main"	38	"RN12 "	" oneCued "	0	" right "	8	135	"O "	0	8	"V "	0	5	0	7	"MLROEBJHTZKIPASNQVDYUGFX"	"SDTPLMHIJOERZUXQBGKFANVY"	"ILRQXGAZFYUOBKSPMNTVDEJH"	"JEQNRBHMTOKUGPLXDFIZVSAY"	"ZKGYXNRUTLQDAMSEVPHBFIJO"	"FXBTNZGLVQYJAEHORSMUIDPK"	"MBOPITXAGJNZQDYFUKRHLVES"	"BKTHXERDOLANGYFQMUIJVPSZ"	0	FALSE
"main"	40	"RN12 "	" oneCued "	0	" right "	8	45	"N "	0	10	"I "	0	0	0	1	"LHJFRVXGQTINDAOBPEYMSUKZ"	"OXAYRLZQMEPBUSJFKGVDITNH"	"HDSNYPMEAZTKIRJQBOXUVGLF"	"DPOSVRLFQMAIKUHJYZGTEBXN"	"EYUIQRXDTMGOFBHPNJAZSLKV"	"FSGAVHOIPXZTELNJMUBRQKYD"	"GJTOMEIYNAQRLSXVPBZDUHFK"	"QZHOTKBMIUSVNAPYEDXRFGJL"	0	FALSE
