experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	streamsPerRing	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0 	LH9 	 oneCued 	 0.0 	 right 	 2 	 135 	K 	0 	7 	M 	0.0 	0 	0 	11.0 	YFUXIDPMJZONLRSEBVKHTAQG	DMZAKUYLIHSENPVQOTGJRBXF	-99	-99	-99	-99	-99	-99	0
main	1 	LH9 	 oneCued 	 0.0 	 right 	 8 	 45 	M 	0 	8 	B 	0.0 	0 	0 	1.0 	FHENGQARBMYDIOVZXPLKSUTJ	NJSPHDZOFKXAMEGITLYVRQBU	SAJKOXFNBGVIDZRPHMUQETLY	QYOTMDFANBUPIZLKSJGRXEHV	JVRXPFUNLAKIYDQOHETBSZGM	JTEHBRPYOIQGSFMKLAZUDVNX	ILDAHRJEKFZTMGNQXPOUSYBV	JTGXSZDIOUBVPMFKLNAQHEYR	0
main	2 	LH9 	 oneCued 	 0.0 	 right 	 8 	 135 	P 	0 	10 	S 	0.0 	7 	0 	3.0 	JRBTODAQSMPZLUNHGFVEKYXI	OABJSNIFDTVGKUHLQPYMXZER	YSAFBEGRHQLNDUZJPXVIOTMK	KDPEBSZYIGHTMLOJXQRUNVAF	TGVOZIHUFLDYBJASXNEQPRMK	QREAHKMVGXBFZYJTONLPSUID	QJFIBDZSOPNXYHGEVUKMLRAT	KRZLMHYVOUSDQPTAGFNJXEIB	0
main	3 	LH9 	 oneCued 	 0.0 	 right 	 2 	 180 	G 	0 	7 	G 	1.0 	0 	0 	0.0 	DYFPBSXGOHNUMQRTJEALVZKI	ATJFHZVEMXYPGDNURSQBOILK	-99	-99	-99	-99	-99	-99	0
main	4 	LH9 	 oneCued 	 0.0 	 right 	 8 	 0 	T 	0 	9 	A 	0.0 	3 	0 	1.0 	EBORPNJGLYQXMTFDVZSIAKHU	BNLVYAGUPZDKEMHJTRIQSXOF	DKUZRHYATMOQXESNBIJVFGLP	HRFQSJIZVATYMPDUNBEXKGLO	QJFZALYVRKGOUHMPBENXISTD	AFNYIOEBUXLGVTRZKPHMQJDS	ATBDVKUZYIGRMOSLFEXHJQNP	GYFXDIZEBNOVQJUKSTMLAHRP	0
main	5 	LH9 	 oneCued 	 0.0 	 right 	 2 	 0 	S 	0 	7 	X 	0.0 	1 	0 	1.0 	SDLBAOMPRNEYFKJZXTIUGQVH	PJTIALGXSDRZOMEFKHNVQUBY	-99	-99	-99	-99	-99	-99	0
main	6 	LH9 	 oneCued 	 0.0 	 right 	 2 	 315 	L 	0 	9 	X 	0.0 	1 	0 	1.0 	VOALKBYPRTNUDGMXJZQEFHIS	FBIOUNRTHXLQZJEAVYMSKGPD	-99	-99	-99	-99	-99	-99	0
main	7 	LH9 	 oneCued 	 0.0 	 right 	 8 	 315 	A 	0 	8 	H 	0.0 	0 	0 	1.0 	FMUTSRDIHAOVZJYPQKLENGBX	SXMKGVYBQPHDALTREFINOZUJ	VXDOGMENTLHFYJQKRPZBUAIS	JDXFTZAGRPLNHMIOBUKEQSVY	KJRPDMAXTNGLHOYEIFVQUBSZ	ZQERJVKFIHNBXDLGPSYUTMAO	DLKNYGFXPQJAESZTVBMHORIU	MSEORNLXAQHBFTIUDKZGJPYV	0
main	8 	LH9 	 oneCued 	 0.0 	 right 	 8 	 180 	H 	0 	8 	M 	0.0 	3 	0 	9.0 	KODLGVBZFAYUHIQRMXPJESTN	MBXPFJYATLQVOHNKIZDURSEG	KZVSDLFXHORPNUGMYJQBTAIE	DYIZQBXEMLONKGVSFHRPTAUJ	VGQLBHUXYPORFDSAMNKETJZI	BSGKRNYEZVXPTMHOQUAFILJD	YUQSGDAMPJIEKXFOTZVLBRNH	DYKPHMSFEXJVTRZAQNLBUOIG	0
main	9 	LH9 	 oneCued 	 0.0 	 right 	 8 	 315 	R 	0 	7 	Z 	0.0 	4 	0 	1.0 	JUPILZVAYXNTGRKSHFOMDEBQ	GRDJHETNPZOQULFIXKASMBYV	EVYADUHTBKJLQRGIXFONMPSZ	MIQOURNTELJHYBDPVKGXAZFS	EHOTUSMZRQANBXVPGLKIYFDJ	VINUAOKZJMGYDSFLXBEHTPQR	FZDASGUXLONRYHQKBIPVTEMJ	FRAVXOEGUPBDZMSIYJHKQTNL	0
main	10 	LH9 	 oneCued 	 0.0 	 right 	 8 	 135 	X 	0 	10 	Y 	0.0 	3 	0 	8.0 	MVQXDJARSZOUEHLFYKNPBGIT	DBTJEIQGVUHANPORFZMKLSXY	YOXBKVTIJASEZDQGPNLHRMFU	ONEPIQAJTSYKZHGFVUXBDLMR	TQEDFRYIJBSUVHNMKAPXGLZO	APVDKBSIYRMXHTUGFLJEOZNQ	XQLTGNSPJFYUOEAZDRKIHMBV	JGMYENVTLQSFOZRHUKDIBPAX	0
main	11 	LH9 	 oneCued 	 0.0 	 right 	 2 	 45 	O 	0 	9 	L 	0.0 	1 	0 	-7.0 	QFRETVUPONLSJXYAIGHKZMBD	VXOYGQBUNLPEISFZMDAJTKRH	-99	-99	-99	-99	-99	-99	0
