experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	streamsPerRing	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0 	AJ7 	 oneCued 	 0.0 	 right 	 8 	 0 	R 	0 	7 	F 	0.0 	6 	0 	4.0 	PYNODBAZUEFMIXLGSVRJTKQH	ZKHMGNVYJOILPXBDUASQETFR	AILGZONXYPEQRMUDSTFVBJKH	KFJUMETXZHVDAIPQYRGLBNSO	BQIYEDVHNOTMURXFALGSKJZP	VZGOMSBYIPUEDLHXNQTAKJRF	BLHDJKNFUTERAZMPXYSOGVIQ	XMENLDQBOAKIYPSRGZVUHJTF	0
main	1 	AJ7 	 oneCued 	 0.0 	 right 	 2 	 315 	M 	2 	10 	I 	0.0 	0 	0 	1.0 	VGKNTFYORLIMEUSJPADBXHQZ	ERFOGMKYPDNBXAQZLTSJIVUH	-99	-99	-99	-99	-99	-99	0
main	2 	AJ7 	 oneCued 	 0.0 	 right 	 8 	 135 	Y 	0 	7 	A 	0.0 	7 	0 	2.0 	HUYJBSNKMDTLOPZVGXFAEIQR	MUHJFOSRDEZVNBIQTLXPYAGK	HVRQUTNKYJLGPMSZBXOAFDEI	ZXMDITBQNEPVYRFSJOGUAKLH	JYIPZGUFVKBHOTSARQNMDELX	AMDIQYHVOERJPFZLTNXBKUGS	SLMDJBEPVXATIHZOQRGKNUFY	PRHVNXIAJYTOMKZBUQFELGDS	0
main	3 	AJ7 	 oneCued 	 0.0 	 right 	 8 	 0 	T 	2 	10 	G 	0.0 	5 	0 	1.0 	NRPGULDIJEAYHVMTKQOBSFZX	FSITLJHMDKEARQBNVYZOGUPX	REGXPOKDBNJQFLVSYIAMZTHU	BXJUAGOMNVTKIHSZEPYFDLRQ	UNIFAPZQTLHBRGXKVDOMJESY	ZRDJMOIUKHGTVXSYBLPFQANE	PXRNDVQHLYMGSFIJOBUKAEZT	AFGMNIQTBDSXVYPJUZLEROKH	0
main	4 	AJ7 	 oneCued 	 0.0 	 right 	 2 	 270 	S 	0 	7 	O 	0.0 	1 	0 	3.0 	HJSOZUKXFQBNYRLGIVDPETMA	JBURHEKOLQSGVZYPIDTXMNFA	-99	-99	-99	-99	-99	-99	0
main	5 	AJ7 	 oneCued 	 0.0 	 right 	 8 	 225 	P 	0 	6 	T 	0.0 	4 	0 	2.0 	NVJRLBQAFOKYMTHXIPESGUZD	PEUVHODMLGFBTAJSZXKQRNYI	JPHFYZIKUVLTQAOSRMNBXGDE	NDAEKZLYIJUQGFTXPSHROMBV	NUKLEITDPRGHBVJMOSZXYFQA	PQVJTAGHXMDBKYRUIZELFOSN	XBEDKQVYNHOPMGLJRSIFUAZT	ADPRVBZMHENOSJKLITXGQFUY	0
main	6 	AJ7 	 oneCued 	 0.0 	 right 	 2 	 180 	D 	0 	10 	G 	0.0 	1 	0 	2.0 	BYJSZAFIDUXEVRPHQTLONKGM	MOKZFTJEAPGIDUSQVNYHLBRX	-99	-99	-99	-99	-99	-99	0
main	7 	AJ7 	 oneCued 	 0.0 	 right 	 2 	 270 	K 	0 	9 	J 	0.0 	0 	0 	-7.0 	RYKAVSNGIJFDOZUEQXBMLTHP	UJOHXPDZBNEVAMKSQTIRLYFG	-99	-99	-99	-99	-99	-99	0
main	8 	AJ7 	 oneCued 	 0.0 	 right 	 8 	 0 	F 	0 	8 	J 	0.0 	2 	0 	1.0 	VKXENAGDFHYOMITLSBPUJRQZ	UTIYPEXNVRHABOZQGMJDKSFL	IOATXVQPJFGMZUEHSRNDKLYB	ASBJRXDLQZHFOUVTYIEKMNPG	SLEQHKOVYUXMAPNIGFDRTBJZ	SDLXZAYQUBGKIOFPJTMERNVH	QFPXGKNEIRUYASODHLMBZTJV	BOXJMDLUVTEYRKFSZGHPAQIN	0
main	9 	AJ7 	 oneCued 	 0.0 	 right 	 8 	 270 	Y 	0 	9 	Y 	1.0 	3 	0 	0.0 	FHNLVZRGJTSIOADMYQKXPBEU	FZXMYNEPIHGSBQUAJLRKTDVO	KQBAXPRTNMFISZVUOELHJYGD	XBDLTHFQOYNKPRAVUGJZSIEM	FGNVSRDKELIAQJOMXZUHBTPY	XHLFPIAUSTRKJMOQBDVGZEYN	JMEUKNXLFHSGVBAYIODRTQZP	TGIZELQNABPMJRHVKXFOYSUD	0
main	10 	AJ7 	 oneCued 	 0.0 	 right 	 8 	 135 	N 	2 	10 	U 	0.0 	7 	0 	1.0 	AUJMTKQISGYXHRVBFDPOLNZE	PLMOKSITEHGYJXBQAFUNVDRZ	RQYSXJIEPFNUHLZTKADGMOVB	LNZVSKGPRJTQFYMAIUHBXEDO	YBQPGKZHOANJXFDIERTLMVSU	TKVPMUEJFLRONQAXDHIBSGYZ	OLKIDUTZQSRVMHBGXAJYNPEF	ZOBMYJPSREUNKQAHXTIDLGVF	0
main	11 	AJ7 	 oneCued 	 0.0 	 right 	 8 	 180 	F 	2 	6 	M 	0.0 	1 	0 	1.0 	ZSRAUOTNJVLYMHIEPDFXGBQK	IVYNJSMFLUHRKEOZAPBQGDXT	GYKDLFURBVOAPISNHEQTMZXJ	DZBOVSUYALGERPMHQXFNKTJI	DLUVISXFNKJPBHRMOGAZQYET	OTIBKJYQDFXSMLEZUAPHNVGR	KGPLOXHDMVBIYAUQFNSTREJZ	RSJUPYZXKMDLHTFEGIQOVBNA	0
main	12 	AJ7 	 oneCued 	 0.0 	 right 	 8 	 180 	G 	0 	8 	J 	0.0 	0 	0 	1.0 	LOXKAZVRJGUTYSBQDHFEMIPN	PZXTOVRYMGKHEJNQUFDLSAIB	OHRVNZDSIATGYKJPULQXBMFE	RUNKTGVQPLAOBSJYDIFZHEMX	BTGQUMNXFDRZISJKOYVPLAEH	ODGZBNJMTKVISYQUEXPFLRHA	OEXHAKGISJQLZPMTRYNUFVBD	LKUZYIOBERHJQNFXSAPTGMDV	0
main	13 	AJ7 	 oneCued 	 0.0 	 right 	 2 	 90 	R 	2 	9 	E 	0.0 	1 	0 	-1.0 	KTDSYXFABRIPMHELZGQUNOVJ	AFZXBUJSREOGILTQVMNPDKHY	-99	-99	-99	-99	-99	-99	0
main	14 	AJ7 	 oneCued 	 0.0 	 right 	 2 	 90 	R 	0 	6 	P 	0.0 	1 	0 	1.0 	VHYOFNXRLDIJUPSKMGATQEZB	ESLTIQPRADHNOFGYUJZVMXBK	-99	-99	-99	-99	-99	-99	0
main	15 	AJ7 	 oneCued 	 0.0 	 right 	 2 	 315 	U 	0 	8 	V 	0.0 	0 	0 	-6.0 	AJUMRBOHVGEYZFKXIPNLTDSQ	IUXZAMPREJHDSLTBNGOKYVQF	-99	-99	-99	-99	-99	-99	0
main	16 	AJ7 	 oneCued 	 0.0 	 right 	 2 	 225 	D 	0 	10 	U 	0.0 	0 	0 	1.0 	RZVHNQIGKBUDYFXAJTMELOSP	SJFNRTXZAPQOGEYVBUHILKDM	-99	-99	-99	-99	-99	-99	0
main	17 	AJ7 	 oneCued 	 0.0 	 right 	 8 	 90 	A 	2 	10 	U 	0.0 	3 	0 	1.0 	GQEFUJSVRXYTOPHMLDAIKBZN	GBPJUKVADLMTIHRFESYQXNOZ	LDZYOKFSMQNUTJEIVPAGXBHR	KQSGHDIMOFUARLBXVNTZJPYE	PMBIYHAJSUKRDOGTQNZXVLEF	LBEXFNZSPHUODRTAMJYIKQGV	LUKJBOXMPAQDSTVIRHNEYGFZ	UOABMQLNRGSEJZDITHFPXYKV	0
main	18 	AJ7 	 oneCued 	 0.0 	 right 	 8 	 90 	T 	2 	9 	D 	0.0 	7 	0 	2.0 	NFEMZDBOUIJHAGXVRSLYKQPT	ZJXFHYBREAIPTGSULDVNOMQK	SDJPOGYUFLIHRBQVNKMTXAEZ	UJKYTIVMGOFDXLPSENQRHBZA	DJPTNLOBZYQVUMFXEGIRKSHA	EHRMZQFAXJUYOPDKBGSNVITL	VZHQJMTLGUPNSBOKADFRIYXE	EYGUOMLPHDXTNKFBSRAQJVZI	0
main	19 	AJ7 	 oneCued 	 0.0 	 right 	 8 	 45 	T 	2 	7 	T 	1.0 	1 	0 	0.0 	ULZPGKEJFAMQORXBHVNSTIDY	XPVZQYLTIHUSKFNERODJGBMA	EXRIVOQPSZBHYUTJKMAFDLGN	VMNKBJYPDHLSXQREUTIAFOZG	MOYQFEHRXPBSNAZGDTIJKUVL	INBEFQYPVASZHGOUDLXRTMKJ	FBVOKRLGTHZQEJMUIXYPDNSA	IRKLZTUHJEBYMNFPSVXDAQOG	0
main	20 	AJ7 	 oneCued 	 0.0 	 right 	 2 	 315 	H 	2 	10 	I 	0.0 	1 	0 	1.0 	HGNZPJYQBLKDMVTFUXEORSAI	UZGFKBDSMPIHXJTYLVQARENO	-99	-99	-99	-99	-99	-99	0
main	21 	AJ7 	 oneCued 	 0.0 	 right 	 8 	 225 	O 	0 	7 	Y 	0.0 	6 	0 	6.0 	UEVOFSJHZRPBLKIAGXTMYDQN	DENYRJQGZKVOAPHFSMTXIBLU	MXVINKBLPQUHEGSOJDTYZAFR	BSOGHRVNIUTFLMYKEAPZJQDX	YHNZRXFEKPVJLOGSDUTMQBAI	MOBLQYFIAKPJRTXNHDZGSUEV	BJEUSLKYHQZDAOIXFPRVNGMT	KGIRDPXOQBUJAVMTNLSYFZHE	0
main	22 	AJ7 	 oneCued 	 0.0 	 right 	 8 	 270 	V 	0 	7 	V 	1.0 	4 	0 	0.0 	QDVOBJAKRTPXUFEZGYHMLINS	HDLRVXFAPEBIKSJQYNOMGZTU	BDMSEKGLXPUIRZHNTQOAFJVY	FLBIQNKJTZRDVSAMXOGPYEHU	SREKOFPVUZHYDGNMJILABXTQ	ROQISUDFJPGVTXHAMYNKZBEL	MAXZHOYNSKTIQJLGDRPUVFBE	FRZBAXQGSOKUNJEPMHVTYILD	0
main	23 	AJ7 	 oneCued 	 0.0 	 right 	 8 	 270 	U 	0 	6 	Z 	0.0 	0 	0 	5.0 	OSRALKZINMJUBTHPXFEDQVGY	SBZOLJVGRHXYFQDNITEAMUKP	GHJDFTSNZKOAPULXQYMBIVER	VDYIZEPXHNOSJLRFGBKQATMU	KAZEFPHVTRSUBLQXONMGYIJD	PTFKENRSBIUXYLMQDGVOHJAZ	VHRDTAEOJBUSKZGXFYLINMQP	FLZUJPQETONGVABMSYDXRHIK	0
main	24 	AJ7 	 oneCued 	 0.0 	 right 	 8 	 315 	S 	2 	9 	P 	0.0 	0 	0 	1.0 	QXEIJVDYGPSBFUMONZTLHRAK	GIYUJXHOBNPRALDVZMQKTFSE	TVNYMJLBAEUFKOZXDHQGRPSI	XZPKSFOREBMDJIVUQAHNYTLG	MDTBEOANJRPUGKVLSQXYIFZH	QBPLIHDUEZSJXKGANVYOMFRT	JUPLYTOMZIRXDEGVHNKSBFQA	JMVAZDLQSIKGNUXFTBRPYOEH	0
main	25 	AJ7 	 oneCued 	 0.0 	 right 	 2 	 270 	O 	0 	10 	O 	1.0 	1 	0 	0.0 	NTQSROGUPDXFVBKAMIJHEZYL	AMRBTKPZLEODVFSQGYHINJUX	-99	-99	-99	-99	-99	-99	0
main	26 	AJ7 	 oneCued 	 0.0 	 right 	 2 	 135 	S 	0 	7 	L 	0.0 	0 	0 	1.0 	GQEXDIBLSMPTOVKYJAURZNFH	GBRKNQUPXZHFOVYEDLAISTMJ	-99	-99	-99	-99	-99	-99	0
