"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"	"fixationReject"
"main"	22	"18WN"	2	1	"E"	0	10	"S"	"False"	0	30	0	0	0	-1	"VGXHTOJYMESUAFPKLZIQNBDR"	"LGTUSEJRKNVQAHPMIYFZXDBO"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	9	FALSE
"main"	23	"18WN"	2	2	"A"	0	7	"X"	"False"	120	120	0	0	0	-1	"TFUIYPAXLEDBGOZVQHJKMSNR"	"QHYDUXZVLFKEPJSBMNGITROA"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	6	FALSE
"main"	24	"18WN"	2	0	"L"	0	7	"L"	"True"	60	60	0	0	0	0	"YPAZKVELQJRDHSXUGOTBNFIM"	"ZPDAJLKNOYUEFSXHBTIMVGRQ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	7	FALSE
"main"	35	"18WN"	2	0	"F"	0	9	"F"	"True"	0	0	0	0	0	0	"QUJLBORAXFMIKDVNYGSEPHTZ"	"PLYBFTAVGQSZERDNKJXOIMHU"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	9	FALSE
"main"	39	"18WN"	2	0	"L"	0	10	"L"	"True"	120	300	0	1	1	0	"DZRBTJGFVAKOYHEPNIULSXQM"	"REMPGVJFNTLAKXSDOQIZHBYU"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	10	FALSE
"main"	40	"18WN"	2	2	"Z"	0	9	"L"	"False"	0	180	0	1	1	-1	"DBPZTARYUIHLQKOSJGEXNFVM"	"JEFIRYTOZLGKVNXHDPAMUSBQ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	41	"18WN"	2	1	"T"	0	8	"Z"	"False"	120	330	0	1	1	-2	"ZOPHGJQYMTNSKLIBXVRUAEDF"	"LJSIFVTMZDNEUKAQHGRBYXPO"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	6	FALSE
"main"	46	"18WN"	2	1	"H"	0	9	"H"	"True"	60	270	0	1	1	0	"KXNVRAMBDSPLZHFTIGYUEQOJ"	"RXNUVZSYTHJALKQFIPEODMBG"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	9	FALSE
"main"	47	"18WN"	2	2	"V"	0	8	"J"	"False"	60	60	0	0	0	-1	"FGZAKSPVJLDXQTUMOHRINBEY"	"QTDBRNIHGPJFKVZMSEOUXLAY"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	7	FALSE
"main"	49	"18WN"	2	0	"O"	0	7	"K"	"False"	0	0	0	0	0	1	"AZEPUBGKOQDYHSXMNFJRLVIT"	"PZUXYFENJGTRVLIHDKOBMQSA"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	50	"18WN"	2	1	"T"	0	6	"T"	"True"	0	30	0	0	0	0	"VXQSOGTUZPLEIDFHRYBNMKJA"	"NDKSGBTJHPXOULIMARQFEZYV"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	6	FALSE
"main"	53	"18WN"	2	2	"S"	0	6	"X"	"False"	60	240	0	1	1	-5	"KTFRQZHMLIAVGOBXEJUYDNPS"	"YSQMBJXZHNVPITGRLFAEKUOD"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	1	FALSE
"main"	56	"18WN"	2	0	"P"	0	8	"P"	"True"	60	240	0	1	1	0	"RUQTVEYFMAGDSIZLHPKBOXNJ"	"OZGKAYLDPFREQUVINBHXTSMJ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	61	"18WN"	2	1	"G"	0	10	"G"	"True"	0	210	0	1	1	0	"UKOFIMGXZYTDBHNSVRLAPJQE"	"DZLNQUJHPOGKVBITRYMXAFSE"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	10	FALSE
"main"	65	"18WN"	2	2	"V"	0	6	"D"	"False"	0	0	0	0	0	1	"KBTHZADVSJXOIQNULRYMPFEG"	"FXIBYUPSTGONRMLHZEKVQAJD"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	7	FALSE
"main"	69	"18WN"	2	2	"X"	0	8	"A"	"False"	120	300	0	1	1	-2	"JGNBRIFXOMVKUPYDQTLHESAZ"	"VSOLYJXUAKMFIPGZEBQNDTRH"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	6	FALSE
"main"	70	"18WN"	2	1	"P"	0	6	"D"	"False"	0	210	0	1	1	-5	"XEAQVDYMOFRLKSBJTZNIHPUG"	"FPGRKBDSTXEQANJILHMYOVUZ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	1	FALSE
"main"	71	"18WN"	2	1	"O"	0	10	"U"	"False"	120	330	0	1	1	-1	"AIFQGNUVYSJZXLOHBKPERDMT"	"YKBFJNERZOUVTMDPXASQIHLG"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	9	FALSE
"main"	75	"18WN"	2	2	"X"	0	7	"B"	"False"	0	0	0	0	0	1	"GHJANDZBXFSVILKEUMOPQRYT"	"YAEZOGVHXDFPULNIQSBJMKRT"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	78	"18WN"	2	1	"O"	0	8	"L"	"False"	60	90	0	0	0	1	"PTJEARDYLOBVHIXZGQSUFNMK"	"ZFYHJEODBXNMRAUKLSPVITQG"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	9	FALSE
"main"	80	"18WN"	2	0	"M"	0	8	"M"	"True"	120	300	0	1	1	0	"QFISEJAYUMRXOLGKNPDZHBTV"	"JKTYZFONMHGUDISXBARPEVQL"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	88	"18WN"	2	0	"X"	0	9	"X"	"True"	60	60	0	0	0	0	"DPRZVNEIBXHAQFUYOSTJKLGM"	"XOLNEMUBJGIARDPSHVFKTYQZ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	9	FALSE
