"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"	"fixationReject"
"main"	20	"18HB9"	6	2	"N"	0	7	"E"	"False"	60	240	0	1	4	8	"EITQXZJGRLYKPMANBHOVFUDS"	"MVBRSZXOLNEJDKTPYFHAIUQG"	"TEJSHFPILUBMYRQDGAZXOKVN"	"XBQVGZDMKTYHEUJSLOFINAPR"	"AGLPFIOEKMSDUBJNZYVRTQHX"	"IQPYALFEMVNDRJGHBKUOXTSZ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	15	FALSE
"main"	26	"18HB9"	6	2	"O"	0	7	"P"	"False"	60	60	0	0	1	1	"HORJATDQNZLFIVMGXEKPYUBS"	"FKBEUXZPOJAMLVTDHGINYRQS"	"ADLJQNERMXVZPKSYTIHFUGOB"	"EHBUJLSRQYVMKXOFZGPDAINT"	"ZITQXAFDUVKJYSOHREGNMPBL"	"DVBTLUSIOMFEPYZRXJGQHANK"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	33	"18HB9"	6	2	"Y"	0	9	"O"	"False"	0	0	0	0	0	2	"KHGVPNDRZOJYBISMXATEFUQL"	"LMJOFAXZYDVPGBTUNSEHKQIR"	"OYAGMFUDTXPBQHZKJISRLVNE"	"JALGPNHQXSBEDRVYTMFOZKIU"	"BMHJXKSFNDVYUOILQGZRPTAE"	"OQASMURZFJDIXENKYHGTPBLV"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	11	FALSE
"main"	38	"18HB9"	6	1	"E"	0	7	"M"	"False"	120	330	0	1	5	1	"YBUFGLOSIKPDARZHVJMENTXQ"	"GPMZQHOXSENURBYTALJVFKDI"	"QOGZLBFNKISJYVUETXMAPHRD"	"XMIEQTSFBKHNPODGYRJVAUZL"	"PJYITVZODXLHEFSGKNMBUQAR"	"VRHABZUMENYQXLGKOPDIJTFS"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	42	"18HB9"	6	1	"N"	0	8	"J"	"False"	120	330	0	1	5	-7	"KVPFMZETULIASXRBHNGDYQJO"	"KMIXGYHPSFJZERAUDQTVOBNL"	"EJHMFULVZPKRSIONBAXDYQGT"	"HTUMAKRZDGLQYBSONPVJFXIE"	"MGOVTPZUXKAIDYLBFJSRHQNE"	"XNVTMPSUJDRLAZEFIGHKBYOQ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	1	FALSE
"main"	43	"18HB9"	6	1	"E"	0	7	"K"	"False"	60	270	0	1	4	1	"ELOSPUGYVAFIMHQDZJBKXTNR"	"YEGHZTKBNVJAOMQDPSLIFRXU"	"MIBYHRXUFNDAVEZQPGOJTLSK"	"BGZUPKMDYOLSRNXVQFTEAJHI"	"AIHXUBQKEORJTLPZGDSFYNMV"	"QPSZUDVGNEROFTMAYKHBLJIX"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	50	"18HB9"	6	1	"A"	0	10	"Z"	"False"	120	330	0	1	5	-1	"FKODVBUENGPJZATHYRLXQSIM"	"SIOMKAEXBRZTNLUFHPVYQJGD"	"AIMJGOQXKZVYRLTUFSPEHNBD"	"VJLITSQNEHXRPMOYKZUDFBAG"	"NUGJDRVIYKQTOXEAMZBHFSLP"	"OLJDPBHENAZMURKIFGQYXVST"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	9	FALSE
"main"	53	"18HB9"	6	2	"N"	0	8	"H"	"False"	60	240	0	1	4	3	"ZRUXGLMVJQYTNBEAFIOSKPHD"	"VTRFIEZPJAOSXYUDHQNGMKLB"	"EFYRAMUHXBGPVQSITLZJNDOK"	"ESMXJGUONBYAVDQTLPKHRFIZ"	"ZDQESGKBHXMNPVTFLUAYJROI"	"YEGQFAPBXUSDTRILVZKNMJHO"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	11	FALSE
"main"	56	"18HB9"	6	0	"D"	0	6	"B"	"False"	0	180	0	1	3	1	"PHRJEMOBUZGQFVKSDANYILXT"	"RIXFYEVPBUHSNZLKDOQGJATM"	"LFSHEXPQKOIANJZURGBYTDVM"	"AVSRLYBDIZPGNXQOJMKFTHEU"	"XYJKHVODFGLQRISZMUBETANP"	"MTDIYFERPNLSOVQUHAZKJBGX"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	7	FALSE
"main"	58	"18HB9"	6	2	"K"	0	6	"U"	"False"	120	300	0	1	5	4	"JXZDVPRLNGUAHKTBIOSYQFEM"	"SVNKYFXAZMLOBPTEHGUDQJRI"	"XAYZQVRPSTFHNOMLUDKIEGBJ"	"ZHFOXVUPMIJKYERGTDSBNQAL"	"LSHEZBPIKNUXTAMFDRVQGYOJ"	"GDARHFUTXEKBMZOYJVQLPISN"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	10	FALSE
"main"	59	"18HB9"	6	1	"M"	0	10	"M"	"True"	0	210	0	1	3	0	"HONJPRMQFYLATIBZDEUVKSGX"	"XURFQJMGZNITBSHKEYADPOLV"	"QKUTPDHAJEGLIFOXBMNSZRYV"	"ADTGLQFSVUMEJOPKNIXYHRBZ"	"NMUDHQYOEBXVIZTAFSLKJRGP"	"YVSMXDRAZQJTHKBNILFOPEGU"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	10	FALSE
