"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"	"fixationReject"
"main"	104	"18PF6"	6	1	"A"	0	9	"Z"	"False"	0	210	0	1	3	7	"DXATUMBSHRIJZPYOQNKGVLEF"	"OXNYVQHZIPKDSMRAFELBGTJU"	"VSXUAIQKPFOEZYDTGMBJLHNR"	"JPDMHBFITZQNXYLOAKVERGSU"	"OHBIULAQYREXFMKZJTNSGPDV"	"USTDERNYAZBQLIHVJGXOPMKF"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	16	FALSE
"main"	112	"18PF6"	6	2	"S"	0	10	"K"	"False"	0	180	0	1	3	1	"XUSKJNPLZHRYEOVFQDABITGM"	"VEZSMUGDLQFOJKXIYPABRNHT"	"UQANHJZEBIDTXLPGOFRSVMYK"	"GIYVZNHORMKSQDJEABTUFLPX"	"BQNKUIDVOHTMEGARXSYZPJFL"	"JDEMAXLUSHVPQTFONIZRYGBK"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	11	FALSE
"main"	128	"18PF6"	6	1	"S"	0	8	"I"	"False"	120	150	0	0	2	-3	"MYSGKIQRPFHUBZADVOXNJLET"	"TAEKQXFUGROSZVYIPJMDLHBN"	"ARTJFSMEIBNOGULYHVKZQXPD"	"QXHFSUPIMGYRJEBTDOZNAKVL"	"FKJXIHTSEYUABVOQMPLGNZDR"	"OAVFHBYKZDEQNTGLJSXIPMUR"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	5	FALSE
"main"	132	"18PF6"	6	1	"R"	0	9	"P"	"False"	120	150	0	0	2	-1	"SMEAGQVJHKFXPBDUOLRYTZNI"	"GRHBQVPYZNTKELDOFMSIJXUA"	"SJBUNGEDRPLFYMHOTAZKQVIX"	"JDEQGKTPYFHSVMZIUNBAOXLR"	"FRYDMPBXGTLAJUVQNEKOZHIS"	"HLRZUVOESPBAQXGKNIJFMTYD"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	137	"18PF6"	6	2	"P"	0	10	"G"	"False"	60	240	0	1	4	1	"KRNXSADVZPJHIGEMULQFOYTB"	"SJNEKMTARLXFUDHZYQGIBVPO"	"AHUKGJEQNDXYPMZBSFLVRIOT"	"FLTNXZEMVUYQDOHAJRBSKIGP"	"LBIKAEQZTMGPNRHFXSYUVDOJ"	"KUZYSVFQLRTOJPHAENDIMXGB"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	11	FALSE
"main"	138	"18PF6"	6	0	"K"	0	7	"V"	"False"	120	120	0	0	2	1	"GZVHNXYRUPTKMOLISAQJDBFE"	"TPYHUVNDAKBQJRGSIOFMEXLZ"	"YILGPEZVKTQRMNXFDOASUBJH"	"BAOMDVEFRLHIUXNGPKTJSYZQ"	"KDYUAHJQGEVNBFILSPRMTXOZ"	"VGDOEKITLABRHFSYMQZNUXPJ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	141	"18PF6"	6	0	"Y"	0	8	"Y"	"True"	60	60	0	0	1	0	"PRGTSODXZBLIAKNVFQUEJMHY"	"QHTOZLUSYNIDVAGBKEXRPMJF"	"XSDYUFOZQAVTMNIHGLRJEBPK"	"LSRPJGQMZTFUVDHNBEKOXYIA"	"AGRDOQYKZEVMUIXFPHSTLNBJ"	"ILXUPQAYHRVGJONEDKFSZMTB"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	143	"18PF6"	6	0	"H"	0	9	"H"	"True"	60	240	0	1	4	0	"BKPQDHXVOYLNISGJAZEMTURF"	"EBRSHJAZXTLUNGYMVOFDKQPI"	"YXOLJHMUDSKQZNVIAFBPTRGE"	"DHJGURBKTPVYLSEMAFIQZOXN"	"BLZAKXSYPHTOENJGDUVIQMRF"	"UKHYIDTLVARZOGNJSFXBQMPE"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	9	FALSE
"main"	144	"18PF6"	6	1	"M"	0	9	"M"	"True"	120	330	0	1	5	0	"OIZYVPJMRUXKBNSLGTFAEDQH"	"VSIKQLBFGEZXNPYUAODHJMTR"	"FKPQVUOYHDBTAMXSJZLRINEG"	"MHQKUZDOGTFXAVBSPNEILYRJ"	"VXRGKZSATQUBJIFMEODHPYNL"	"UYXTIDVQPMJNZGKHOBRFLAES"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	9	FALSE
"main"	160	"18PF6"	6	0	"U"	0	6	"U"	"True"	0	180	0	1	3	0	"NXYIBJSVAMTRDFUOKLHZPGQE"	"KRSLAMHDYNXQIJGOFETVZUPB"	"JLGKZQHDBOMREUTIYNSXPAVF"	"AVOFBSUTZRGHQJEPXLMKDYNI"	"OLXBQZRJUDENYKIVTGASFHPM"	"HEKADGFYJIQMORXUVPBTLNZS"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	6	FALSE
