"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"	"fixationReject"
"main"	51	"18TR1"	6	1	"M"	0	6	"A"	"False"	0	210	0	1	3	-4	"NFGEZBYTULKJRXOSDHVPMAQI"	"XMRBESLHFDOIJVQAGYTNZUPK"	"TELKMBJORAGQPYNZSIUFDVHX"	"QEMPIOAUTHDZGBFRYXLVSNJK"	"UDXLRPFOTQJHMYSGNAKZIVBE"	"KAHMLPNQVTGBXZESUOIJFRYD"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	2	FALSE
"main"	56	"18TR1"	6	0	"M"	0	10	"M"	"True"	60	240	0	1	4	0	"ILJGUOTEKSMARZQXVFPYDNHB"	"EQNXFYVIKJDASGBOTPZULHMR"	"XIHZMTGADROVFLEQJPBUNSKY"	"RMIYXUAZKSBDTJPOLGFVQENH"	"LKRPSTGIXZMHYNAJFOUDBQVE"	"YJLKXEGODAIZSFBUQPRMVNTH"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	10	FALSE
"main"	61	"18TR1"	6	2	"S"	0	7	"G"	"False"	120	120	0	0	2	-5	"NIRVJGYOHBLDMEPUKQZXASTF"	"QUVEAJGFZSOIXNRLMTKBDPHY"	"NBSOEIZGPAXMUYKTLFJQDHVR"	"RFVLMJSZPEYBUNOHTGIQDXAK"	"PTUEZXKBQIRLOYHAGDMSJNVF"	"UPLVIARBJDSONYZGQXHMTFEK"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	2	FALSE
"main"	62	"18TR1"	6	0	"N"	0	6	"T"	"False"	0	0	0	0	0	1	"AYLIUQTNGJPOVKHFMZSRXBDE"	"AHRGTVFKOXDJBEQPMZYNLUIS"	"MZIKOBLPQREHXNYJTFUAVDSG"	"FYKRXNAPSMIUTVEOLBHZJQGD"	"UNDQPRKMYBOHZJIXSAGLEVTF"	"BPUOKVQHFIAJDYXNMGZRESTL"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	7	FALSE
"main"	65	"18TR1"	6	1	"R"	0	10	"S"	"False"	60	270	0	1	4	1	"NVUZIEPHMQTALKYFRSJXDOGB"	"PJEOKFMBITQVDLXGHYZASNUR"	"LSUVNBJIQTXAMOKFEDPZRHGY"	"LDHXYAVQRKBITMSZGUFNPOJE"	"LMNZOUDBHPSRAEJYFTQXVGIK"	"MOEAHXNJIZLRGKPVUYSDFTBQ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	11	FALSE
"main"	71	"18TR1"	6	0	"S"	0	9	"U"	"False"	60	60	0	0	1	1	"MBEHXQKSDLROVYFJZUTAPIGN"	"THYPOKAGRUSIVMQJDZBFLEXN"	"KFPMHGVRNIUJSTLOBYDZEAQX"	"BFKGDRASTYZLQNIMUEOVPJHX"	"PRNATEFHVZQYLOGKDJMUBSXI"	"AOXSKRNYDIHMFLBJZPUGETVQ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	10	FALSE
"main"	75	"18TR1"	6	2	"M"	0	10	"M"	"True"	120	300	0	1	5	0	"TZRJQUMSOIKENBVAXFGDPHYL"	"NPYBFZEXRJVOHMDSTQUKGIAL"	"BZTQRJMUFVEKGNXDHILOSAYP"	"ODGHNJPEFZSYUXVKMLTBQARI"	"XOMEJSUZGRFAIKDPLBNVHTYQ"	"BQKAPSDLOTMIHUNZEFGXVRYJ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	10	FALSE
"main"	82	"18TR1"	6	2	"M"	0	6	"Y"	"False"	120	300	0	1	5	10	"FTVOHLMIQGBZSYNKAUXDJPER"	"BHRQFZUPVEJDATILYSXMNKGO"	"QEKUHJAROGLDMBSZPFTIXVNY"	"VDTZBJPSIQRFEGXHKMOYUNLA"	"JEMBVNUDLFQROYIKPSTXGAHZ"	"IGNTSOYHRVAKQFPUMJLZEBDX"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	16	FALSE
"main"	83	"18TR1"	6	2	"S"	0	8	"U"	"False"	0	180	0	1	3	1	"DSVOPRUZNIFKETAYMQGHBJXL"	"MDIQKJEVTOLPXHSGZYBNFUAR"	"VOSKJHMPUNYBDEQXAFTLZRGI"	"JGKRYDMHUSXNIZBVEOALFQPT"	"KZUIDRYEHTBVLNSXAJFQPMOG"	"PVJDTBRXMHNGUSYKIFELAZOQ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	9	FALSE
"main"	91	"18TR1"	6	2	"Z"	0	9	"K"	"False"	120	300	0	1	5	1	"GJOQTDYVMXLAPBHIUNSRZKEF"	"DRZBIJLNXMOYPSTHUFEAGKQV"	"XSLFDYUMIHKRNBOJPAEGQVTZ"	"LKSTZVAJRHBQUDPYOXMFIGNE"	"NBTLUVJHAZXSMIGOKQPFDREY"	"FAEUIGYNXKZHVQTBJLDSMRPO"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	10	FALSE
"main"	94	"18TR1"	6	1	"M"	0	8	"M"	"True"	120	330	0	1	5	0	"AIDRZJKBGNTHYFELXSQUOMPV"	"DUFMHEORNJBTLQIXYZKASVPG"	"XJHFMZVISGPKALUEODNRBYTQ"	"TLRYVMKZDFJABEPXNIGOHQUS"	"TSBAVRLZUEXYJMFQDOIHPNGK"	"QEIZASYRMPGFHXKUOBTNVLJD"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	95	"18TR1"	6	1	"X"	0	6	"Z"	"False"	60	270	0	1	4	1	"USFVBYMLOQDARJHZXGIEKTNP"	"ALQJTNDISBOMYUZGFEHXVKRP"	"XGVIDHQUKJRYTANBPMLFOSEZ"	"TVLPJRBIUMAXDQOKSNZYHEFG"	"EUKIRDZXLGTYVMSFPAONQBJH"	"YTFSXRLQHOMBNIZPAGDVKUEJ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	7	FALSE
"main"	96	"18TR1"	6	0	"S"	0	8	"N"	"False"	60	60	0	0	1	9	"BAUDMKOVTSIJPQYHLGNXZERF"	"ODRETZAKNBGVFYHXPSUMIQLJ"	"PJOXYQAGSKHFTMUVBEDLZNRI"	"KSTRIFYJLAEDBQXOVGNUPMHZ"	"LTZGVMHPAQUXRYSONFEBJIDK"	"MRZSXQDPBJGYOHANEIKTLVUF"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	17	FALSE
"main"	97	"18TR1"	6	1	"G"	0	8	"X"	"False"	60	90	0	0	1	-3	"BRAZTFKXNVLSMOPQIHUDEYJG"	"JQPOKGTFXMVERYIBUZSHNALD"	"SNIMREBAKOLTZUXGDVJHQYFP"	"IJBVGQUYXLSOHRTAKPNZEDMF"	"HNUERPYSVZIBLTGOXKMDAFJQ"	"VNYQEPDTKIHBAUXGOZRMFJSL"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	5	FALSE
"main"	107	"18TR1"	6	0	"G"	0	7	"A"	"False"	120	120	0	0	2	1	"HMNTIYFQXDLSGAEZJUPBKVRO"	"GIHESUXVMOANQDFTYRLZPBJK"	"NKXIZEJAGVUYRHFBSLPDQMTO"	"JFMGRPDVQXSATKULINEHZOYB"	"FQYHAKTXIROGMZEDLVBSNPJU"	"HLBRGYJDVXUESTKAINFPQOZM"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	117	"18TR1"	6	0	"A"	0	6	"Q"	"False"	60	240	0	1	4	1	"VYQPNGZTDMXFISUKBOHJEALR"	"FDOPZVQXHSUIETJBLYARNKGM"	"PFSBOYIERJNQVUGLHKDMZXTA"	"KUDISYMLFOQAZGEVHPRBTJXN"	"SDTIGFQANYLJPEBXHUORMKVZ"	"UGQFBXMSHYINJKAVLETDPRZO"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	7	FALSE
