"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"crowded"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"
"main"	121	"AC5SONA"	2	2	"Bouma"	"X"	0	8	"P"	"False"	0	180	0	1	1	-6	"LKPEGNDJHFBTOSIQXYMVUZRA"	"BGXTOQHNPZKRAUDVSMFLYJEI"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	2
"main"	131	"AC5SONA"	2	2	"Bouma"	"I"	0	8	"S"	"False"	60	240	0	1	1	1	"ARGKIYDFJHPUVSLBZQOMEXTN"	"NDVUFMLRSIHZEOXJTGQYAPKB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9
"main"	144	"AC5SONA"	2	2	"Bouma"	"K"	0	9	"X"	"False"	120	300	0	1	1	13	"FKIGPMRBXLUHEVTONZYAJQSD"	"OTFQUGNBLXARPZVDJMYIHEKS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	22
"main"	148	"AC5SONA"	2	2	"Bouma"	"K"	0	9	"I"	"False"	120	120	0	0	0	1	"LQUMYJGNPIKERABZTDVOXHFS"	"OSRNVMXEHFKZYJGTAPBQUIDL"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	149	"AC5SONA"	2	2	"Bouma"	"K"	0	10	"Y"	"False"	120	120	0	0	0	-9	"XKUJMZVADLYNTPIGFQHSBREO"	"VITROAPSQDFEBLUGZHNKXMYJ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	1
"main"	153	"AC5SONA"	2	2	"Bouma"	"P"	0	7	"R"	"False"	120	300	0	1	1	2	"HDPAJTKYUSIOXFLEMQGZBNRV"	"UXMSHBTRQPVDJGZIYKALNEOF"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9
"main"	160	"AC5SONA"	2	2	"Bouma"	"G"	0	6	"S"	"False"	0	0	0	0	0	-3	"DZNGAUSOTFYKMIHJLQVXPBRE"	"ZEOUHQXJFLKTIDBMRAGPSNYV"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	3
"main"	162	"AC5SONA"	2	2	"Bouma"	"K"	0	7	"S"	"False"	60	240	0	1	1	-3	"JVELIBSNMTPHGRQAOFYKZXDU"	"VYIJKAMSQHDUEFRXNTGBOLPZ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	4
"main"	163	"AC5SONA"	2	2	"Bouma"	"Y"	0	6	"R"	"False"	120	300	0	1	1	-6	"VARXHPMFKUBESIYDLOQNJZGT"	"YTPGIVRXZNQSFEKMULHBOAJD"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	0
"main"	169	"AC5SONA"	2	2	"Bouma"	"P"	0	8	"Q"	"False"	60	60	0	0	0	11	"NMRSYDVUQJFOGBKZELXPTHAI"	"TIJYXAVMKFBSLRODUNHEPGQZ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	19
"main"	179	"AC5SONA"	2	2	"Bouma"	"K"	0	6	"D"	"False"	60	60	0	0	0	2	"BJOIASDNKXTVGRUQZHLPEFYM"	"PTOJUYRVENSMFLBKQDHIZGXA"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	8
