"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"nPreCueStreams"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"angleOfWhichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	24	"SH20"	"nStreams"	0	"right"	2	180	"R"	0	10	"L"	"False"	5	45	0	5	"IPZSQOXFGAUBNJHLYVTMDKRE"	"UGEJOZYSRTIBLFXVNDHAPKQM"	"RAUMPOVQHFZKIGTYEJNBLDSX"	"DHTGPXBROQSIAZUNKMJEVFLY"	"YBLXIDNQEKRJUVFHOGASTPMZ"	"KNIMVOBYZULXAJDRTQGFSEPH"	"XUPSKGZHRJDATEQFVOYLMBNI"	"UDNYAHLZKOQJXFTISEVGBRPM"	1	15	FALSE
"main"	27	"SH20"	"nStreams"	0	"right"	2	270	"A"	0	9	"A"	"True"	7	-135	0	0	"DKVIAHQGEJOUNXYFMBZRPTLS"	"AMEPTSRODKHFZUIQNLGVXJBY"	"DLFBIURSKENZPTXJHAOMGQYV"	"KULRMZVNIDSHBGYOFEQPJTAX"	"UPGJYEMDHRKLNFTIOBVQZAXS"	"PMILOYBKRAQZHTSFNXJGVUED"	"ZXJMFGHUNTEPLABYRKSQVDOI"	"TUYOQBKMPAEZHFSLRNXJDIVG"	1	9	FALSE
"main"	29	"SH20"	"nStreams"	0	"right"	2	270	"E"	0	7	"F"	"False"	4	90	0	-7	"STLHBPIORZGMNQVDKXJFAUYE"	"NPZTFHBQXDGYAUMROELIJKSV"	"VPHMXAYFBLENJOKQDIZTGUSR"	"VSILMKYFXZHTJEONAPBRDQGU"	"EPGSOJDFRZHTXKYVMUAINBLQ"	"YLKJIXOBUMPSDRVZHGFAQNET"	"RMLSVETNXIHZAYFPUOQJBGKD"	"AYRDEMTVPIJLQOZNKBUSXGHF"	1	0	FALSE
"main"	30	"SH20"	"nStreams"	0	"right"	2	90	"E"	0	6	"F"	"False"	6	-1.40334185971e-14	0	5	"XVRFQMUPGJHLOBANDZYKTIES"	"YQLBGVKSZTNHEXFODMJIPRAU"	"USPKQYZEGTHNFXBALJRDMVIO"	"DGQINUXZHREKMTYALJBFOPSV"	"DSQROELITBKPJGFHXAYVZNUM"	"DHFVSYUGRBXMENTKAIJOZPLQ"	"HPGMXQFVKUTEJBSZDANRLIOY"	"KGRJSLUAMIPFHBEVYOZNDXQT"	2	11	FALSE
"main"	31	"SH20"	"nStreams"	0	"right"	2	225	"F"	0	7	"E"	"False"	2	-45	0	13	"OKZREFHYLNQATISMJBVPUGDX"	"OGUIJSKPELRBAQTZDNXHVMYF"	"OKGSPJAEYDMVNTLUIQZXFRHB"	"EMKSBATUNFXJPDLQOYZHGRIV"	"KFALOXVGMIBPZRQEDHJSYUNT"	"IHYNXZFJQPTEARKLOMSGUBDV"	"ABEQOZVLYXFSRGDKJPUHITNM"	"VUXIHYJOERKLPTSMFDZGNQBA"	2	20	FALSE
"main"	32	"SH20"	"nStreams"	0	"right"	2	0	"A"	0	10	"S"	"False"	5	-135	0	1	"SMJQDZVRNXEYUHLPFBIOGTAK"	"PBQYRTKGFDLVHZJUAESMNOXI"	"ZHEGNQJIUYLRDBXAVSPFMOKT"	"ZLSEHUNFGTPKIRODBVXYQMJA"	"AFQSJUDZPYKXEOBGLRTIVNMH"	"LIDJVFUYPTSAQRZBMHEXGKON"	"YOHDXPFVMLQBAJZTNUEISGKR"	"UODLBEGSHFIJANXPTRQKYVZM"	2	11	FALSE
"main"	38	"SH20"	"nStreams"	0	"right"	2	225	"O"	0	8	"O"	"True"	2	-45	0	0	"KMYZBOQJSRPEUTXINHLADGFV"	"JGLMYRTDPQXOEKZSUVBFHIAN"	"TMNGHRAKOIXDYBQPEUSFVLJZ"	"NIATPGJHXEODQUMSZKLVYFRB"	"DZRPBVEMSUQTLHOJNKYFAIGX"	"IUREMKPTLYBOVANXHJQSDGZF"	"TZSMABLGXEOVKNRQDHJFIUYP"	"NFPYGOMRHXVZIQTAJUKSELDB"	1	8	FALSE
"main"	39	"SH20"	"nStreams"	0	"right"	2	45	"E"	0	6	"E"	"True"	1	90	0	0	"SZBPAXJEITGUNQMHVDRFLYOK"	"VFATZGEUKQPOMRXLIBYJNDSH"	"GUJTEKBPDMZHALFSONVRYXQI"	"LMDAQGFKYPXZSORVBJEITNUH"	"ISTXEYVKMPFDBAOLJHGRZQUN"	"MTGPVNOYKZUHDXSRLIFBEQJA"	"AMIQDYNUTKSBOJLEGVXPFRZH"	"QEZJFSUDRYXOIHVNPLTAKGMB"	2	6	FALSE
"main"	46	"SH20"	"nStreams"	0	"right"	2	270	"P"	0	6	"P"	"True"	6	180	0	0	"XGFYMLTDPINVQHUOJEARZBKS"	"LURXOVFHQDPAETBIMSYZGKJN"	"HYOQTRPXLSDNAJUEFIMKBZVG"	"NRGVOUFDBELMKYXSJZATHIPQ"	"TUFDXBPSIQVNZRLJYKHMEOAG"	"XOPJESTVIYLGRNHDQKZFMAUB"	"MQTDHYPLKXSIAFNERGBOJUZV"	"ERISTXFNBLAUZKPJGQHYMOVD"	2	6	FALSE
"main"	47	"SH20"	"nStreams"	0	"right"	2	45	"K"	0	8	"E"	"False"	4	-135	0	1	"ORFXTKDGEYHIBAQSZJMLNPVU"	"OIGKRDFXNESVTHLJBAQUMPYZ"	"SLYMENAFIVURQKDZOPXTBHJG"	"SRXPUVKEGDHBTINFAMOYZQLJ"	"ZBFUIPTAEKRDHVNXJSQMLGYO"	"KNBQEXIVSOPLFMYRTJAHGZUD"	"PLVJBODGRIYMXFNZASTHKQEU"	"QPRYOLIXVNTZEAJSHUBKGFMD"	0	9	FALSE
"main"	48	"SH20"	"nStreams"	0	"right"	2	135	"E"	0	10	"P"	"False"	0	135	0	2	"DJLHOKRYANPMETSGQBZFIUVX"	"GLSPMFONQZKYVDRJBAEUITXH"	"QESPLNVTUHMFRXIBJZDAYGOK"	"VXPFQJEHIDAOYRZLMSGNUKBT"	"KGYBRAPHSJITQUXMNVLEDZOF"	"VDUPMOXFEZSTLNAGQYJBIRKH"	"UIJZYRVLMTPSBHOKFGAXNDEQ"	"HFMKXEOLBTJSZVRPAYUQGDNI"	2	12	FALSE
"main"	53	"SH20"	"nStreams"	0	"right"	2	135	"R"	0	7	"X"	"False"	5	-1.40334185971e-14	0	2	"EHSOJPRYXILABVFMZNQDUKGT"	"ZHJDUPOVQLRINAYMFBESTKGX"	"DUGPAXFTYSEKHBZLIQVOMNJR"	"MFURAQTBKIGVLSDEXOHZNYJP"	"LIBHNQKURSFJPYGEZVMOXDTA"	"EOQFNMVXBRHUKTDSAJGPLZYI"	"ZHQDGVFUIPNYLSBXMKEJOTRA"	"VSEKPFITUXDOBMQRLNHJGYZA"	0	9	FALSE
"main"	54	"SH20"	"nStreams"	0	"right"	2	225	"D"	0	10	"F"	"False"	0	-135	0	1	"BPLMGQTHJEFDUYZIXSVOKNAR"	"OULDKBXTAPENZGMQYHISJVFR"	"EZDPHIVQBXLTNJKSURMOYFGA"	"OPSKQYXJBRNZMUVFTIEADGLH"	"UQJLKYTARBMPZFGXIVNDEHSO"	"JPMQGUXEAIRVKBDLFOTNZHYS"	"EKISFUZRBONPDAJQYMHTGXVL"	"OVYBQFJPLSTUHDANMZRKXEIG"	2	11	FALSE
"main"	55	"SH20"	"nStreams"	0	"right"	2	315	"G"	0	9	"Z"	"False"	4	135	0	2	"YXUHLZKDRVTOBMFGEPIJSQNA"	"HXPLMGQEOIJABUVKTZFSRNDY"	"VUFHIGYKSOAZNMPXLJBQETRD"	"ZFLSPXOKRUAGITDJVEBQNYHM"	"MTEIYQDXFZRGLBVHPUNSOKJA"	"HKQGTDAVOLSFNIUERBZXYPMJ"	"GYPMNIALUQVSJTRDHBZXEOFK"	"NJMIFUPYATHLGBQZDROXSKVE"	2	11	FALSE
"main"	57	"SH20"	"nStreams"	0	"right"	2	0	"R"	0	9	"L"	"False"	3	135	0	1	"BRJXMEHPGFOIYNVZAUSQKDLT"	"VBYLJPDMIGRQAFSUTZKXHNEO"	"OXQZFVMLDUHGYKPINSRBJEAT"	"SOTNAFIVMLREXQYPJUGKDHZB"	"HJUKVZDORGAEYNTQXLMFPBSI"	"NMOPXJFAIZQTUYDSLBHRGVKE"	"XEBFNSKALQYZGTOIVJDRHMPU"	"PBGXIARFLVSEMKQTOUDZYHNJ"	0	10	FALSE
"main"	60	"SH20"	"nStreams"	0	"right"	2	90	"H"	0	9	"Q"	"False"	5	-45	0	1	"HLVIEBSZJAPXGDROYFQMUTKN"	"OLQPVXBMYHTGZFDIAKEUSJNR"	"ALPJEDZGSBQFNRUXTOKIMHYV"	"XAEFHTVBIPGSONURJZYDKQML"	"TGQLYFKEARVOSBUNJPHMZIXD"	"JXYMAIVRTQHPBSODFZNGULEK"	"RPVLBOENGDUQAFZMYSXKITHJ"	"GARKTYLXZSMQJNHDBUIPVFEO"	1	10	FALSE
"main"	63	"SH20"	"nStreams"	0	"right"	2	225	"S"	0	6	"X"	"False"	5	90	0	4	"JQSHXEBIUMNKDOTRPYFGZLVA"	"GTSBNZFMLHUXJKDIYEOARPQV"	"XPMADTGIJFBSNORZVKUHYEQL"	"ZSFIBUMTKHRYAVENGXDLJQOP"	"PDKQOTUYNAJGSLIRXEVBFZMH"	"HYZPTMXRAUSQGVKJILODBEFN"	"LNZVBRYGDQIAEOXHMUSPTJKF"	"DOIHRTXBYLJPVFKGUAZMQNSE"	1	10	FALSE
"main"	64	"SH20"	"nStreams"	0	"right"	2	45	"H"	0	9	"F"	"False"	2	135	0	2	"BGAOHPKRTIFZJLDYENVQSXUM"	"JDFATZRVQGSOEHIUNPBXKYLM"	"QOARNVXZEFGHSBMITDLYJUKP"	"RDUHTAIVPBNZLQGSKYMFXJOE"	"YLZDEQSJRANOFGKHXMUTBPVI"	"XRBEHPKDTLIZJASNUOYMFQGV"	"QZYDSNHFBLUKOMGREXTVIAJP"	"RODYNUPVITEKJQXGAFSHLBMZ"	2	11	FALSE
"main"	66	"SH20"	"nStreams"	0	"right"	2	0	"R"	0	6	"P"	"False"	3	135	0	-1	"LZVPDMGOUBFJIXYTHREQNKAS"	"LTZQNROGMSUIBDHFKVYAXJEP"	"TFMSEKYVNXBLHOGAIJUZPDRQ"	"IYMVERPNFLZTKXODSUQAHBJG"	"QKIVZFBARMUPHXONESTYLGDJ"	"AJPQSLTKXFRMYBUDVNEOZIHG"	"BDQISMFYKTVULEGROXNAJHPZ"	"DLNBJKZHTRVPEGMFXQIUOSYA"	1	5	FALSE
