"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"fixationReject"
"main"	20	"AJ7 "	" oneCued "	0	" right "	2	315	"H "	2	10	"I "	0	1	0	1	"HGNZPJYQBLKDMVTFUXEORSAI"	"UZGFKBDSMPIHXJTYLVQARENO"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	26	"AJ7 "	" oneCued "	0	" right "	2	135	"S "	0	7	"L "	0	0	0	1	"GQEXDIBLSMPTOVKYJAURZNFH"	"GBRKNQUPXZHFOVYEDLAISTMJ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	29	"AJ7 "	" oneCued "	0	" right "	2	0	"S "	2	9	"Y "	0	0	0	1	"TREOFPBDAYSGHZNJXKIUQLMV"	"XVUHLEPKDOFABRTNMQSGZJYI"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	30	"AJ7 "	" oneCued "	0	" right "	2	225	"Q "	0	8	"O "	0	0	0	5	"MLGXNBKUOIVSPQYFTEZHRDJA"	"ONKDQLPTYIHFGJURZBVAMXES"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	32	"AJ7 "	" oneCued "	0	" right "	2	135	"A "	2	8	"I "	0	0	0	1	"VLFNDGMUIAOPJKQTYZBHRESX"	"NADRUEGJSFTKIHVMLOYXZBPQ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	35	"AJ7 "	" oneCued "	0	" right "	2	135	"E "	2	9	"M "	0	0	0	1	"YRGKJOBUFMEDTLQNZAXPIHVS"	"FZRTVHSBDOQAGNJXIPYMKULE"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	37	"AJ7 "	" oneCued "	0	" right "	2	90	"F "	0	7	"E "	0	0	0	4	"NDOSAXYEQMGFLHURZPIJVTBK"	"RYXAPJSLOQNFEKMIZUTHBDGV"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	39	"AJ7 "	" oneCued "	0	" right "	2	0	"O "	2	10	"D "	0	1	0	-4	"EZHTUADBQKXLJSIRPVNOFMGY"	"BLMIVKOQXYDATSNPJUERHZFG"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	41	"AJ7 "	" oneCued "	0	" right "	2	225	"B "	0	9	"I "	0	1	0	2	"IBHJTNEUZAGVOLPXDQSYRKFM"	"OTANXUYFQILBMGKVPRHJESZD"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	45	"AJ7 "	" oneCued "	0	" right "	2	180	"M "	0	8	"T "	0	0	0	-1	"YFQRNAZMTXLGIBUDJVEPHKOS"	"VUEGDXFILKPMNRYQOAZSHJBT"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
