"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"nPreCueStreams"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"angleOfWhichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	116	"KH18"	"nStreams"	0	"right"	2	180	"Z"	0	8	"E"	"False"	1	-135	0	1	"KUZGXETQBSPMAFVILDNHYJRO"	"ALTNFUVJEZBMSORPKHXDQGYI"	"GAYSHZPMLDVFTEBUNIORJQKX"	"KBVMSIXFUJRONYAEDLTQGPZH"	"PMJVAHODFYZNRSBQUETLIXGK"	"LKFAJSOPUMIDQGXEZRYVHTBN"	"SLUYZNMHKAJXPRTQBIVFEDGO"	"FJHDQOABMETKNYULZXIRPSVG"	2	9	FALSE
"main"	122	"KH18"	"nStreams"	0	"right"	2	135	"A"	0	7	"A"	"True"	2	-135	0	0	"NJXPMKQSGTDRLBUEZOIVHAFY"	"ZABLUKGNRSPDEFQTVMJIYOXH"	"SLQZVODAGHJRBEXKMIPUTNYF"	"QPSXKOLYFRMDHUGBJVNEIZTA"	"SNDXHTGYPIRUFBLVEMQJZKAO"	"PBIHKTLGQAXUEDSNOYFVZJRM"	"OVGLAEUXFPMYNSJIZQKRTHBD"	"SLFIOHYZQJBDNEPKMTARVGXU"	1	7	FALSE
"main"	124	"KH18"	"nStreams"	0	"right"	2	0	"X"	0	7	"Z"	"False"	2	90	0	1	"BVDLXEYAUGHSMFTQIOPKNRJZ"	"GSZVYBXLEKRAHQDFPIONJTUM"	"HQIGEJMZXRUBLPTDFAOYVSKN"	"MZFHYUTDQPVJORKSNBAXIGEL"	"AMYEQDKRXTUFISPHJLNBOVZG"	"YQJTPEOSLMKGDUNRHVXABFZI"	"GRABESKMTPQHXLDJVOIYFNUZ"	"LDEUFMOPBVHGQXYKASTZNRJI"	1	8	FALSE
"main"	126	"KH18"	"nStreams"	0	"right"	2	135	"F"	0	6	"V"	"False"	0	135	0	-3	"MULFZOVEQNPDHABXGSRTKIJY"	"ALVFNZGTIPXUYBOEHJMSDRKQ"	"OMDJBVPZXRHTIALUGQYSEKNF"	"UXSZDNMHRBYOAGLEKFQTVJIP"	"ZJNYVTRSHKUIOGLQBFAXEDPM"	"SBNGLUQKJXPTIAEOVZFMRYHD"	"FRQDYTIHEAXJNKBUSLVGMPZO"	"DRKQVPIOESHJBNZLYXTGUAMF"	1	3	FALSE
"main"	130	"KH18"	"nStreams"	0	"right"	2	90	"E"	0	6	"Q"	"False"	3	-135	0	2	"RGDOLZKFJITHPSEYMVBUAXNQ"	"RZFXDBVQJSKGETYPLUHNMOAI"	"YLDITJSQMKBEVGZFHPUNXROA"	"BUNVAMQGESPFHLYTRIJDZKXO"	"JHKDETMIXRLQYAVZUFSPBGNO"	"YNAOJEDGQXLFHPSZKIMVBRTU"	"GVUTSHZFOILQXBYEKRMDPANJ"	"FZQKJLDOPIHNABGXMREUSYVT"	1	8	FALSE
"main"	131	"KH18"	"nStreams"	0	"right"	2	180	"F"	0	6	"N"	"False"	6	90	0	4	"QHNDMZRJKXVIFLUTYBEPSOAG"	"FJIDSZPMNHTBAGQRKOXELYUV"	"SANMJGKFXDHLBROTVUQIYPEZ"	"GIEZBHVYQSRMUNXOJAPFKLTD"	"GHNIQOJLSRKZAYVPUTBDEMFX"	"IBNTXPSHJYRMVGZKFAUDLOEQ"	"LDGRYHNEISFOVQAKZMBUXPJT"	"NIRDUTXZVAYJHMSQFLPKEOGB"	1	10	FALSE
"main"	132	"KH18"	"nStreams"	0	"right"	2	90	"L"	0	10	"A"	"False"	3	-135	0	1	"SARTOFHYDEBVMZLUPGNXJQIK"	"MIEDGJBVYSUHFPXKTLQORZAN"	"EMLDNFIJGSHYOXRTZBQKAVUP"	"BIOYRUTSQXALJFPEKNDGMVHZ"	"XKIENUZHJGQAMSTOVDYLBRPF"	"XSQRKVLMUBHTJEOGDANIZPYF"	"PQVKRSMLDOJGYANITEZFUHXB"	"AVMETXJUDQYPFKHLOZNSGBIR"	2	11	FALSE
"main"	134	"KH18"	"nStreams"	0	"right"	2	270	"H"	0	6	"A"	"False"	7	-135	0	1	"GPOMKNAJYQUZBLEXHTFISVRD"	"RXNYDVILQMFBEHSGZJPAOKTU"	"ROABTSXGDZJUVYPKNLQHFMIE"	"VDPUJFTKZGNHIALYMSQBXERO"	"BAHVUQIXLSOTZYKFDNMPREGJ"	"PYQDFEGUBTRNXOIHMLVSJKAZ"	"ZHATOPISVKJERMGQBULXNFYD"	"KLEXQNAHIDTJYFVORZGPUSBM"	1	7	FALSE
"main"	139	"KH18"	"nStreams"	0	"right"	2	45	"J"	0	6	"E"	"False"	6	-45	0	1	"OMKYXZRDSVIAEUJQHGNFTPLB"	"XTJEBHVUOFQGAIKRZLDMPNSY"	"GYJDABZPQNIMHVFKSTORLUEX"	"JBYOQKUSZFGVAXEHRTNPMDIL"	"QMTVYPNRKHSZFXIBLUOJDAGE"	"JFSMNULIEXYGBQVDRKZHAPTO"	"OMRQPYEJKZIXGUFHSLATVBND"	"XUOPATEMYJBDRZKFQVINLGHS"	1	7	FALSE
"main"	145	"KH18"	"nStreams"	0	"right"	2	315	"A"	0	6	"M"	"False"	7	-90	0	2	"SNIZHDJGQRPOYLFAMTVBUXEK"	"EMRYHXFSVNGBAZTJDUOQLIPK"	"HILASQVOZNFPDRXUKMBTYJGE"	"SXBAITJNHZFYKMEODPVGLQRU"	"DOLEMTANIGQHUZXKYVPBJFRS"	"XMLPDEVRFGIZNTQASOHYBKUJ"	"BAORHNPSZJIUQVFDMXKGEYTL"	"XGFRLTMOAQZUIBVPHDNEJYSK"	2	8	FALSE
