"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	242	"RN12 "	" oneCued "	0	" right "	2	270	"N "	0	8	"V "	0	0	0	5	"XUYHEQDIVZFLTNMKSBPAROJG"	"UOGKXTMEAQSYZBRVLJHNDPIF"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	13	FALSE
"main"	244	"RN12 "	" oneCued "	0	" right "	2	225	"Z "	0	6	"Z "	1	1	0	0	"LMGZDUJXQHEYARIVFNPKTSBO"	"PKLNQGZMIDUROAXSHVFEBYTJ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	6	FALSE
"main"	246	"RN12 "	" oneCued "	0	" right "	2	135	"Q "	0	8	"Q "	1	1	0	0	"LXTZQBNYOHMSAUDFJVREIKGP"	"KNMZLDFHQRIXSYOEVTGPAJUB"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	FALSE
"main"	248	"RN12 "	" oneCued "	0	" right "	2	225	"V "	0	9	"A "	0	1	0	1	"HIDEYKRBVAGLXTZOQUSJNPFM"	"STNRZLFHPAVKIBOUQDYJXMGE"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	10	FALSE
"main"	250	"RN12 "	" oneCued "	0	" right "	2	225	"T "	0	8	"R "	0	0	0	14	"QIMPHFOURGYDZXJEBSKVNATL"	"ERMQSDAGTHUPLZFXJVKOBIYN"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	22	FALSE
"main"	252	"RN12 "	" oneCued "	0	" right "	2	315	"N "	0	9	"K "	0	0	0	13	"PAXIVBOESKMGYQZTRDLHUJNF"	"DYLVKGHUNTZAROXBJPEMSQFI"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	22	FALSE
"main"	253	"RN12 "	" oneCued "	0	" right "	2	0	"N "	0	6	"H "	0	0	0	13	"DTXOYQHJEPFKVZUBLIANMSGR"	"QEMYTJUNRVKFODHXASIBLZPG"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	19	FALSE
"main"	256	"RN12 "	" oneCued "	0	" right "	2	135	"S "	0	9	"N "	0	0	0	2	"GILFKOBVQNYSPMJHXDRAUZET"	"MUBZJPAERVTYXSDGKLHQIFON"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	11	FALSE
"main"	258	"RN12 "	" oneCued "	0	" right "	2	270	"Y "	0	7	"Y "	1	1	0	0	"HDIYTNFZJGABSQMROKPULEVX"	"KZPGUTAYVFOLHXMDSNIERBQJ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	7	FALSE
"main"	264	"RN12 "	" oneCued "	0	" right "	2	225	"K "	0	10	"Z "	0	1	0	-5	"PZLXVRASEYJGFTHONMBUKQID"	"GARDMKSXPQZIYNOFHBLVUETJ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	5	FALSE
"main"	265	"RN12 "	" oneCued "	0	" right "	2	315	"N "	0	8	"P "	0	0	0	4	"YDVAUJTQPEGBNHMLSZOXIFKR"	"DFXUHQLMYOVZBAPIERJNTGSK"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	12	FALSE
"main"	266	"RN12 "	" oneCued "	0	" right "	2	315	"L "	0	9	"B "	0	1	0	1	"LSFVXMHZKQJPOGUIENTDYRBA"	"AIVXYHDSUBLMJGOQZFRPEKTN"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	10	FALSE
"main"	268	"RN12 "	" oneCued "	0	" right "	2	45	"I "	0	6	"X "	0	1	0	14	"RAQISXFGLEMZBPHOJYKUTVND"	"HJZTOAXVMFUPBGNLYQKEIDRS"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	20	FALSE
"main"	271	"RN12 "	" oneCued "	0	" right "	2	225	"N "	0	7	"B "	0	0	0	1	"DHPSUAQBNMLROVIYFZGJKXTE"	"PKZNXRDGBAQOHLSYUJVTEFMI"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	FALSE
"main"	274	"RN12 "	" oneCued "	0	" right "	2	315	"M "	0	6	"H "	0	0	0	16	"FVIQPDHYKBNAOJLUZRTXGSME"	"BNRDTKLJEMSOFYQGVAXIZPUH"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	22	FALSE
"main"	278	"RN12 "	" oneCued "	0	" right "	2	270	"F "	0	9	"U "	0	1	0	1	"HRMTKLAUQBFPSINVGEJXDZOY"	"YVBZKXNIPUFQTJMDLGOSREHA"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	10	FALSE
"main"	279	"RN12 "	" oneCued "	0	" right "	2	180	"U "	0	10	"T "	0	0	0	3	"ILONSKZEXDTBAUPHGQYMRJFV"	"PGLDRJNUMEHVOKQXTYFZBAIS"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	13	FALSE
"main"	280	"RN12 "	" oneCued "	0	" right "	2	315	"M "	0	7	"G "	0	1	0	1	"SEPKDAUTGJIBOMRFHLYNZQXV"	"EROPJKIGMDQUHTSBZANVXYLF"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	FALSE
"main"	282	"RN12 "	" oneCued "	0	" right "	2	90	"S "	0	9	"Y "	0	1	0	-6	"ENOYSKJIDMBTFPURLVZAHXQG"	"DAVSNHUPJYKBTGZEXFOLRMQI"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	3	FALSE
"main"	284	"RN12 "	" oneCued "	0	" right "	2	180	"X "	0	8	"K "	0	0	0	-5	"QUBXOMNFKVDISJPLTYREZHAG"	"RMZFNLDHJIUVSTOAQPBKGXEY"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	3	FALSE
"main"	288	"RN12 "	" oneCued "	0	" right "	2	90	"M "	0	10	"M "	1	1	0	0	"SPJKFZIUOEBLGMQVTDNXRHAY"	"VITAFXKEHJMBYDGPSURLOZNQ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	10	FALSE
"main"	289	"RN12 "	" oneCued "	0	" right "	2	270	"P "	0	8	"E "	0	1	0	-1	"KVMBNZXYGRTESIJQPHAUFODL"	"XAQRSYUPETKBLHZGJFOMIVDN"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	7	FALSE
"main"	292	"RN12 "	" oneCued "	0	" right "	2	90	"Y "	0	10	"H "	0	0	0	6	"RDNMJOQZIEHFVBAXYLGTPKSU"	"STKRPQFIGALMJEBOHVUYDXZN"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	16	FALSE
"main"	293	"RN12 "	" oneCued "	0	" right "	2	135	"N "	0	10	"M "	0	0	0	-5	"QUISHNFRZKMYOJXTPADLEBVG"	"KNJUOXIAEVPZTQYLBHMDRSGF"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	5	FALSE
"main"	294	"RN12 "	" oneCued "	0	" right "	2	270	"Y "	0	6	"J "	0	0	0	1	"OVRQHGJYFXSDMKIZENTABPLU"	"VOLIFQRHXBNMSZPYTAJDEUKG"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	7	FALSE
"main"	298	"RN12 "	" oneCued "	0	" right "	2	180	"S "	0	8	"S "	1	1	0	0	"IDXALMGNKRTOPFUSEVYZQJBH"	"ZBIMDGRJSOTYVXFPUKANQLHE"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	FALSE
"main"	299	"RN12 "	" oneCued "	0	" right "	2	90	"D "	0	8	"O "	0	1	0	13	"ZYIHXNSTMFEQJLGPUBAORDKV"	"GNYJQAXSOVZIBLETMPKFHDUR"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	21	FALSE
"main"	300	"RN12 "	" oneCued "	0	" right "	2	270	"N "	0	9	"M "	0	0	0	-9	"NHBVSFTDPMAYXIZKQGLJOERU"	"XTIJVUFSLAYNMREKHDBQGOZP"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	0	FALSE
"main"	302	"RN12 "	" oneCued "	0	" right "	2	0	"D "	0	9	"B "	0	1	0	3	"EHPQNRZGDKUFXIJOYAVMLBST"	"NAOPZMYEJBXRDTGVLFKQHIUS"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	12	FALSE
"main"	305	"RN12 "	" oneCued "	0	" right "	2	135	"N "	0	6	"K "	0	1	0	15	"RKZTLXSJGDPFYEAMBIQHVUNO"	"QTFHYPKMIBGVOJRLDZSUENXA"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	21	FALSE
"main"	307	"RN12 "	" oneCued "	0	" right "	2	180	"U "	0	10	"D "	0	0	0	3	"PSMAOELQRFDVKUBJNTXHIZGY"	"IPTMJEDFSUOAVHYBKLRQNZXG"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	13	FALSE
"main"	309	"RN12 "	" oneCued "	0	" right "	2	225	"S "	0	7	"J "	0	0	0	1	"IZDVKEQJSTBYRHGOFPLNAUXM"	"OIFZALXEQKGRMYDBJUHSPTVN"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	FALSE
"main"	311	"RN12 "	" oneCued "	0	" right "	2	225	"N "	0	9	"I "	0	0	0	-3	"PGULSRNFYIZJMTVAXBHDOEKQ"	"YEUJXMKLZIHNSQGTVBPFORAD"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	6	FALSE
"main"	312	"RN12 "	" oneCued "	0	" right "	2	135	"N "	0	7	"J "	0	1	0	10	"OVGAYLZBMQRHENJPSUTDXKFI"	"VKQDZBXJYLOMEASFHNTUGRPI"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	17	FALSE
"main"	313	"RN12 "	" oneCued "	0	" right "	2	90	"S "	0	8	"S "	1	0	0	0	"YTQDOFPJSIEULAGVRXBZKMNH"	"XBYKRSPMTEIHLDZJVQGUNOFA"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	FALSE
"main"	315	"RN12 "	" oneCued "	0	" right "	2	270	"H "	0	6	"H "	1	1	0	0	"QUBYZMNHPEJDIFLXROSGAVKT"	"GOIAXBHTUQNJEYKFLSPZMRDV"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	6	FALSE
"main"	317	"RN12 "	" oneCued "	0	" right "	2	45	"R "	0	9	"R "	1	0	0	0	"JAPMNLIYDRKGVUQBZXTFSHEO"	"APMFXVHGKEQRZSOJTDLYNBIU"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	9	FALSE
"main"	318	"RN12 "	" oneCued "	0	" right "	2	135	"L "	0	8	"K "	0	0	0	1	"NFAPDQSZKLHMJBXROYUVTEGI"	"KVMRZAGFDBNLHYSIJOXUTPEQ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	9	FALSE
"main"	319	"RN12 "	" oneCued "	0	" right "	2	180	"H "	0	6	"Q "	0	0	0	11	"FLUPRBQTXYEDJMGAKHZVNSOI"	"XMPFIEROVZTLJSAGKNUHDYQB"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	17	FALSE
