"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"fixationReject"
"main"	20	"LS2 "	" oneCued "	0	" right "	2	315	"H "	0	7	"I "	0	1	0	-1	"QGEMKINJPOYSHALDXFVTUBZR"	"XPOSZEHIUNVMFAYBJTRGLKDQ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	21	"LS2 "	" oneCued "	0	" right "	2	45	"R "	2	9	"D "	0	1	0	1	"ANVKHJIZEQTYFOBXDULMPSGR"	"QKXELOSNPDRGBHIAJTYMFVUZ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	23	"LS2 "	" oneCued "	0	" right "	2	315	"P "	0	10	"X "	0	0	0	1	"ONHBYTMSZAXPFVLIGQDRJEKU"	"FPSAXGRJZKVBNUYLEHTDQOMI"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	29	"LS2 "	" oneCued "	0	" right "	2	180	"I "	0	9	"Y "	0	0	0	2	"TUZPERKMSYXILVBONAFDGQJH"	"BVRDZUELYGXJOQAFMKNSTPIH"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	30	"LS2 "	" oneCued "	0	" right "	2	135	"K "	0	7	"J "	0	0	0	-1	"RZYTSBKJXPQULIGMAHENFVDO"	"PBFUEGJYQORVDZMXLSAHNIKT"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	31	"LS2 "	" oneCued "	0	" right "	2	315	"T "	0	9	"R "	0	0	0	1	"ZUQVEXGYARTBNDPKSHMIFOLJ"	"ALJNFPZUIQGDBVMESXYKRHOT"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	32	"LS2 "	" oneCued "	0	" right "	2	0	"M "	0	10	"E "	0	1	0	6	"OVPYFHEQZDRLMJUIATBKSNXG"	"TIJLBRZUVYENGHOPMKSADXFQ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	35	"LS2 "	" oneCued "	0	" right "	2	180	"P "	0	6	"L "	0	1	0	4	"MNROKXGDVLUHYPBQFZAETIJS"	"NAYEJQLFVKPDSHRBTXOGIZMU"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	36	"LS2 "	" oneCued "	0	" right "	2	90	"E "	0	9	"M "	0	0	0	10	"QIYLBRSPAMFVJUHOXZGEKDNT"	"LZEJIHBOGPAFYTRXMVQKDSNU"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	37	"LS2 "	" oneCued "	0	" right "	2	45	"S "	0	10	"S "	1	1	0	0	"OXLFTNRIEMBPAUYQZGDSHJKV"	"RUVEYHKQNBSMTZLJIAOXDGFP"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	38	"LS2 "	" oneCued "	0	" right "	2	270	"Z "	0	6	"J "	0	0	0	1	"TNRBOMJZPSDKVLEHIGAQYUFX"	"RQMFOYSZPDUHXLNIKEAGJVBT"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	39	"LS2 "	" oneCued "	0	" right "	2	135	"N "	0	10	"H "	0	0	0	5	"SFQUIAZVGXHTMYBNLRKEJDPO"	"SIPRJDZGTMLFUKYEOBNVHAQX"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
"main"	43	"LS2 "	" oneCued "	0	" right "	2	315	"R "	0	8	"S "	0	1	0	2	"TVNGRUKLJBEQSZHDMOXAFPYI"	"QKAPMIBUSYROHNFXEVZTJLDG"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	FALSE
