"participant","guessingPropZero","propZero","exp","pool","efficacy","latency","precision","val","valGuessing","pLRtest","pBetween","nReps","date","predictedZero","greaterThanEfficacy"
"JK",0.0416666666666667,0.14,"Exp1","SONA",0.756860911161001,45.9139081710398,162.975099115979,265.359179192154,265.359179192154,1.89193099982239e-24,0.201721729238303,20,"2019-10-16 15:28:46",0.162806087160566,FALSE
"JL",0.0416666666666667,0.55,"Exp1","SONA",0.860643641640018,15.9475115413478,43.9601720194005,154.395165030995,154.395165030995,4.52560515352428e-71,0.578960044710784,20,"2019-10-16 15:28:46",0.504084796175623,FALSE
"JM",0.0416666666666667,0.33,"Exp1","SONA",0.631713976504078,15.7672819367578,60.3000065238442,242.428737860107,242.428737860107,3.50978260273743e-35,0.471888295883925,20,"2019-10-16 15:28:46",0.313443682837564,FALSE
"JN",0.0416666666666667,0.14,"Exp1","SONA",0.607784211988876,29.7613509671071,81.926183881422,264.24610892253,264.24610892253,2.84802125211621e-27,0.385212173907958,20,"2019-10-16 15:28:46",0.250468202067633,FALSE
"JO",0.0416666666666667,0.25,"Exp1","SONA",0.711064785113374,40.6806418176857,70.0490750870442,226.673066872419,226.673066872419,3.12562542325022e-40,0.447997533421204,20,"2019-10-16 15:28:46",0.330594237120413,FALSE
"JP",0.0416666666666667,0.23,"Exp1","SONA",0.588038416771087,75.7365777154734,85.3599585322287,266.10260534472,266.10260534472,3.85635908472342e-25,0.347988588548613,20,"2019-10-16 15:28:46",0.221795724632403,FALSE
"JQ",0.0416666666666667,0.28,"Exp1","SONA",0.82239486237336,56.9099561046578,53.1975402510017,178.915737851085,178.915737851085,3.09219879581696e-60,0.547942802823093,20,"2019-10-16 15:28:46",0.458025559983947,FALSE
"JR",0.0416666666666667,0.19,"Exp1","SONA",0.416741355927457,49.7036996401414,64.8489617948355,292.784203018235,292.784203018235,3.31453133423511e-16,0.47627124420355,20,"2019-10-16 15:28:46",0.222784367601667,FALSE
"JS",0.0416666666666667,0.11,"Exp1","SONA",0.218929434202807,56.2882301415589,49.8944119262731,315.000612165158,315.000612165158,2.27839995848768e-06,0.576477919727449,20,"2019-10-16 15:28:46",0.158752591704558,FALSE
"JT",0.0416666666666667,0.12,"Exp1","SONA",0.588353302672765,50.3739633487209,79.3664913336401,263.913740409342,325.921976422131,1.052702175649e-26,0.398219940272336,20,"2019-10-16 15:28:46",0.251445962771348,FALSE
"LS",0.0416666666666667,0.17,"Exp2","Experienced Observers",0.650417523839045,72.2050303957125,62.598745418488,241.907817845891,241.907817845891,2.39437348939571e-36,0.446187771800132,20,"2019-10-16 15:28:46",0.304774282208209,FALSE
"PG",0.0416666666666667,0.3,"Exp2","Experienced Observers",0.905590254085527,3.12054495046006,77.9752475112856,179.255877122176,179.255877122176,3.14899521302084e-60,0.36414989819882,20,"2019-10-16 15:28:46",0.333704338248191,FALSE
"SY",0.0416666666666667,0.17,"Exp2","Experienced Observers",0.65195681566102,24.1801497944137,89.9396376518244,255.771783716578,255.771783716578,2.57467864615627e-29,0.350611045349543,20,"2019-10-16 15:28:46",0.243085060009127,FALSE
"WC",0.0416666666666667,0.2,"Exp2","Experienced Observers",0.547338656337517,11.4963156669653,78.8630013478897,274.45076828883,274.45076828883,4.41192628777472e-23,0.376779140769527,20,"2019-10-16 15:28:46",0.225086677964067,FALSE
