"participant","guessingPropZero","propZero","exp","pool","efficacy","latency","precision","val","valGuessing","pLRtest","pBetween","nReps","date","predictedZero","greaterThanEfficacy"
"EL",0.0416666666666667,0.27,"Exp2","Experienced Observers",0.887856154068101,53.7260650166521,69.0828651771497,176.160874686158,176.160874686158,7.54096713727574e-62,0.447512569899237,20,"2019-10-16 15:28:46",0.401999449455031,FALSE
"FJ",0.0416666666666667,0.15,"Exp2","Experienced Observers",0.740275226346793,76.1317624706652,97.687265245942,241.24311532217,241.24311532217,2.39319024368352e-35,0.311494456298608,20,"2019-10-16 15:28:46",0.241413494711106,FALSE
"JA",0.0416666666666667,0.25,"Exp1","SONA",0.84970762891793,69.4111487314429,53.4261859898834,170.176691924543,170.176691924543,7.71573483361069e-64,0.505856461688111,20,"2019-10-16 15:28:46",0.436092276762238,FALSE
"JB",0.0416666666666667,0.28,"Exp1","SONA",0.829684987570909,18.1170432044282,82.7634983167712,207.284025999784,207.284025999784,3.70714885524639e-49,0.371283449236296,20,"2019-10-16 15:28:46",0.315144762816113,FALSE
"JC",0.0416666666666667,0.29,"Exp1","SONA",0.803910174038297,54.4954004120211,38.1346637859963,171.16688681372,171.16688681372,2.38525900551976e-65,0.698740807895031,20,"2019-10-16 15:28:46",0.569895253897626,FALSE
"JD",0.0416666666666667,0.32,"Exp1","SONA",0.756167576748563,21.5912896851337,81.7742743837401,223.309488788052,223.309488788052,2.97503173995396e-41,0.37900817318761,20,"2019-10-16 15:28:46",0.296753376189318,FALSE
"JE",0.0416666666666667,0.36,"Exp1","SONA",0.873927136451252,28.9531551293336,51.9994821210546,161.836128780013,161.836128780013,7.67220617551449e-68,0.563336330678421,20,"2019-10-16 15:28:46",0.497567942309946,FALSE
"JF",0.0416666666666667,0.29,"Exp1","SONA",0.85547972770038,54.9514453881231,63.2628781740295,178.673729861335,178.673729861335,2.77084149498934e-60,0.480624890023009,20,"2019-10-16 15:28:46",0.417186528055393,FALSE
"JG",0.0416666666666667,0.42,"Exp1","SONA",0.799677013962498,21.5242387401807,57.0430209788337,193.461913327483,193.461913327483,3.02658584471013e-55,0.50775540133069,20,"2019-10-16 15:28:46",0.414387114244352,FALSE
"JH",0.0416666666666667,0.32,"Exp1","SONA",0.912551809867951,12.6065027918587,93.4417525312443,189.903409620736,189.903409620736,1.19587740229289e-55,0.329107225704026,20,"2019-10-16 15:28:46",0.303971069045665,FALSE
"JI",0.0416666666666667,0.22,"Exp1","SONA",0.655929069035555,35.1642674747051,80.7547573751765,251.504865083261,251.504865083261,7.29063089045755e-32,0.392954958680792,20,"2019-10-16 15:28:46",0.272086869010582,FALSE
"JJ",0.0416666666666667,0.37,"Exp1","SONA",0.838667439367867,27.0080936358376,66.927449725587,192.475667486698,192.475667486698,4.67137210975859e-56,0.456715821941338,20,"2019-10-16 15:28:46",0.389754878932671,FALSE
