"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	61	"JA8 "	" oneCued "	0	" right "	8	90	"V "	2	9	"A "	0	0	0	1	"FOLKJBSYEAVDHUXIZNGRMPTQ"	"ILYOQVNPXGARDKEJMHSTUZBF"	"HGXEFISPZUVOQLDJNARKBTYM"	"FLPEYUQXBIGMDOVKSRZHNJAT"	"UZAISXKGVBFDHERPQTJMYLON"	"BENKVFXYTLMUZIPJRSDOQHGA"	"DVGLUIKFEOPSXARNYQHMTZBJ"	"DXIBQALPJEHYKZTGVNOFMRUS"	0	10	FALSE
"main"	65	"JA8 "	" oneCued "	0	" right "	8	135	"T "	2	7	"H "	0	0	0	1	"ZRUEMGBHTYDOAIKPLVXFJSNQ"	"NZBHMVYKOARPGSUXEDTLJFIQ"	"KYVGBRHNTISZOPMJLXADQEFU"	"EIQSVYBHFZRKDPMTUXJNGAOL"	"VIEJNUZTPQAORBXFHLYDKGMS"	"RKPOYSBJEZDUXLFNHAGTIMVQ"	"UTRQSEVDOXIKPHANYZFGJLBM"	"KLRIDOSBEJVGHTPAQZFXNUYM"	0	8	FALSE
"main"	69	"JA8 "	" oneCued "	0	" right "	8	135	"D "	2	6	"K "	0	6	0	1	"LKVQPZDXBUEJOFMANTISRYHG"	"RHKQPIZJSGLXBFVTNUYEMADO"	"FAOVXPJRMTYLUSQGKBINZEHD"	"HTMRLIZPFXJGQANKYBVDOUES"	"ZSHMLYFDKBRUQTINOXEPAGVJ"	"MBTJQKONLZSRAIGFHPEXVDYU"	"ZJLGYAKDSNRBQMIEHFVUTXPO"	"FNXYDEVJQPZUAMHTLBRIGOSK"	0	7	FALSE
"main"	70	"JA8 "	" oneCued "	0	" right "	8	135	"O "	2	7	"O "	1	2	0	0	"AZLFVBSEGPNQHDMYKJRIXTUO"	"RKQTDISHGZXAOEMYVUBFLNJP"	"KJIVTHAOQNBLFDZGYXURSEMP"	"KGSMPBTQYAFIZJDXRLVHUENO"	"ZDMLBSIUOJNKYGEQPTHFXRAV"	"FIDGXTVLYENJOBSRZUKPQHAM"	"QPORMIXBNVFUHZEDSKJTLAGY"	"KMRUOJZHGNPVLYXFTSIDBAQE"	0	7	FALSE
"main"	71	"JA8 "	" oneCued "	0	" right "	8	270	"Z "	2	8	"U "	0	6	0	1	"KDYBQIJZSGULMRTPONFEHAVX"	"QTVEOBRFHXILGZMSDPJNUAYK"	"UGQKZRYAHXJMEIDLOBPSNTVF"	"YGENQLABKSUJORTVFPIMXHDZ"	"AYBJOUNQERLXPIGHMVSFDZTK"	"FBYLNSVPRIKGAEXTJMHDZOQU"	"LIBMFERGUZPNHVQDSATYXOKJ"	"PRTZAUJEKINLDGQBOMYXVHSF"	0	9	FALSE
"main"	73	"JA8 "	" oneCued "	0	" right "	8	90	"H "	2	8	"D "	0	5	0	1	"EXJIRAPDHNVBQMFZUTGYLSOK"	"SJQDNUAXHEMZFLOTVPKYRIBG"	"SLJKPMRYAQIVOBZNTHFGEDUX"	"XIFRYZBJQVTPNALGOMKHUESD"	"TELAFZHXQRGSUYMNVKIPOBJD"	"PYQBXUVFDHMERLZJKAGSITON"	"JPDQOFIYHLMNRGSKVZUBATEX"	"DHZKYJQOFXSGRIVAMBNLUTEP"	0	9	FALSE
"main"	82	"JA8 "	" oneCued "	0	" right "	8	135	"O "	2	6	"B "	0	6	0	1	"SPBQXFZJUOGLREANKHVTDIMY"	"SQVIARHEPXJTOUKLDYGBFNMZ"	"PLOBZFSVHXJTEDUARQNIMGYK"	"RYGQEKFUJNVXOPLTAISZDMBH"	"JXLVRZEKNYQDPUTAIGMHFOBS"	"DMLJVGEPZXHAYISFQUKBNTOR"	"FZTVHABODRNIEJXQGLMPYSUK"	"YLDKEHGXQIZOTJUPNRBMVFAS"	0	7	FALSE
"main"	83	"JA8 "	" oneCued "	0	" right "	8	45	"E "	2	9	"L "	0	3	0	-1	"OPHXNBFVRTQKGEDLUJIZYAMS"	"AJBKOYRZUDXFGNLPTQEMISHV"	"TROEJPKUGBDLNZFSAYHMIVQX"	"ZFYSQMAKELPNGBOJRUDVIXTH"	"RYMSKFTQHOIZNAGLXBEPJVDU"	"UGVDYPNMBLOFKSAXRJETZHIQ"	"NUXQEBLPRJOHKTZFIAVYMGSD"	"FGQAJOEKNSVBTZIMLYDRXHPU"	0	8	FALSE
"main"	97	"JA8 "	" oneCued "	0	" right "	8	0	"X "	2	10	"K "	0	0	0	1	"NVASFZQOLEKXDPMRTUJGBHYI"	"MGHPRTEFUBKAYIDQOLNXSZVJ"	"IGBKNHLZREJFSDUOAQVTYXMP"	"GLBUDZFNXEQJHIAMVPYROTSK"	"PBKRIZDMLVTOYFXQUESAGNHJ"	"FJUZDMTPSAEGBKLHOVRYQIXN"	"OIRQYHFKJMPAXVBNLEZUGDST"	"RLBXDUQGNIMASZVKHYFEPOTJ"	0	11	FALSE
"main"	99	"JA8 "	" oneCued "	0	" right "	8	0	"X "	2	6	"K "	0	3	0	1	"YHSUGBNFKZJQAOMVEXTDPRIL"	"UESMJLPOVGFZDBIRXNAQKYHT"	"ZMONUGYRTHEKPBVFLIQSXDJA"	"OVPJMNKXHTSURFIGQALZYDEB"	"KHETRGJPOVQZNSFBAUMIDYLX"	"KTGOHYFRIXQAUSDMPLEZBNVJ"	"KOSXLZFTGBVJINMRYHAPUQDE"	"YTOMXADGPQBUNHIRLZSKFJEV"	0	7	FALSE
