"","latency","efficacy","precision","participant","efficacyEstimate","latencyEstimate","precisionEstimate"
"1",1,0,0.6,1,0,NA,NA
"2",1.5,0,0.6,1,0,NA,NA
"3",1,0.5,0.6,1,0.508046212112481,1.0898684345073,0.602665678888354
"4",1.5,0.5,0.6,1,0.467740513780163,1.39922261700611,0.709106595407871
"5",1,1,0.6,1,1,0.980083186808083,0.640461404363434
"6",1.5,1,0.6,1,1,1.48114675585667,0.586845231265203
"7",1,0,0.84,1,0,NA,NA
"8",1.5,0,0.84,1,0,NA,NA
"9",1,0.5,0.84,1,0.488109235885361,0.941371770122643,0.798297960652039
"10",1.5,0.5,0.84,1,0.476001700081202,1.55522104671251,0.892249901022809
"11",1,1,0.84,1,1,0.874937176576862,0.852641843626202
"12",1.5,1,0.84,1,1,1.45484233293074,0.851582749635093
"13",1,0,1.2,1,0,NA,NA
"14",1.5,0,1.2,1,0,NA,NA
"15",1,0.5,1.2,1,0.531537299702459,1.21457299675985,0.86771205745839
"16",1.5,0.5,1.2,1,0.476245963991353,1.58813811397538,1.29645904080803
"17",1,1,1.2,1,1,0.914794321341667,1.09289353786105
"18",1.5,1,1.2,1,1,1.57997474578378,1.26109298943781
"19",1,0,0.6,2,0,NA,NA
"20",1.5,0,0.6,2,0.0930630858415062,4,0.924799193482587
"21",1,0.5,0.6,2,0.418796542545145,1.03778998103338,0.511427343851697
"22",1.5,0.5,0.6,2,0.466095534678441,1.4988140185657,0.438944999787102
"23",1,1,0.6,2,1,0.925433756753212,0.635363071777131
"24",1.5,1,0.6,2,1,1.57984840121082,0.534798908972249
"25",1,0,0.84,2,0,NA,NA
"26",1.5,0,0.84,2,0,NA,NA
"27",1,0.5,0.84,2,0.470632924150383,1.05622998698522,0.787938345351519
"28",1.5,0.5,0.84,2,0.468020590376366,1.53329058630141,0.781808782112033
"29",1,1,0.84,2,1,1.009454681962,0.841018210015177
"30",1.5,1,0.84,2,1,1.46521513314333,0.827786872359759
"31",1,0,1.2,2,0,NA,NA
"32",1.5,0,1.2,2,0.0689398025585681,-1.84748080394628,0.489757328799749
"33",1,0.5,1.2,2,0.458417363989466,0.853930028885147,1.00502928746954
"34",1.5,0.5,1.2,2,0.552114415161399,1.54063551364644,1.4090361054164
"35",1,1,1.2,2,1,0.850026513442913,1.25447357781415
"36",1.5,1,1.2,2,1,1.35507489299542,1.21011994256962
"37",1,0,0.6,3,0.0975843224582996,0.257539585418813,1.05016969376375
"38",1.5,0,0.6,3,0.103675450194014,-1.90249524764621,0.523901717359878
"39",1,0.5,0.6,3,0.537547695955118,0.928179732536479,0.655486539463565
"40",1.5,0.5,0.6,3,0.5030974927933,1.4594438137041,0.380447186547815
"41",1,1,0.6,3,1,1.01538382564481,0.599521111886299
"42",1.5,1,0.6,3,1,1.47055093911676,0.636024057469711
"43",1,0,0.84,3,0,NA,NA
"44",1.5,0,0.84,3,0,NA,NA
"45",1,0.5,0.84,3,0.496853495753765,0.80307637965868,0.753421361810133
"46",1.5,0.5,0.84,3,0.460342843697582,1.67011304129004,0.822349253877725
"47",1,1,0.84,3,1,1.05470917899922,0.753153900166848
"48",1.5,1,0.84,3,1,1.44986624727472,0.808848531068192
"49",1,0,1.2,3,0,NA,NA
"50",1.5,0,1.2,3,0,NA,NA
"51",1,0.5,1.2,3,0.524664486534083,1.16382915346788,1.22457965016483
"52",1.5,0.5,1.2,3,0.53779023168731,1.30844374660322,1.2517833170237
"53",1,1,1.2,3,1,1.0249340223751,1.1187285392992
"54",1.5,1,1.2,3,1,1.51495408189663,1.1776367784023
"55",1,0,0.6,4,0,NA,NA
"56",1.5,0,0.6,4,0.287330319944268,2.92445696435927,4
"57",1,0.5,0.6,4,0.52040290350349,1.09939504621978,0.66777759297113
"58",1.5,0.5,0.6,4,0.574361299174865,1.63305984228833,0.613776668393491
"59",1,1,0.6,4,1,0.989678469422081,0.629571980610974
"60",1.5,1,0.6,4,1,1.57415381695515,0.573694543149829
"61",1,0,0.84,4,0,NA,NA
"62",1.5,0,0.84,4,0,NA,NA
"63",1,0.5,0.84,4,0.428164137566786,1.0103825766774,0.770906303171191
"64",1.5,0.5,0.84,4,0.523340220512245,1.63053931221942,0.970252168861049
"65",1,1,0.84,4,1,1.02003420420046,0.783782289217115
"66",1.5,1,0.84,4,1,1.50482942489344,0.858182690812459
"67",1,0,1.2,4,0.055652195278652,-0.828293517360842,0.00390310272273906
"68",1.5,0,1.2,4,0,NA,NA
"69",1,0.5,1.2,4,0.423741968812326,0.658772433747593,1.14914504105424
"70",1.5,0.5,1.2,4,0.531341662700708,1.43170106724544,1.30837599367916
"71",1,1,1.2,4,1,0.914901244452618,1.14630742502233
"72",1.5,1,1.2,4,1,1.29986094122841,1.21947088965714
"73",1,0,0.6,5,0,NA,NA
"74",1.5,0,0.6,5,0,NA,NA
"75",1,0.5,0.6,5,0.549415330427263,0.983800958553327,0.668432567972954
"76",1.5,0.5,0.6,5,0.516573819438167,1.39346521711461,0.544290598587112
"77",1,1,0.6,5,1,1.02060184582124,0.555031441756408
"78",1.5,1,0.6,5,1,1.43928780026184,0.565713390808275
"79",1,0,0.84,5,0,NA,NA
"80",1.5,0,0.84,5,0,NA,NA
"81",1,0.5,0.84,5,0.465529740019381,0.983321584140758,0.86137659379311
"82",1.5,0.5,0.84,5,0.52067518033354,1.49407439002194,0.586065908075023
"83",1,1,0.84,5,1,0.924877580102316,0.803022132334299
"84",1.5,1,0.84,5,1,1.55026829792674,0.783460221430425
"85",1,0,1.2,5,0,NA,NA
"86",1.5,0,1.2,5,0,NA,NA
"87",1,0.5,1.2,5,0.611183168166956,0.911455216121303,1.31400608265893
"88",1.5,0.5,1.2,5,0.598300899897364,1.31936468725607,1.29215514908648
"89",1,1,1.2,5,1,0.929963317252126,1.27342425889268
"90",1.5,1,1.2,5,1,1.46997060330464,1.10679875718451
"91",1,0,0.6,6,0,NA,NA
"92",1.5,0,0.6,6,0,NA,NA
"93",1,0.5,0.6,6,0.484261714977303,1.14342076669619,0.573624547187326
"94",1.5,0.5,0.6,6,0.610006097847087,1.57378454610738,0.590647970082397
"95",1,1,0.6,6,1,1.01936969914455,0.546946380279251
"96",1.5,1,0.6,6,1,1.57076255224885,0.525626499334898
"97",1,0,0.84,6,0,NA,NA
"98",1.5,0,0.84,6,0,NA,NA
"99",1,0.5,0.84,6,0.526639825932691,1.00179154138321,1.14420822521474
"100",1.5,0.5,0.84,6,0.593412505501631,1.51701205821841,1.08742348288851
"101",1,1,0.84,6,1,1.04490374302623,0.871264657203503
"102",1.5,1,0.84,6,1,1.46017106277904,0.90292242616446
"103",1,0,1.2,6,0,NA,NA
"104",1.5,0,1.2,6,0,NA,NA
