experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	timingBlips
main	0 	WN 	 oneCued 	 0.0 	 left 	Z 	F 	0.0 	2 	0 	1.0 	ANVGCXJOFBYLRQPISWDZKTUHEM	TXNQUKYIOHMLBGVSECAFJPWDZR	OHUJLXWBTFZEMPCNKRVGIDASQY	AZKLVBUYTJNQGMCPXREHIWFSDO	VUPGMTNXKSFEBZLCOAQYDHWRJI	MJHDOGYVKFLBXCSPQREATUIZWN	0
main	1 	WN 	 oneCued 	 0.0 	 right 	P 	R 	0.0 	2 	0 	2.0 	KPDGMTBWVNSCYUHFLIORJQZEXA	NWROCUPLZBKTAYSDFGXIMHEVQJ	KUHLSCXRMPAIZTFJQONVEWGYBD	BTFJHUOZRDASWLMYXKIGCEVPNQ	GYXDBVMWPACOJIUEZFQLNKHRTS	QOEVTIFBLCZPXDHUYMNKSGJARW	0
main	2 	WN 	 oneCued 	 0.0 	 right 	K 	J 	0.0 	3 	0 	2.0 	OESVQUTBMXYHRLZDJGNAFWCKIP	QLJVRXUAWMSHGNOBDTEZYFKCIP	RFNOYWKGUJZIESMBAQHLCPTVDX	AHFDCMXRTBJYKOSVUQELZWIPGN	PQJLKSWEZABMRVXIUCGHODFNTY	GSTLVARUBPQZNXIMJYEKDFWOCH	0
main	3 	WN 	 oneCued 	 0.0 	 right 	Q 	O 	0.0 	1 	0 	1.0 	YKXELRTUVZSGDCNIPJQMAFOBHW	WAKBLPVOQNGZIUTRCJSYDEFHXM	IMHJNYDCABQOKVLWZTFUEPXGRS	PNVOLMHIXQUKRJGZTFYDCEAWBS	HWFKLGXZUYSIQPONCRVEMBATJD	MADUCFXKQVHGJBZRYPITNEWSOL	0
main	4 	WN 	 oneCued 	 0.0 	 left 	D 	N 	0.0 	0 	0 	1.0 	AETOUQNDRCVJYMZKGWHXBFLISP	KYOFMJQVECXPHATSIBRGWDLZUN	DRJTFCWNVAILHZKQOXPMSUGYBE	CDHQNWSLEYRPVZGIBTUOMFXKAJ	MOVWRYZTNCKSFBEAXQJIUDLPGH	JGYDUXVCMTSKEABFNPHRLWZQIO	0
main	5 	WN 	 oneCued 	 0.0 	 right 	F 	H 	0.0 	2 	0 	1.0 	ZFWORPQNYCEATSLVIUDMHGKJBX	KMISRWOCFXTENQJLUZVBPYHDGA	NWSGTKDPVHFECORBQXIMULAYZJ	XPROWCHLDVEFBJMNSYQTKIZGUA	KJMSNFXGHIPZWCQUBVOYTEDLRA	BGAUISJWXRQZTEOFKVCYNHMLPD	0
main	6 	WN 	 oneCued 	 0.0 	 left 	S 	S 	1.0 	2 	0 	0.0 	ROVBSYXIFDWTELMHZGJPUKANCQ	OGINTBARCJXMFQLDHWYEUVSZKP	NFJQKZCDLOSGWRVTYIAXUBPEMH	EQRTWNOLKAZBMXPFSHYJUIVGCD	VYPIWMQKTHZXELSRADBOCGNFJU	GZIRCDBHKXVESMYWQPNJTFOLAU	0
main	7 	WN 	 oneCued 	 0.0 	 left 	Y 	V 	0.0 	2 	0 	-2.0 	TMDBNYWCHOLFRPEQGUVZKXJASI	BGTJCANIODLFUYHVQKZEPSXWMR	EBDQYIVTKGLZXWMRCSNFHAUJPO	PGDOHWSBYATXVEJLZFCUIRQNKM	FTQOPKXIHAMELVGBCZJWNRYSUD	SMPCTBKRINFVXEJLGWOYUADZQH	0
main	8 	WN 	 oneCued 	 0.0 	 right 	B 	R 	0.0 	5 	0 	-7.0 	VWKEBHPQJDULOZGMRISTYFNXAC	LOFQWTYZVCHARGKSDPEMNUJXBI	KYGTRPAEXVHZIBQCDFOMWNSJLU	FVHPDJMIWYAXQSCTGLBNRUZOKE	OEYIJKDGRTNXHFAVZUBQMPWSLC	DBTMWPQLRUAFHVKGNOCXZEISJY	0
main	9 	WN 	 oneCued 	 0.0 	 right 	F 	E 	0.0 	3 	0 	3.0 	PAFLWHIBOSJRQXZVEDGKYNCUMT	QXETZONCSLUIFBMWDGRPHAKYVJ	QVKMTYOWPFEDRNAIUCHSLBJZGX	HWOYCLETPFVUMXIGNQAZSDJBKR	UOCHXPJZGENLQIDBYMWSTARFKV	DVFAPTHKINUXOELQYRCGJBWZSM	0
