"xDomain","p","participant","condition"
-9,0.4832,"18AH2",2
-8,1,"18AH2",2
-7,1,"18AH2",2
-6,0.7696,"18AH2",2
-5,0.8651,"18AH2",2
-4,0.6795,"18AH2",2
-3,0.869,"18AH2",2
-2,0.0029,"18AH2",2
-1,0,"18AH2",2
0,0,"18AH2",2
1,0,"18AH2",2
2,0.6818,"18AH2",2
3,1,"18AH2",2
4,0.9683,"18AH2",2
5,1,"18AH2",2
6,1,"18AH2",2
7,0.9718,"18AH2",2
8,0.9704,"18AH2",2
9,1,"18AH2",2
-9,1,"18GL7",2
-8,1,"18GL7",2
-7,0.6277,"18GL7",2
-6,0.7709,"18GL7",2
-5,0.8673,"18GL7",2
-4,0.4651,"18GL7",2
-3,0.4586,"18GL7",2
-2,0.1332,"18GL7",2
-1,0.1358,"18GL7",2
0,7e-04,"18GL7",2
1,0,"18GL7",2
2,0.1439,"18GL7",2
3,0.4662,"18GL7",2
4,0.4712,"18GL7",2
5,0.8713,"18GL7",2
6,0.2755,"18GL7",2
7,0.9761,"18GL7",2
8,0.9697,"18GL7",2
9,1,"18GL7",2
-9,1,"18HB9",2
-8,1,"18HB9",2
-7,0.2704,"18HB9",2
-6,0.7157,"18HB9",2
-5,0.6302,"18HB9",2
-4,0.3962,"18HB9",2
-3,0.6294,"18HB9",2
-2,0.2175,"18HB9",2
-1,0.006,"18HB9",2
0,0.2213,"18HB9",2
1,0,"18HB9",2
2,3e-04,"18HB9",2
3,0.8327,"18HB9",2
4,1,"18HB9",2
5,0.8409,"18HB9",2
6,0.8374,"18HB9",2
7,0.9613,"18HB9",2
8,0.8398,"18HB9",2
9,1,"18HB9",2
-9,1,"18JC",2
-8,0.7638,"18JC",2
-7,0.6229,"18JC",2
-6,1,"18JC",2
-5,0.9715,"18JC",2
-4,0.4476,"18JC",2
-3,0.0056,"18JC",2
-2,0.667,"18JC",2
-1,0.0556,"18JC",2
0,1e-04,"18JC",2
1,0,"18JC",2
2,0.0075,"18JC",2
3,0.447,"18JC",2
4,0.8648,"18JC",2
5,0.9693,"18JC",2
6,0.9697,"18JC",2
7,1,"18JC",2
8,1,"18JC",2
9,1,"18JC",2
-9,0.4795,"18JG",2
-8,1,"18JG",2
-7,1,"18JG",2
-6,1,"18JG",2
-5,1,"18JG",2
-4,0.9718,"18JG",2
-3,0.9733,"18JG",2
-2,0.8658,"18JG",2
-1,0.2608,"18JG",2
0,1e-04,"18JG",2
1,0,"18JG",2
2,0.0021,"18JG",2
3,1,"18JG",2
4,0.8657,"18JG",2
5,0.8673,"18JG",2
6,1,"18JG",2
7,1,"18JG",2
8,1,"18JG",2
9,1,"18JG",2
-9,1,"18LS4",2
-8,0.7417,"18LS4",2
-7,0.8889,"18LS4",2
-6,0.152,"18LS4",2
-5,0.9707,"18LS4",2
-4,1,"18LS4",2
-3,0.484,"18LS4",2
-2,0.2822,"18LS4",2
-1,0.0277,"18LS4",2
0,0.0031,"18LS4",2
1,0,"18LS4",2
2,0,"18LS4",2
3,0.9775,"18LS4",2
4,0.8758,"18LS4",2
5,0.8766,"18LS4",2
6,0.9725,"18LS4",2
7,0.6999,"18LS4",2
8,0.8752,"18LS4",2
9,0.8734,"18LS4",2
