"xDomain","p","participant","condition"
-9,1,"AJ7","twoStreams"
-8,0.8985,"AJ7","twoStreams"
-7,0.9696,"AJ7","twoStreams"
-6,0.9497,"AJ7","twoStreams"
-5,0.5175,"AJ7","twoStreams"
-4,0.6852,"AJ7","twoStreams"
-3,0.9801,"AJ7","twoStreams"
-2,0.0125,"AJ7","twoStreams"
-1,0.2162,"AJ7","twoStreams"
0,0,"AJ7","twoStreams"
1,0,"AJ7","twoStreams"
2,0.0013,"AJ7","twoStreams"
3,0.8314,"AJ7","twoStreams"
4,0.9301,"AJ7","twoStreams"
5,0.9261,"AJ7","twoStreams"
6,1,"AJ7","twoStreams"
7,1,"AJ7","twoStreams"
8,1,"AJ7","twoStreams"
9,1,"AJ7","twoStreams"
-9,0.6855,"AN14","twoStreams"
-8,0.6659,"AN14","twoStreams"
-7,0.8525,"AN14","twoStreams"
-6,0.9395,"AN14","twoStreams"
-5,0.9777,"AN14","twoStreams"
-4,1,"AN14","twoStreams"
-3,0.9977,"AN14","twoStreams"
-2,0.9214,"AN14","twoStreams"
-1,0.0568,"AN14","twoStreams"
0,0,"AN14","twoStreams"
1,0,"AN14","twoStreams"
2,1e-04,"AN14","twoStreams"
3,0.6483,"AN14","twoStreams"
4,0.9752,"AN14","twoStreams"
5,0.9769,"AN14","twoStreams"
6,0.997,"AN14","twoStreams"
7,0.9186,"AN14","twoStreams"
8,0.9964,"AN14","twoStreams"
9,0.976,"AN14","twoStreams"
-9,1,"BB6","twoStreams"
-8,0.8875,"BB6","twoStreams"
-7,0.9619,"BB6","twoStreams"
-6,0.9451,"BB6","twoStreams"
-5,1,"BB6","twoStreams"
-4,0.9959,"BB6","twoStreams"
-3,0.9227,"BB6","twoStreams"
-2,0.659,"BB6","twoStreams"
-1,0,"BB6","twoStreams"
0,0,"BB6","twoStreams"
1,0,"BB6","twoStreams"
2,0.9759,"BB6","twoStreams"
3,1,"BB6","twoStreams"
4,1,"BB6","twoStreams"
5,1,"BB6","twoStreams"
6,0.9972,"BB6","twoStreams"
7,1,"BB6","twoStreams"
8,1,"BB6","twoStreams"
9,0.9969,"BB6","twoStreams"
-9,1,"IK4","twoStreams"
-8,0.6581,"IK4","twoStreams"
-7,0.862,"IK4","twoStreams"
-6,0.9898,"IK4","twoStreams"
-5,0.9308,"IK4","twoStreams"
-4,1,"IK4","twoStreams"
-3,0.928,"IK4","twoStreams"
-2,0.9323,"IK4","twoStreams"
-1,0.0602,"IK4","twoStreams"
