experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	nPreCueStreams	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	angleOfWhichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0	HT5	nStreams	0	right	2	315	O	0	9	T	False	6	45.0	0	12	XMVESGNTLYKRPHUFBQADIJZO	XGSBOJIQDKTFZNVLRAMEHYPU	IGNFXTJEUYODBASHRZQPLVMK	SIQDVURYKZFOMEPLGXNJATHB	MVQGOKHRZTFEBNADUJSXYLIP	ZEFXHPMIVNDGJTKQYRASUOLB	SAQJDGNLETUKVRIMFHZBYOXP	XOZRQIYPHJGBMUVLSTENKAFD	1
main	1	HT5	nStreams	0	right	8	315	R	0	9	O	False	1	-1.40334185971e-14	0	11	MBZLJPGOAURFNKXIEYSQHDTV	HVKGDEQJAOBFZPULNSMYRITX	EIUMDVPLBOZXRQYFKNSTGHJA	BEZNFITPGHOKRUQDYAXSMJVL	LMODGHQVFUBAYSEPJZTRXINK	VMNYGQAUPJETZBLKIHXFSROD	QNSPAYFVBEXGLOKIUMTRZJDH	IPBXRVQJZFKNEMDULYTOSGHA	1
main	2	HT5	nStreams	0	right	8	180	B	0	9	Y	False	3	-45.0	0	3	PROZBYMNFIGEXTSJHVLKDUQA	ADYFMUNRGQPTBVIKSZLJEOHX	VZRXOITYDMGEPFNJAUKBSQHL	HKUVXEQGJYAZBDLTSIRFMOPN	JHKZDBSAXYPQOMUEFTRVLNIG	JPFSLXHNVKZMYUQGIDABERTO	XNOPHEJABIUFQLRTZVYSGKMD	UNORATIJMQZSFBXKGVHLPEDY	1
main	3	HT5	nStreams	0	right	8	90	N	0	6	F	False	5	-45.0	0	15	MYFSNLRDOAGVBUJXIZHEPQTK	TEUAQBHMVODILFGRNYKPZSJX	KZMHGFALETXOPSBQVJUNYRDI	NHQISFOPMKGTJLXYRZEUAVDB	RVOAFPXIDQLUHBNYTKJEGZSM	OPTRZEFIXUAVMBJHYLDKSNQG	RJISTONEBMKVYXGADLQUFPHZ	MXUDBOKJQLTAVRFYIEPSGHNZ	0
main	4	HT5	nStreams	0	right	2	180	A	0	6	A	True	4	-1.40334185971e-14	0	0	DHAKVZNYPFEILOBTXGSRUQJM	ZYVXOAJDHIRBUGPLMNEKFTQS	UJYPILZSEMNDQXVKBFATHGRO	GMQAFISRKTBXHUENVPDYJOZL	LVNBJKAIQHDYRXFPTMOGEZSU	UDZSBRYHKFLPAVOJETMQINXG	AJXIGZYHFEBOKUNLVSPRQMDT	AQMZLKEJUIVRNHOBYXSTPDGF	0
main	5	HT5	nStreams	0	right	2	0	B	0	10	V	False	2	90.0	0	-10	OYDVMFHAEZKLURSQBPTGJNIX	JYXAMISGPOKTQDEZVBUNHLRF	BRHLUOMZEPVADQNYJSTXGIFK	LJNFISRUEOKZPHTGMYXBQVDA	DAFXKHUJPVBEZMYOGNSRQLIT	SHEUFDIRAXNLQPZYKVJTOBGM	EOSLMGXDBIUZHRVTAPYQJFNK	IDONPHYEXVUTKZRFGMSALQJB	0
main	6	HT5	nStreams	0	right	8	135	J	0	8	A	False	1	-7.01670929853e-15	0	15	UJSEIOXRPTMALDBGNYZFHQVK	HUFEYSDPAXBZVRIMGLKTNQOJ	YKFDEQTXIMLHGZRSOBPJANVU	IQKGHRYSVANFMEUOXBLZJTPD	LJTNDVMAERKOXZSQUGPHBIYF	DQOVJTRNIFLKYPXESGUHZBMA	GUZFTPMQDRNVIBKLHSAXOYJE	KLZXFEHBTAUNOMVQSPIGRDJY	1
main	7	HT5	nStreams	0	right	8	135	E	0	9	V	False	0	-45.0	0	1	AFTZQUXDGVEMBSYJHLIPNORK	VZGPEASBLNIXTHUYJOKRMFQD	MBTVOKGYZRUFENLXADQIPSJH	TXUANBZVEDSGYJFHROMKQLIP	UOARDMTZGYHIKBSLQPJEFNXV	XMHTPRGISBADZJFQYOVLNKUE	PBDJOGNKFLQYUITHZXRAMVES	EVMNIYKGBFLJPADRHQTOUZSX	0
main	8	HT5	nStreams	0	right	8	225	M	0	8	N	False	0	45.0	0	3	DKPFXSEANQTMLJBUVGIZYRHO	GMORPTYIJQLAUNDSZVXFBEKH	XYLUNPEFAVOGIBDHSKRJZQTM	ZSEYVGAKTHLPORXUJFMDNBQI	AGKEJTMXQFUDZPHSOILRYVNB	THRBMOXGASNLUYJPDEQZFIKV	VKHUENBJGLFAMPIQYRSTOXDZ	IMDYKXVRFSHPELGOQBZAUJTN	0
main	9	HT5	nStreams	0	right	8	225	S	0	6	V	False	2	-45.0	0	3	GBSTRJAYULVXQHOEFDKZPNMI	OPEVGNKDZQIHAXMFUTBYJLSR	LGAZRUVNKSHMPYEJXIBFTDOQ	YBZNQGDILMXAHKUTVESOJPFR	JSYHRPXTAKQEUFMLOBGZIVDN	MXYPIZFKVBDSRTGNLQOUJAEH	MTEYIGAUBKNROHXQLPFZJVDS	YVSTUPOMJDQNBGRELKFZAIHX	0
