experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	nPreCueStreams	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	angleOfWhichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0	KH18	nStreams	0	right	2	225	O	0	10	T	False	3	-1.40334185971e-14	0	-3	ERAMKHDVFGULYZPJOBXNSTIQ	XFZIOEDNHLAJSBVRUTGKQMYP	KFMHJDZTLSEIBOGQYUPRANVX	ZJFBNUVOPHTSYIAKLXGDREMQ	XPQDFBELYUOHRAVSZTGKJMNI	BXRHFQUJLYKZNMPGAISVTEDO	ZEIGBOANXDPSKLTUVQFJYHRM	RGFZKHXBUJQNDSAVETPLOMIY	2
main	1	KH18	nStreams	0	right	2	90	M	0	9	G	False	3	-135.0	0	2	ZYQJLNXSAHBFOIUTKPERGVDM	LVNPUQMHGXKERBTAZSODJIFY	LUDATBHFZGIKYJNOXPRVQESM	FHUQOPEAJGNMIXVDYKZSTRLB	BFPURJLHXITVDMKNSYZAOGEQ	VLZGJDETANIMXPQUROBKFHSY	YPZKNEQHMJRSVXIFLTGDOBAU	NATMYGUOXRLSBIZFVDEPQKJH	0
main	2	KH18	nStreams	0	right	2	225	T	0	8	G	False	6	135.0	0	6	YUPOEJADXFRGSTVIQLHKBZMN	IRNLXUMTOZAGJFEHVBSPYKQD	KRJHIPNBGDZYXTEFAVLUQOMS	HZSNTLEKOFVRMBAGXQIJPYDU	BUAZQXPRKHMDOGFVTSLEINYJ	DVAPOHTUKXYRJNFGIQEBZLSM	KULNSYIBGPOJZMTDEVHFQARX	FAKGJPRYVDOXMHZEQLBNUSIT	1
main	3	KH18	nStreams	0	right	8	180	J	0	10	N	False	0	180.0	0	13	TXVUEKAIGONBRPHSLYFQZDMJ	BTJEXHVOPZQGFDSNKARMYLIU	TNGVSQKZHOXMDLJABUIEFRYP	DOKVNHEGFTSPIQAMYLXZBUJR	ZATDVSFBJKMIQYENHXUGLPOR	JGKSZIPFXYVOQUHBATELDMRN	USPRMEGVKHDYBATOZFQXNLJI	TFXNHMKAUOPVQEJYSLBGRZDI	2
main	4	KH18	nStreams	0	right	8	135	I	0	9	H	False	4	-45.0	0	-5	SKPGBQFMHTEOLYVZNADXRJUI	XQTYMRGKDSLUEOVJHAFNBPZI	DYJZFTUNMSGXPVHREAQLIBKO	QJXANIHBDLPORGZFYTKEUMVS	GLBJISYRAHNEQODKFVTUZXPM	RVHFZSGYMEAUBNXDIPLQTKJO	KUVRETJDGSXPZMNLYQBHIFOA	NEDOVYBQMRIZKFXJHUPTALSG	1
main	5	KH18	nStreams	0	right	8	45	J	0	9	J	True	4	-135.0	0	0	YOBIHJRLKQVGDSPMEAXNFZTU	ZTBDOXIVPSAMFQHKGULYNJER	YEOARUVZDBLPGKFNSQIHXMTJ	DXUFPYIHSETGLJZQMAKOBNVR	DPUSRINOEJXQZYGMLAVHKBTF	SMGAFXINRJHTPKZOEYVDLBQU	FUQSTVZHAXELNGRKYPJOIDMB	MREXPYZQAOLHSDFTJVKINUBG	1
main	6	KH18	nStreams	0	right	8	225	A	0	10	J	False	7	180.0	0	-9	SNTUQEJGVYBFOLXZIRMDPHKA	FOTEMXJUSKPGHYIZLNDRVQAB	FQJGAMNUBSKHVIYEOTRDPXZL	RQSTIXUBKZFLPMHJDAGVNOYE	GFVXEHZJTAYPDILSNROMBQKU	GNRYMAUETBIPHSZLKXFJQDVO	QZDHMXTSBUFLIANOKVGYPERJ	NAHKRXTFEVJUMZOSGQBLYIPD	2
main	7	KH18	nStreams	0	right	2	135	O	0	8	I	False	4	-45.0	0	5	MXDNRVYTQIEUGLJOFPAZBHKS	ZNYKVJSDIOMFXBPLUAQGTHER	VGTUSEXDPAQBKNYLFJMIZHRO	FKVPMQRNTZBGHALIEDYJUXSO	BFANMSVTIZGUKOEDLJPYQHXR	EZVQMXOALRDGUIBFJTPNKYSH	UPTNZJSQIMEDOAHXRGBVFKYL	BGUIDFVLXZEYTANHPRKSQMJO	1
main	8	KH18	nStreams	0	right	2	45	F	0	7	Z	False	6	-45.0	0	16	EZPNRADKXYUSOITHMBQJVFLG	GDKAXVEUFPQTRMOYLHBZINSJ	TUBAJHOPGRSEXIDZMNQLFVKY	JVRIDOQTZSBYKMAFLGXHEUPN	FHPZXSTAVBUOGLDRYMKNJIQE	VULNBQGZPFHJAKXMTDIOESRY	QAEUBKLZSNPVGOIJRHTYMXDF	PZLFYNKARDXVIEMUJHOSQTGB	1
main	9	KH18	nStreams	0	right	2	90	S	0	10	Q	False	1	135.0	0	13	ZVGAYURDPESHJQOMTFBIKXNL	FVHRGDPNMXQLKYTAOUJEIBZS	ETDPKUIYAROZGLVNXBJHMSQF	LMURFPZXDEQBHKNVOGJAYTIS	XUBVKRYNHJSQPFTMOIDGEZLA	AUTFQZIDMOBYGNVJLSRHKPEX	TJOQVHPEFRGLSUMIKNYAXBZD	TALIZYPEKNOJQBXUVMGFRSDH	1
main	10	KH18	nStreams	0	right	8	180	O	0	8	Q	False	5	45.0	0	2	DOLMTRZXAKUEHNYBJPGIQVSF	XEBOGTLVKSMYNURZDPQAHJIF	GYUKZPNTRXHALQIVMBFJESOD	FUZMPLIABNJYXHKTDEQGROSV	ROTLYHZSUNVEDMXQPAJKIFGB	XGERMZPYQIOVDAJTBHKNLSUF	UYDXMQRJTPKOZAVFSHNGLBIE	TIAOKDLSBPZUFMXVJNGRHYEQ	1
main	11	KH18	nStreams	0	right	2	90	A	0	6	F	False	4	-90.0	0	1	IJPHKEMXOBARNUGDVTQFYZLS	EYTZFLDUVXRGSIKBQAHNJPOM	UNYVXDQOAHFJSPLREGMTZBIK	HXEFBNMYIOGAUKPJTRVZDLSQ	VIQJHGFASDNKULMYEROZTPBX	NYHPEFKIOJLZXABVTMRQSDUG	IKZNSJLQAXRGHUEMDFYOBPTV	NHRXGDYFTQMOUJZSPLVIAKBE	2
main	12	KH18	nStreams	0	right	8	315	A	0	10	U	False	1	-1.40334185971e-14	0	1	JPBEHSNYKUGVFOITQXLMADZR	SYQBIORHPZUAGVXDLJNMTFKE	QVSBIZDKPXOARFTLJYMGHNUE	LRQIEFZBOUHSDYVPJXGTNAMK	JYBHLTRQVSDGZOKFAXMNIPUE	DEATZLFYSGUKVIMOXHRBPJQN	ADMNZRJHGSITFBEQLVXKOYPU	JHXIZEOAPBGFSTQMNDRKYUVL	2
main	13	KH18	nStreams	0	right	2	225	M	0	6	M	True	2	-45.0	0	0	DSQIGTEFJUMHNZYKRPVXBLOA	UJOFSTZIPEMNKYRDAXLGVQBH	TQHBZJMNVDOASXURIGFKPYEL	PUVKERXASLGBFMZITJHQDOYN	OUBVPXKIAYLSZFHQDGRNMJET	HPBGJZUFVQASRDEINKYXTMLO	JYXKBELFIRUPHDVZNSTGQOMA	AKDOSEYRZHJIBMVPXTNLQFUG	2
main	14	KH18	nStreams	0	right	8	315	N	0	6	I	False	6	-135.0	0	1	AESMUGVJXRBYOLTHFDNQPIZK	AJIPQZBLXRDKEVOHSMYFTNUG	NKUBIMFQPREAGYVXOSJHZLTD	XJMNQIUZGTLRKBSEPFOVYHAD	XVUIBNFODYSPMZLRAQTHEKJG	TBRHMGDFEXOZNQVUPSKLAYIJ	RAKLFOINDZQJBEMTVXYHGPSU	NEOLHZAVSTDUXFGMPRQKJYBI	2
main	15	KH18	nStreams	0	right	8	225	L	0	7	K	False	7	180.0	0	1	GJULVZFTBIPERSMNKHAYQDOX	ONSPJYXRUHZELADKFTGIVBQM	KNZAIVDOTREHGMFJXLPQBYUS	RVBHLKIPOMYASXNDQEUTZFJG	IQXBAKORPDFHUSJVEZYNLGMT	MDERSNXVKAPLHFJQZTUBIGOY	GNFLRVXJEQTOYPZKHUSBMDAI	PMFZUJRKLOTQBYXVHISDNGEA	1
main	16	KH18	nStreams	0	right	2	135	B	0	9	B	True	6	45.0	0	0	MHDLIASVPFGJZQOREBXYKNUT	GNRKIQDUFZPELASMJBVHOYXT	VQKAXBGIMHJRDYTPELSONFZU	ZJVSDHBIMQYGPKNAORXFUELT	YLMPUBJGHOESXRNITVAFDZKQ	GEVFOIQNPLMDTUHSKYJRBAXZ	HRFZMVSYTBJONUEPLDKAGQIX	PKNEVRUHDBAISZYOTQMXJLFG	1
main	17	KH18	nStreams	0	right	2	180	L	0	6	T	False	0	180.0	0	1	OJNPRATLVBUXFGMYIDKHQEZS	UADBETIROXGZMJHNSQVKFPYL	KQDABPEUTNLYFJOXVRGIMHSZ	ITYZFEQOBXGKPMDJHRULSVNA	UTJFHZEXOMVKGLQDAPISNRBY	ALOSKHVIEZQYPNRBGFXUMTDJ	HNFGPSARMLVXEZBKUDYOQJIT	VKMZTOPGHDLJQYXSUAEBRFNI	1
