experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0 	AH 	 oneCued 	 0.0 	 right 	B 	Y 	0.0 	7 	0 	2.0 	XAZJDRHKYNOLBCISVPQFUMTEGW	WAXZMHKIPOSBYCURVFJELGDTNQ	DGHQUOJWXSMEYFZCRTANKVBLIP	QLIXCAPOFRVBDTGEYZJWHKNSUM	VFNTPGZDOHXJBRULQICEAWMSKY	DAJVCBQPMISLEYNFGZWTKUHRXO	AHVOWCNXFIMLGYEZURDJPTKSQB	AZXVNSFUJYWBIEKDRHGTOMQLCP	0
main	1 	AH 	 oneCued 	 0.0 	 left 	H 	X 	0.0 	1 	0 	1.0 	WHPURCOYQJFAEZGBNISLDXVMTK	AIKDBRFWXHUPTCYLJSOGQMENVZ	DRXETSYNALOJWKCFHMIUGPQBZV	JPUAXNTDYZKOIGELSHVMCRQWFB	KNHZBEMXWOCYAFJTLGRDQSVPIU	SNREIBYAQTXDMGVUHKWFLZPCJO	HINDUVWMTYRGCZQBLEJKFSAPOX	OQMVBSETLZJPNCFAWXIUKRDHGY	0
main	2 	AH 	 oneCued 	 0.0 	 left 	U 	A 	0.0 	3 	0 	1.0 	CYFRXONHQUSVBMKDGEITPAZWLJ	WBVSDPRLTFUGQKYMHAJNOCEZIX	YACQHDNRFGVBUZSLTXEPWIJKMO	BFTQRDAUCGHVENSLZIPKMOJYXW	SHTOQPUMZFEJBCRXNDKVLWIYAG	SPMZYFLUWGBXAIOQCDRTEHKVJN	LASYURQHZTGBIEDMVPJKCXFNOW	YUNLEBGOWMPTIRJHXVFQKSZDCA	0
main	3 	AH 	 oneCued 	 0.0 	 right 	Y 	O 	0.0 	3 	0 	2.0 	IQOGXEDJSBVTCLHMRFKNUYPZWA	AHLEUSKYFITZQWXDGJPBRCNOMV	PYVIZGCQXOSHUMWBLAEFDNRJKT	ACPJQHODYNIFBXKGZSRWETLVUM	FQASPVWJOHEDLZRICKTNUYBXMG	VHRAYBCZJIKLFODXWGNUPMQTSE	ORCLBDJQESAMZIUFHYKWVGXTPN	EHGFUDXVWKOLJTIYQPBCNMAZRS	0
main	4 	AH 	 oneCued 	 0.0 	 right 	T 	R 	0.0 	4 	0 	1.0 	OYRCJVFEHBIGWXMPZULKTDSNQA	GXAYTDIJUNVRFLPZWMCBEHOQSK	AQDJSOFXMVTKYPWHZNBGURIECL	KSZAQJHPFIVRUBWNCDEOYLMXGT	OGZCQPDASURTVXBLNIYKMJHFWE	RJFAWTYLISOXNMZQEBHVDUKCPG	CMHSZINDLXEJFRBVQYAWPUOTGK	FPNGMKOVUHATLECYDBXJQWSZIR	0
main	5 	AH 	 oneCued 	 0.0 	 right 	P 	Y 	0.0 	5 	0 	1.0 	MPHXTBKDNOWSUVAZJRQCIEFLYG	IZXURSTODPGKLBCYAJVFEHMQWN	DSRXKFGLIWABMTEYPNUZQOVHJC	ERVTMFZOYUQNDSPKXBJWHLICGA	LEFVTZISWRJKCXYGQOUMPDNBAH	MQLVNHOYPDBJAZSXEUFTRGWCKI	FBDATUEOSZPIVGNQCYMRLKWJHX	PINCEFTVXKRMHDOYUAQJWGBLZS	0
main	6 	AH 	 oneCued 	 0.0 	 right 	Y 	E 	0.0 	5 	0 	2.0 	YUQFCVENRXBZOWHSJGAKLTDPIM	DJGLEBWOAVKRSFHMUQNTPIZYCX	RIUKCFXMLSGPVAWZHJTNQBYDOE	LZXDJARPTEHWGNUVFOYMICBQSK	UIJCWBKGSMAVTQOHDZRYELPFXN	BLFKVUGSEPYHTQRZIDJMWONXAC	EZXKVBNIPFHUYJTDCMRGQSAOLW	JSIVKNGPBRFALCMWXUTQZODHEY	0
main	7 	AH 	 oneCued 	 0.0 	 left 	Q 	S 	0.0 	5 	0 	1.0 	CEKSBRDQYFOUWNTGIZMXPLHJAV	OGTCUBFZXEWDSQJYMHLNAVKRPI	TMSECFNBWYGUVJHAKIXPOLRZQD	GLSBVEAZQHPXRIYDTCUFOWKMNJ	QTRBLNAYPSZCHKOJWMUVEXDGIF	LMXRPTKSQCBNUWGAIEZYFOHJDV	OURMXCTKSQABPVJLZDFIEHGWNY	SYRLUPWMHXVNCOKGDZTIEQBAFJ	0
main	8 	AH 	 oneCued 	 0.0 	 right 	T 	N 	0.0 	4 	0 	2.0 	EWARGYNJIKULDZXBMHOTPFCVSQ	WGMOIACXBYTHZKUJLSVRNDEPFQ	DIGSOURETWLBCVZJAQXMKYFNHP	ILHDYAKRFESUVOJCBZWQMTGPNX	YELJOBNGTCXASUDVFMIHZWQPRK	BSZVDJRFQGIPCNXTAHUOYMLKEW	HDUMNFJGKXCAVSZTPYORBQWLEI	HBRFTNSIQAGOJCKXWZDMPVEYUL	0
main	9 	AH 	 oneCued 	 0.0 	 right 	K 	Z 	0.0 	6 	0 	1.0 	AHMXJBFGQVDITRWKZEUNCYLSOP	GKIPNLZXHBAJOQWEDVTMSCUYRF	BDEQXAMVTFKYNHCURGZWIPSOJL	NHGRDVLQEIWUMFSOXYBZPJCTKA	YHGTPZFACBRUQEJOVXINWMDSKL	XWDAOVFYESQCNJPRGBMTZIUKHL	EVSIRCUHAZKNQTLDJFPXWBYMGO	ADJVCNWSYMQKBPXHUETOZGFILR	0
