experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	nStreams	baseAngleCWfromEast	ring	resp0	button0	cuePos0	answer0	correct0	whichStream0	angleOfWhichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	streamLtrSequence18	streamLtrSequence19	streamLtrSequence20	timingBlips
main	0	DY1	nStreams	0	right	21	0	0	P	0	6	F	False	16	0.0	0	5	LPTAUHGOYXSRDKNEVBIFJZQM	GKMHIPJAZDULVSRYTNFBQOEX	FZVBDPQSENXAMRLHJOGYTKIU	IZABFSPVYTQRULXHGJMDKONE	TJFXLIBUEQVYNKMZDPRGSHAO	LXJHVZFPIKRTNQDSBEMGUOAY	KJQGZEMAURIXBSVOYTPLNDHF	UMKEYPGNLIXQJAVFDZTOBRHS	BYLGXPAJZMFEQNDHSOITVKRU	PIJEOTKZFHYBASGRMLDUXNVQ	GFYDJZUQPSXMOKVBERNITAHL	TJZVLOPYDBFQRKAIGHNMSXEU	UEKJQMHPRAGVNBXLSTDIZFOY	HQYVLOGXIRZBTMUKJPANESFD	DJAGHFZKQXPMSUVLYITRNOEB	AJZNKFLMDTUEHPRSXIOVYQBG	VSEOTDFYUIGPMBAXKJNZLRQH	VSQEYFTLHKMXRUGDNZIOJABP	YEBZKQRXPSHOLAUDNVIJGMTF	VMKPFINAQBLJSHXRZEYDGOUT	SAZQXFLJTMUDVRIKYPBGEHON	1
main	1	DY1	nStreams	0	right	21	0	0	T	0	9	N	False	14	-67.5	0	4	IEPQVHYRBASFXOJMUZGKNLTD	QJNFKOXDRBPHYLISAGUEVMTZ	FDHPRLOKQTZSYJENXGBMVUIA	NQEZJDHGLISARXBUMYPFKOVT	UBKFAOZTRLPJGXEHYMNIVQDS	KQBARMYNEUOZTJVDGLHIFSPX	JNPLMQYEDXZSKGIVRTUHOFAB	PEDMUXNLZFIYJVBHTQOASRKG	LXZTKGRVFODSYQJHPEUAMBNI	UQKVOEBJTXZRYHLFAINPGDMS	MQIAOBZGSRVDNXFJUYTKHPEL	EKTNIPVYALSRJQOHXZDFBUGM	RYUJNFDSLBHVXOZQGMEKPTAI	UHGLZVOPSDITRNFQJAXBEKMY	YOJUZLIRSNMFBTPVADHGEQXK	VLIZOAFHSXNEDQJYBPGMRKTU	JQUTIXRHKYNBGEFPAOZMLVSD	URKFTMHGJBLSPOXDIVZAYQEN	JQSEBTUYNZDXMHVOKRAPGLFI	FLHDIMTNVEUQAPJOYBZKRXSG	UQRLHAFPYXITDJSMNZOBKGEV	1
main	2	DY1	nStreams	0	right	2	90	1	M	0	10	U	False	0	-7.01670929853e-15	0	-7	DSHMGQARPOUVNEZYXJKBTFIL	UOSVALQRMIGEXKDJNBTFZPYH	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	3	DY1	nStreams	0	right	2	45	0	U	0	10	D	False	0	45.0	0	12	KTLOZXQHIBDGYARSEPFVJNUM	FERBDLQPAMNJUZYVKSOGHTXI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	4	DY1	nStreams	0	right	21	0	0	L	0	7	S	False	5	45.0	0	8	FPXHZQNMEBSOTGIJDVLAURYK	QLFGNOJPTDSHXVBAUMEYKZIR	YRXSOVFPNTLMJQKZBEHIUADG	UEOIYSQKRBXNJZDATMHGLFPV	FYAPXBIHMSDVNEQTUKLGROJZ	GOZBNYXSTKDVPJULMIQAHERF	YUEXBNTLMRDZVHFGOPSQJAIK	FJGVKZTBDULRIQYENPMXASOH	VEOBFXDUTPKIQNZRGSYJLHMA	ZUXQVOBRKMHNJYIDGFTLPAES	GRPNQKIUBTZDEHJSYVFAMOLX	NJIXETMBUKRHPYGZQADVSLFO	SBHTUEYKRJDNOLIMXAPQVFZG	PSRDVEXLQUMAJFHOGBNITKZY	UOKZXPDTRSMQBNEAFIJYLHGV	APVYRXZEBHQONDIKMLTSUGFJ	YDAZGBPKHUSTENRXFJIOMLQV	MOIUXKPYVTFGSAHDLBQRZENJ	ZHDJOFGNUXYQLRKETVIASMPB	OFPYULQBHDIAZGMVJSREXTKN	FRKTLASJGUMQBVPENHDYXIOZ	1
main	5	DY1	nStreams	0	right	2	90	0	M	0	8	L	False	1	90.0	0	-3	PERDQFOIGYJAKVSMZLUTNHXB	GBFXIMTOLUAKRQEVNZHJSYPD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	6	DY1	nStreams	0	right	21	0	0	J	0	10	A	False	6	90.0	0	7	QXGAFOTIJENUSHLDMRPYZBVK	EGHYZSTAPORKUDJIFVXMNQBL	UYLBFHNXARGMDTVQJSOZEKPI	EFAVMBKHODLURJQZTYPSNGXI	JBQYSVLPIUFOZNAHXMKDTRGE	GFNSEATXMPYHUJRZKLVQBDIO	BERUIHNOYDAQTFXGVJSMLZKP	JADEHOTMXQYLKPSRVGUZBIFN	MTUXZHIVRJGFEDLYOAKPQNBS	ZOTYHDSFJLUAERPVGXBNMKIQ	KBOZAVSQYLPUETXGIJFRHMDN	PKJRQMOFGSBZNYDHVXTLIEAU	IPMAZXJBQHERGNOSLFYVUDKT	ZEISJMVFTKYRLAXDHBQUNPGO	FMELASZOYBJDVQUPXITGKNRH	IHVZSQMDNAXFYBJLKTOUPGRE	DJRZUGHFISOEKABYQTPVNXML	SENMIXYJLRZQBOPUTHKGAFDV	GZEYSKIXHUTJLRPDBNMQFVAO	IOXTPESKHAGYBLMURDZVFQJN	KNVYPDLJFOIGMBHSEAUXZTRQ	1
main	7	DY1	nStreams	0	right	2	90	1	V	0	8	Q	False	1	-1.40334185971e-14	0	4	JBEQVMDPLROXHTGUIYAZFSNK	LSGJMKNTQDUEVYPHFARIXBZO	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	8	DY1	nStreams	0	right	2	0	2	G	0	8	Q	False	1	-7.01670929853e-15	0	8	TDRKSXZUYQIPOAHNBMJGFELV	OYHAJDVXQLUFETMIGRPSKBNZ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	9	DY1	nStreams	0	right	2	45	1	S	0	6	N	False	1	-45.0	0	-5	TUQXANKGRFEIHSPDJLOYVMZB	ISLATENVPXOQDRJMYKZGFBUH	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
