experimentPhase	trialnum	subject	nStreams	ring	crowded	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	23	AG12SONA	2	1	Bouma	M	0	6	E	False	120	330.0	0	1	1	11	JMBXNPFAZYSIQVHDERUKGTLO	KHFZUQEAXPDJGIVYNMRLOBTS	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	24	AG12SONA	2	0	Yes	S	0	8	M	False	60	60.0	0	0	0	1	KQAJVHFGMSZOTRYPLNIDEBUX	AXDTIELRHNFOYSVZGUBPMJKQ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	25	AG12SONA	2	2	Bouma	N	0	10	I	False	60	60.0	0	0	0	-7	SKDNHGTJXVIEUPBRAOQYMLFZ	YMQXHBIOKLFTEPJRNDZUGASV	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	26	AG12SONA	2	0	Yes	T	0	10	J	False	120	120.0	0	0	0	1	GBNXVIPDZAJTOELFHKUSQYRM	JAKVHZQXYDPNURFLBMOTIGSE	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	27	AG12SONA	2	0	Yes	R	0	6	N	False	0	0.0	0	0	0	1	PTUHLGNRVASDYMXKBQIZEFJO	LYJNHRIDKZESOQBPXVAGFUTM	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	28	AG12SONA	2	1	Yes	U	0	10	G	False	0	30.0	0	0	0	-8	YTUSAMZKREGLNDHFPVXOQJBI	VLKTENDJIZAPHUBMYFRQGXSO	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	29	AG12SONA	2	0	Bouma	I	0	6	R	False	120	300.0	0	1	1	1	EKTDZFSHXARMJVBOYLINGPQU	EGSZLARIBNHYKJVUODQTPFMX	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	30	AG12SONA	2	2	Bouma	M	0	6	M	True	120	120.0	0	0	0	0	OEKXGDMRHNTUFBJLIAZVQYSP	BYELDJMPGXFOHZQUTKSAVRNI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	31	AG12SONA	2	0	Bouma	P	0	9	P	True	0	180.0	0	1	1	0	NFSRDEHMTPVKILYABOGZUXQJ	QSHMGOEXIPBTYAUKJDFLNVRZ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	32	AG12SONA	2	2	Yes	U	0	10	I	False	0	0.0	0	0	0	4	NYOJKHGPDRIEBFUXLTAMSQVZ	OKHXJUIBGRZMSFDQTPEAVNLY	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	33	AG12SONA	2	0	Bouma	T	0	10	R	False	0	180.0	0	1	1	1	MJGIKSLRQNXHZATPVYFEUBDO	EJFUDQZKNGRTAXLSIBMYPOHV	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	34	AG12SONA	2	2	Yes	T	0	10	Y	False	0	180.0	0	1	1	-1	RKOZTBFDESQPLHUYXINMJAVG	MIFPGNJLDTYUXBEZHQOSKRVA	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	35	AG12SONA	2	1	Bouma	U	0	9	E	False	60	90.0	0	0	0	1	MBVLGNDRFEUKQZHXTPIOJSAY	JDKRINHUBAPVOLZEGFSTMXYQ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	36	AG12SONA	2	1	Bouma	U	0	8	U	True	0	210.0	0	1	1	0	IDLBAXRTPQHZFONJYGKSMUVE	YKMBNRJXUVFIHQDPAZSTOGEL	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	37	AG12SONA	2	2	Bouma	T	0	6	H	False	120	300.0	0	1	1	-1	LIMPDYHKJRFQTOVAUGBNXZES	RAXIOTHUBQGEDMNSZFVJLYPK	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	38	AG12SONA	2	2	Bouma	G	0	9	I	False	120	300.0	0	1	1	-2	DYFNRBPSLEUGHVKMJTIOZAQX	LBPXZAYGTIODFHUQNVRKJMSE	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	39	AG12SONA	2	0	Yes	P	0	10	U	False	0	180.0	0	1	1	-2	ZFTOAUJLHNQKEXDGBVMPRISY	GXNETFLJPKUVZSRQOMHIBYAD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	40	AG12SONA	2	1	Yes	M	0	7	K	False	60	270.0	0	1	1	15	YTSQKZJRULXHGNBMVFDPIEOA	AQEUTJGKNYLOBDSZVXHPRFMI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	41	AG12SONA	2	0	Yes	T	0	7	J	False	0	180.0	0	1	1	-4	AJZFBDOVRGNTYEPSHLQIXUKM	UPGTDKRJVZFQLNXHOYESMBAI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	42	AG12SONA	2	0	Yes	M	0	6	F	False	60	240.0	0	1	1	10	ZVKLFAXJHBTEPDGISMOYQRUN	LQROTPFEBDHXSYIJMAUNKVGZ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	43	AG12SONA	2	1	Yes	B	0	8	E	False	0	30.0	0	0	0	-1	ISHGDONBEVQYRLTKAFPZXJMU	OITAVPYZMGKXBJSQRUNDLFEH	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	44	AG12SONA	2	2	Bouma	N	0	7	F	False	0	0.0	0	0	0	-7	NAUGEOZFRYTDLXKMBQHSJPIV	DBGZYXKQOPHUFESMTVNILAJR	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	45	AG12SONA	2	1	Yes	S	0	6	S	True	120	150.0	0	0	0	0	YJRQUZSXVBIFKNLMGPAODTEH	UXTLZRAVFHKNGDMOSBEPYIJQ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	46	AG12SONA	2	0	Yes	T	0	8	P	False	60	240.0	0	1	1	-6	VNOBTERGZSQILYFDUAJKXPHM	IXTEDSVHPLAQJUYFGONMZBRK	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	47	AG12SONA	2	2	Bouma	O	0	10	E	False	120	300.0	0	1	1	13	GFXKBYUJSOLHVZTNAQIRPEMD	MJXANYIDHLEUFSRVZGKPQBTO	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	48	AG12SONA	2	2	Bouma	M	0	8	Z	False	60	240.0	0	1	1	9	XIVYOPFHNQKEBDLSJRGUAMTZ	QVEFPITDZHSKXGABLMORJUNY	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	49	AG12SONA	2	0	Bouma	S	0	7	N	False	120	120.0	0	0	0	-1	JTZVBMSNQRDEHXPKOUAILFGY	GYKNASTIPBRLZMDQUJOXFHVE	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	50	AG12SONA	2	0	Yes	A	0	10	R	False	120	300.0	0	1	1	10	EDVSAFPHZJOKTRIGQMNXUYBL	UFSGMLHKTPRIXZEOYJBNAQDV	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	51	AG12SONA	2	0	Yes	O	0	6	K	False	60	60.0	0	0	0	1	PSAZRDKOIQVNXYHFULMBJETG	LDKIZQUBJVOXTGMNHSEAYFPR	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	52	AG12SONA	2	0	Bouma	T	0	8	X	False	0	180.0	0	1	1	-4	PTVUBQLONDFRJYHSGZXKIAEM	VLZKTMNJXFPAEUYHSDRQBOIG	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	53	AG12SONA	2	1	Yes	N	0	6	H	False	120	330.0	0	1	1	14	AQLZRUMSTPOKJIXNBVGEYHFD	PYGQUJHVFBIXKTDZSAOMNLER	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	54	AG12SONA	2	0	Bouma	J	0	9	I	False	60	240.0	0	1	1	1	GTHNXRQKBZJDYMUOVLAPEFIS	DESMQROKFIJXHNYGPVUZBTLA	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	55	AG12SONA	2	2	Yes	G	0	6	R	False	120	120.0	0	0	0	7	EOSBJURXYHFKVGMZNILQAPDT	GZUJOTBKPIMESFRLDHQAVYNX	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
