experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	streamsPerRing	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0 	RN12 	 oneCued 	 0.0 	 right 	 8 	 90 	K 	0 	9 	Q 	0.0 	2 	0 	1.0 	FVBKLDNXASUGQHPOJIYREMTZ	LTSDYJONRUZBXAFEVQMGHIPK	HVYPTDUAZQKSGJNLBMXEROFI	SZOPGDIRYNVEQJXMUBKLTFHA	UDAEXJYTPQKVOGMIHZRSNLBF	LZPQMYAHETKBXGUOFRSIVNJD	JGKYEUHNSZVLBDPRAXITOQFM	HTVOFLDXKMRZGUAIBPQJYNES	0
main	1 	RN12 	 oneCued 	 0.0 	 right 	 8 	 135 	N 	0 	8 	P 	0.0 	5 	0 	2.0 	FXYVNLDBAZTUQIJPESGMKHRO	ATUQDJPVROEFGLXYIZNKHMSB	EMTLVOFHASKBUZIQGDNJXYRP	YBVMAUGKETPQNOSZIRHLJDFX	LMQYDIXTVOBSKUFZREJGHAPN	GKVOJQTXPUNEMHBLRZAFDISY	IHAQEMSYUZXLBVFKOPNRDTGJ	BPXAJITOMYZGVERLUKQHSFDN	0
main	2 	RN12 	 oneCued 	 0.0 	 right 	 8 	 135 	Q 	0 	7 	G 	0.0 	6 	0 	13.0 	HDKLINVFPUOZYBMJTESRGXQA	ZSIYNOMRTVLGJFDBUPEXAHQK	VUIAQMLNBOKGFTJZDPXERHYS	BIJKMRQGTPFXNSVLYDZAHEUO	UXPHNFQKGAJLVERMBIYSTDZO	KESPUFQHBYDVXGZLOJIRNTAM	XJKMPULGVZFOSINEDTHBQRYA	YDAVHIGTUJZKRELQXPOSFMBN	0
main	3 	RN12 	 oneCued 	 0.0 	 right 	 8 	 180 	S 	0 	9 	Y 	0.0 	4 	0 	1.0 	FHGSKJDZBNUXVOAYIRQLMPTE	OEXBFAHSLGYZRDVQKUMTIPJN	XGNARFVYOJSBEZIHTUQLMDKP	LERIKJYMFSDGONPHTXZBAQVU	HDPILGZTQYSKEOVRBMUXFJNA	VMQXOARPLYBZUHGSKDIEJNFT	SDXAHPBLERGKVFMYTQZNUJOI	LNMFOTBDUAXQGREZIPKHJVYS	0
main	4 	RN12 	 oneCued 	 0.0 	 right 	 8 	 180 	T 	0 	8 	D 	0.0 	0 	0 	-6.0 	ZSTKXPLRDYIGEUQANBJOVMHF	ZBYPTENODXARMKGSIFLVQUJH	HSIFLREYQZDOUNVJXMGTKPBA	NLAJSDXQBIMRUZPEFKVHTOGY	GYIPAQSTMKEBFNUHVXRDZOJL	PQMUZEYXBALNVOTSHGRIFKDJ	SEXTNLDQPGZAROUIFJKVYMBH	UHVZDLFPSBIOJGRYAQKNEXTM	0
main	5 	RN12 	 oneCued 	 0.0 	 right 	 8 	 315 	H 	0 	10 	X 	0.0 	7 	0 	1.0 	VANHMOJQBZEPTSRYGDKFILUX	XBOGEKJSLAMRIVDTQZNFPYUH	VJSUZBDGOKTQFRHEXLYPMANI	PXISHDTUQMZAKOYLJEBNGRVF	YRXUJKPBQNOATFHGSDZVEILM	QDAYPLJGEMTXIOFNVSRUBZKH	UEGQVAPIYJTNSLHFROBMKZXD	QEMIUBRDNGXHKFPTLOZYVJSA	0
main	6 	RN12 	 oneCued 	 0.0 	 right 	 2 	 90 	R 	0 	8 	E 	0.0 	1 	0 	1.0 	GXLDKISNVAMZEBFRQOYHUJTP	ZMAOJQXBERPKGFVHSDULTIYN	-99	-99	-99	-99	-99	-99	0
main	7 	RN12 	 oneCued 	 0.0 	 right 	 8 	 270 	S 	0 	9 	Y 	0.0 	2 	0 	14.0 	FAPRQBSHUNZJGMOLXVTIYKDE	KAYMNJXPGBSRUOFIVELDTQZH	DKAFROVGIYZJMPQBHUTNLXES	KBQGNOMVZISDXUYTAELHRPJF	GXJBURZVEAHKPIMNTDQOFSLY	UPVQYKMILOBNFTJDHSGARXZE	GDLZHVJSTEAQXPIUMBORNYKF	RYGJLPNMZQEOKSDHIUVXTABF	0
main	8 	RN12 	 oneCued 	 0.0 	 right 	 8 	 90 	O 	0 	6 	R 	0.0 	7 	0 	1.0 	DOTJUINEQXMZLBYKAFGPHVSR	PIVJBXYZKNFMEURAGOQLHDST	EOVHTQISAKLMYZRNBPGDUFXJ	IEYRODLTJNVXFSHZKUMPAGQB	UOSNPFGZIVQMKDRLJTHEAXBY	XOKMYNTZUALIRESFHJVDBQGP	KVILADQSHXYUTFPGZJONBERM	HMDTQXROIBZPAKVUYNJSFGEL	0
main	9 	RN12 	 oneCued 	 0.0 	 right 	 8 	 135 	I 	0 	6 	B 	0.0 	2 	0 	6.0 	RYONLASGBUPXEVMHIDJFTZQK	EDLZNPKTJVQUYIMFGHSXROAB	TGYSNMBQZVKEIRPLJDFXHUAO	NFRATPIMVEXQJLUGZYDSHOKB	JVFUABKEPRXDISHZGNYOMLTQ	ZKUIYHOJTVDQERFXBSMGPLNA	PZKDLYSAQIVHXRTBUJFOEGNM	YSLUVMQRTFKPGXANIHOZDJBE	0
main	10 	RN12 	 oneCued 	 0.0 	 right 	 2 	 45 	A 	0 	10 	U 	0.0 	0 	0 	1.0 	HRSFGPQVKOUAYMXBTDNJLIEZ	APEQSFDNOJLYTKUVXIHBGZRM	-99	-99	-99	-99	-99	-99	0
main	11 	RN12 	 oneCued 	 0.0 	 right 	 2 	 225 	F 	0 	6 	F 	1.0 	0 	0 	0.0 	PATMLQFEUIXGSYJBORHNVKDZ	ILJDVZRGHUSTMNXPYOEFAQKB	-99	-99	-99	-99	-99	-99	0
main	12 	RN12 	 oneCued 	 0.0 	 right 	 2 	 270 	P 	0 	10 	E 	0.0 	1 	0 	1.0 	XZODBNHMUIGERQKFLSPJVAYT	FSINZOLGQUEPDBYTAJXMHRVK	-99	-99	-99	-99	-99	-99	0
main	13 	RN12 	 oneCued 	 0.0 	 right 	 2 	 0 	D 	0 	6 	X 	0.0 	1 	0 	3.0 	UTHFDLMXVBRPIEOZSJYANGQK	HNTUVAXSRDIZJEBGOLFQKYPM	-99	-99	-99	-99	-99	-99	0
main	14 	RN12 	 oneCued 	 0.0 	 right 	 2 	 225 	P 	0 	10 	L 	0.0 	1 	0 	1.0 	GYIQAEZMJKVRXSBOTUDLPNFH	BRGNKZMYVQLPFTSEDUJHAXIO	-99	-99	-99	-99	-99	-99	0
main	15 	RN12 	 oneCued 	 0.0 	 right 	 2 	 45 	S 	0 	10 	O 	0.0 	0 	0 	-3.0 	GTZAINYSVHOMLFDPKBXUEQJR	EYGBITPDJKUFRSZVLHNAQMOX	-99	-99	-99	-99	-99	-99	0
main	16 	RN12 	 oneCued 	 0.0 	 right 	 2 	 225 	H 	0 	8 	B 	0.0 	0 	0 	1.0 	KGSUPIZJBHLTNXAQMEDOVYFR	YKTDAGLVZOPQXHUREBSJFNIM	-99	-99	-99	-99	-99	-99	0
