experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	streamsPerRing	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0 	AL10 	 oneCued 	 0.0 	 right 	 8 	 45 	O 	0 	6 	V 	0.0 	7 	0 	-5.0 	ETFMBRLPDYUJVQOSXGAHKNIZ	KIYVEFNATDGPJBLOZRUXQHSM	NOYZJAGEVMTPLSIDHKFXQRBU	LARJNEVKOQYHGTSUFDMPXBIZ	LKMOZYNXGIPTQEFDHBARVJSU	LDVBRINEFHQKPUYGZATJXSOM	TYBKERNUAFQGSIVDOJPMHZLX	QOUSMFVHBTRDKZANIJPXEYLG	0
main	1 	AL10 	 oneCued 	 0.0 	 right 	 2 	 135 	P 	0 	8 	A 	0.0 	0 	0 	3.0 	QKOHIRLYANTPVGSUDMBEXJFZ	HGVPRFNKOZDLAETBIYMJQXUS	-99	-99	-99	-99	-99	-99	0
main	2 	AL10 	 oneCued 	 0.0 	 right 	 8 	 315 	O 	0 	9 	S 	0.0 	2 	0 	3.0 	KHEYXZFVITRSQAMBPOLDJGUN	DBLAZSFIPNYRUMGXJETVHOQK	IARBNLTZMSQUOYPVGDJEFKHX	EOLHVTURZJXDQGIPKFAMBNSY	FOATXUYSNDJRMHILVPBZQEGK	MAGJTVHUKLNQEZDPRBXOSIYF	DTQYRBPSJVGNHZEMAKLXIFOU	NDKTSUEXOHAZIVYMJQLPFBGR	0
main	3 	AL10 	 oneCued 	 0.0 	 right 	 8 	 270 	M 	0 	9 	A 	0.0 	0 	0 	13.0 	BRTKEQFIZAGHVXOUYNLDPSMJ	EJHOBPRUZXFTVKYNASDLMIQG	RFIQGMKJXSHTBDLUONVPAYZE	GULNKEVFYTQZPHOJIAMBRXDS	SGQBVDREZPUIKYTNJMFAHXOL	XOSTUDRFEYILKQHPBAZJMGVN	MEANVHDYZIJOKQSFTGLBRUPX	QLMBHUYEFJPZRVGAXKOTISDN	0
main	4 	AL10 	 oneCued 	 0.0 	 right 	 2 	 45 	E 	0 	6 	E 	1.0 	1 	0 	0.0 	BGEFMSKRIZUQODHTAVPXYJNL	QTFNSAELJURYKBHOZMPIXDVG	-99	-99	-99	-99	-99	-99	0
main	5 	AL10 	 oneCued 	 0.0 	 right 	 8 	 90 	J 	0 	6 	G 	0.0 	2 	0 	2.0 	ENSQRHZTUJVODLBIMAYXPFKG	EMAJXKRIZODQGLSNBTUHYFVP	ATXYPNGVJMDUKHRIBFLZOEQS	LTBGKFOEYXURSJHANZDQIMVP	NREHBOIMLXJDGZFQSKTVUYPA	JRMVQXITGZSBYEUNAHPODFLK	VXHRZQMEUYJAFIODTBPLNSGK	NZYOKSABTXFMIEULRGQPVJHD	0
main	6 	AL10 	 oneCued 	 0.0 	 right 	 2 	 315 	S 	0 	7 	I 	0.0 	0 	0 	2.0 	QRXMHAUIOSDEKYFBLGJVZNTP	BSPUYQFRIVNAMZKODHGJTLXE	-99	-99	-99	-99	-99	-99	0
main	7 	AL10 	 oneCued 	 0.0 	 right 	 8 	 135 	S 	0 	10 	S 	1.0 	6 	0 	0.0 	OFHVEZJUKMBSDXNYGLQRIPAT	BHDRLTXIVJPQGSEYZUAFMKON	DRHVXGALZNJOBEPTMISFQUYK	JHBNPVTMSXUOAFIZEQDGKLYR	VUFKBNARETZJGYHMPQXILODS	HFUXGEANQVZKBYLPTDRJISMO	TBQLEXKANZSGHPOUJFRYMIDV	AOXFDBZJIPQNSGMHYRLKVTEU	0
main	8 	AL10 	 oneCued 	 0.0 	 right 	 2 	 0 	X 	0 	9 	S 	0.0 	1 	0 	1.0 	XNHTSRAILYDEZFVUPOQGBJKM	ZOUALJMRNSXVQIYBTPFEHGDK	-99	-99	-99	-99	-99	-99	0
main	9 	AL10 	 oneCued 	 0.0 	 right 	 2 	 225 	K 	2 	9 	H 	0.0 	1 	0 	1.0 	JIYKBAHOUXZEGMQLSRFNTDPV	VTQSANGRFHKLPZXYMOEJDUIB	-99	-99	-99	-99	-99	-99	0
