experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	nPreCueStreams	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	angleOfWhichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0	ZZ9	nStreams	0	right	2	90	F	0	7	O	False	1	135.0	0	1	QOZGUHSJEFMATBKYXLNVIPDR	LUBKNGSOFJVYIXRDTAPHZEMQ	PSGXQIRTJHYKOEABDLUNZMVF	TSAGYRKEDPXLQMJOHZIFUNVB	BYLKNOURXDIFVQHGPSEAMTJZ	RHOIBTSLAMQYXDJUEFNKPZGV	RTOQAUGJPMEZLDYKVNIXHSFB	LYUKFNZIVMTEGXAROHQSPBDJ	0
main	1	ZZ9	nStreams	0	right	8	180	M	0	10	F	False	2	-90.0	0	-2	RVMYDSPZOTGABXKIHLFNJQEU	EYJAUQRZPFSDTXGNLOVBMKHI	GVZYXIHBMJFTAENOPSRKUDQL	QVYXBTKENIUDSOPGRMJLAZFH	QJKEMIHGYUARFLOPTXDVZBSN	PMIFNQKZSXVHLOGDEJBUARYT	MRZIDYJVLXKUTEOPQANHSGBF	BSQVAELDGXKIJFOZTNMHURYP	0
main	2	ZZ9	nStreams	0	right	2	180	N	0	9	V	False	0	180.0	0	10	FISEJQBMDVXZRKUGAHPNYOTL	AISKQDYPFULEVHMTNRJBGZXO	ZLJHRIXONPMEGATYKQDUFBVS	BQODMIVRUFKXNJTLZSYPHGEA	XSEVBQTIAKGOHNDZPFYMLURJ	GYXOAJDBRZTQMLEIVUHKSPNF	MIKSNGUYVFXPAZRBJDHOETQL	HYGNOPARDJVFQLMTIUXSEKBZ	0
main	3	ZZ9	nStreams	0	right	8	90	O	0	7	Y	False	6	-1.40334185971e-14	0	5	IUZKFGHMXODAJLVQPEYRNSBT	NXSMGKYHUZQLIETAROJVBDFP	LZPBHJQFIEXKGDSYTMUAVNOR	DIKJVXZLNGSAMRUHOQFYPTEB	LISBFVAYPZGURXQOMJKDEHNT	IQRBTENOMYGADFJHZUKVXLPS	JUHLZTIYMEDGOSPARQFVNKXB	EJKQMFOSPGBLUVTHRDAIXZNY	0
main	4	ZZ9	nStreams	0	right	2	0	X	0	7	M	False	3	135.0	0	13	JMPBUGAKVXLFSQEHZRDOTIYN	UIGNSVETFMKBQPRZHAOLJYXD	TPYGIFXJUNMZEBKDROVALQSH	LNDBKTYMVUSHZJAIOPGEXQFR	OABTRHGYPUDJEQSZLXFIMVKN	EGUJQOYIFAZTLKXRHPBNDSMV	ERVQPJFOUXSYKDMGBZIHALNT	UGQYKRFDTSBNAJIEMVHXOLZP	0
main	5	ZZ9	nStreams	0	right	8	45	N	0	9	T	False	0	45.0	0	7	SEDQJLYUFTOMIRAKNHBPVGZX	YGXIDRNHLFVQPUEZSOKAMJBT	VBJMLITQUFZPAXRSONHDYKGE	EFRVLPAJXZOTUQYIHKNMSDBG	RIYFPAJUBTHMODXGSQVZLNEK	BTXLKQPAFRUZJEIHGDSMVOYN	PRKYFTJHGISDAOEVBMLZQXUN	EBJZAOHYVLRPTMXIDGFNKSQU	0
main	6	ZZ9	nStreams	0	right	8	225	A	0	7	R	False	0	-135.0	0	2	KEUMBLGRJAPXDVFZQOHNTSYI	ZMHSKXGTJRYIPDANEBQOLVFU	ZQFSBOVPDKLGNRIMJHYXUTEA	XGVAYFMNRTBEHSJUQILKDZOP	JMGALZFBOKESPTYVQHRIUNXD	GNBOPSLRDAUYFKXETJVIZQMH	RXHTAVDJOUFNZLEIKSBYGQPM	OVBNXAUFLRTSQMPYDIGJKHEZ	1
main	7	ZZ9	nStreams	0	right	8	180	P	0	6	V	False	6	90.0	0	15	FVPXZYGMDALHIEUONBRTKQSJ	GKIDJYPQUFSLMTHVZAXRBONE	XLIKAQUYBVMTJERZNOGSPHFD	BAFYPONTMVQIXJSEKDRHLZGU	ULBAZDHTKOQXEYJNRGFPIVMS	SIBHAGLDNYTFXQOURMPJEVKZ	HNGOITVJLQFEBUYKDRXMZPSA	XQADROZGLNHSVTIUKBPJFMEY	0
main	8	ZZ9	nStreams	0	right	8	135	O	0	9	M	False	4	-45.0	0	2	KSPGJDMLTIQFVRXZYUHBNAOE	ERXIPBTFMKSVHNZJOLUYGDAQ	QPAOYHSRKVFTJDZMXNBGELIU	OARYPMSJGHDKULXIQZNTBFEV	ALFEHIJXRMYOTBKSZDPGNQUV	LPRHJVFGDBYNOKZAUSXQMTIE	BRMSEQLPHOUJYVTAXZFIGDKN	ZTYRAIUONHXJMBSGELVDKQFP	0
main	9	ZZ9	nStreams	0	right	2	45	E	0	8	Q	False	0	45.0	0	1	DMRYKGVNQESTFUHXJAPILOBZ	ISTUHAOBGREJMVNPKXQDZFLY	GVKAPEDRUFOZYJXQMHNLTSBI	KDFRPTLYZEGHMOIQVJBAUXSN	MTULFBXVZDQOEJRPYHAIKGNS	IOPNRUEZSATMHJDLQFKVBGXY	TBYPXLHMIZFAUJESVNQOKDGR	KQJFOSNZAYHMXDPIGTELRVBU	0
