experimentPhase	trialnum	subject	nStreams	ring	crowded	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	28	CharlieSingleShot	2	2	Bouma	N	0	2	N	True	120	120.0	0	0	0	0	##N##	##N##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	29	CharlieSingleShot	2	2	Bouma	U	0	2	U	True	120	120.0	0	0	0	0	##U##	##U##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	30	CharlieSingleShot	2	2	Bouma	J	0	2	J	True	60	240.0	0	1	1	0	##Y##	##J##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	31	CharlieSingleShot	2	0	Bouma	U	0	2	U	True	0	0.0	0	0	0	0	##U##	##E##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	32	CharlieSingleShot	2	2	Bouma	T	0	2	T	True	60	240.0	0	1	1	0	##A##	##T##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	33	CharlieSingleShot	2	2	Bouma	Z	0	2	Z	True	0	0.0	0	0	0	0	##Z##	##H##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	34	CharlieSingleShot	2	1	Bouma	F	0	2	F	True	0	30.0	0	0	0	0	##F##	##Y##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	35	CharlieSingleShot	2	2	Bouma	L	0	2	L	True	0	180.0	0	1	1	0	##Z##	##L##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	36	CharlieSingleShot	2	0	Bouma	G	0	2	G	True	120	120.0	0	0	0	0	##G##	##V##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	37	CharlieSingleShot	2	0	Bouma	U	0	2	U	True	0	0.0	0	0	0	0	##U##	##J##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	38	CharlieSingleShot	2	1	Bouma	L	0	2	L	True	0	30.0	0	0	0	0	##L##	##U##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	39	CharlieSingleShot	2	0	Bouma	V	0	2	V	True	60	240.0	0	1	1	0	##P##	##V##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	40	CharlieSingleShot	2	2	Bouma	Z	0	2	Z	True	0	180.0	0	1	1	0	##Q##	##Z##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	41	CharlieSingleShot	2	1	Bouma	S	0	2	S	True	0	30.0	0	0	0	0	##S##	##K##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	42	CharlieSingleShot	2	1	Bouma	M	0	2	M	True	60	90.0	0	0	0	0	##M##	##N##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	43	CharlieSingleShot	2	0	Bouma	F	0	2	F	True	60	240.0	0	1	1	0	##E##	##F##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	44	CharlieSingleShot	2	0	Bouma	Q	0	2	Q	True	0	0.0	0	0	0	0	##Q##	##D##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
