experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	streamsPerRing	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0 	BB6 	 oneCued 	 0.0 	 right 	 2 	 45 	M 	2 	8 	I 	0.0 	0 	0 	1.0 	AGPRUEOHIMTKJDVBLQNFYZSX	YRSFODXHGEUNTQLZBAPVIKJM	-99	-99	-99	-99	-99	-99	0
main	1 	BB6 	 oneCued 	 0.0 	 right 	 2 	 45 	Z 	2 	10 	X 	0.0 	1 	0 	1.0 	YQLMIHVBXTKJPRUDZNFSEAGO	BOFKTEMLHUXZSDJGAIVPNRQY	-99	-99	-99	-99	-99	-99	0
main	2 	BB6 	 oneCued 	 0.0 	 right 	 2 	 45 	B 	0 	8 	F 	0.0 	0 	0 	-3.0 	MRUDHBXAFJPYKIVSNZOGEQLT	GXDJVNAREBOYMITSPLHQFUKZ	-99	-99	-99	-99	-99	-99	0
main	3 	BB6 	 oneCued 	 0.0 	 right 	 2 	 270 	P 	0 	9 	P 	1.0 	1 	0 	0.0 	RZSOGPDAMIJFTLYQHKVBUXNE	FHTXZIEDGPRYJNBSMLVUAQKO	-99	-99	-99	-99	-99	-99	0
main	4 	BB6 	 oneCued 	 0.0 	 right 	 8 	 315 	A 	0 	6 	U 	0.0 	6 	0 	10.0 	QLYXRSZAIKPEVUTHBNMGJFOD	DPXBJLMZKVGAOYITEUNRHQFS	EZAPRDLNKFTGUHSIJYMXBVQO	NOPVGJQZAYXTULBEFMHSKRID	LQOUYHSREZDXFTGABPJIKVMN	ODTQUZKAHJLEVBSMXPGNFRIY	FYHSRZUTNGDXVLBQAJOPKIME	HPIBAFVQJDOXTENSRLGZUMYK	0
main	5 	BB6 	 oneCued 	 0.0 	 right 	 2 	 225 	H 	2 	8 	B 	0.0 	1 	0 	1.0 	BZUFAILVKQYXOPRMJSTNEDHG	UFIOYZSEBHPVRMJGKTDLQXAN	-99	-99	-99	-99	-99	-99	0
main	6 	BB6 	 oneCued 	 0.0 	 right 	 8 	 180 	Y 	0 	6 	I 	0.0 	6 	0 	1.0 	PKHLASDZIMVUTENFORQJYGXB	AVKHUEPLYGOMBDQJZNRITSFX	VPRKSEGOZHQXMANDYLTUFIBJ	YURNMLVJTGQHEOKBDXZSAPFI	KDNUPOYMHVIRLSAXZJQBEGTF	LMEKHPJNRSOYTGVZBIADXFUQ	PTHQAEIYKVJBGNZLMFOUSXDR	OGUIFEYBQPSMHTJANZVXDKLR	0
main	7 	BB6 	 oneCued 	 0.0 	 right 	 2 	 45 	R 	2 	7 	K 	0.0 	1 	0 	1.0 	AOSVMZUQYBGLDTJKPNXREFIH	XVHSBZJKRLOFUMTYDNAIEPQG	-99	-99	-99	-99	-99	-99	0
main	8 	BB6 	 oneCued 	 0.0 	 right 	 8 	 90 	T 	0 	7 	Y 	0.0 	0 	0 	-3.0 	MQURTPBYLZJOXFSIAEVHKGND	GIMTSAQUZKYEVJPRHNLFXDOB	IJGBLFHONTRXVPZEMDQSYAKU	EXNSKDVBIRPYMQGOHJLFZTAU	ZKOUAPGJTNFIXBEYVHRQDLMS	PNOFQKRHTYXIVLABMGJSDUZE	IUGEZNYHVJOAQDRSLMTPXKBF	BMVKLOYSUEFAZDTJPIXHGRNQ	0
main	9 	BB6 	 oneCued 	 0.0 	 right 	 8 	 180 	Z 	2 	8 	O 	0.0 	5 	0 	2.0 	SPBYVGDAIJRTNKHZXLQEUFMO	GREOQXHVPBZSDAUYTNIMLKFJ	EULTZXMQJOFPGIADHNKRVSYB	YLNXJIDFSOMHGEVRQBUAZPKT	BDGYHOTSIQLRNMFJVZEKPXAU	FQETJVBSOIZHKRLNDPMGAUYX	KJTIHSLZGFXQUVNDOPAYMRBE	OMJKXBUETGVZHLQSANIRPYDF	0
main	10 	BB6 	 oneCued 	 0.0 	 right 	 8 	 180 	R 	2 	9 	K 	0.0 	5 	0 	1.0 	EFNRPYSZIALOHBJVDKXUMQGT	LGJZYNKHPSUTVOFQABMRIEXD	STLRJZNYBOAMIPDEFUGXQVKH	UMNEZPFXVLRYIDKSQJTGHOBA	ZLGPOHIDVUSJAYBEXTKRNMFQ	MLPSEAJFYKRNUZDVIOHTXBGQ	KPVDZXJAGNIEQFYURTMHBLOS	SMAJZQPUHYIOGFVNLXTDRKEB	0
main	11 	BB6 	 oneCued 	 0.0 	 right 	 2 	 315 	A 	0 	6 	O 	0.0 	1 	0 	17.0 	ZOMABLRKXSQDTHGNEJPYVUIF	KNDLJHOMSITEPFGVXZRBYQUA	-99	-99	-99	-99	-99	-99	0
main	12 	BB6 	 oneCued 	 0.0 	 right 	 2 	 270 	Y 	2 	10 	D 	0.0 	0 	0 	1.0 	PNXQJKBZIRDYFUVGMEHALOST	AYVJTHSRZFQKXINPEBDUGOML	-99	-99	-99	-99	-99	-99	0
main	13 	BB6 	 oneCued 	 0.0 	 right 	 2 	 0 	B 	2 	9 	L 	0.0 	1 	0 	-1.0 	ASTGRPUIBVMDJXYHENZOQLFK	ZVJYEUTOBLDHGKAMIFSXRQPN	-99	-99	-99	-99	-99	-99	0
main	14 	BB6 	 oneCued 	 0.0 	 right 	 2 	 315 	A 	2 	8 	G 	0.0 	1 	0 	1.0 	MULDQTARZVFYNOJHPIESBGKX	TVBQJRKXGANPZYUSIEHOMLFD	-99	-99	-99	-99	-99	-99	0
