experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	streamsPerRing	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0 	EG11 	 oneCued 	 0.0 	 right 	 2 	 225 	B 	0 	8 	X 	0.0 	1 	0 	5.0 	BKDMNISLQRHVJYTEGUAXOZPF	RHMTZGELXPDYIBQNKJUAFVSO	-99	-99	-99	-99	-99	-99	0
main	1 	EG11 	 oneCued 	 0.0 	 right 	 8 	 0 	T 	0 	9 	T 	1.0 	4 	0 	0.0 	IZOKVUETMAQGFNJDRHPLYBXS	KEATNIJVBHYLXODQFZSMUGPR	JBVLONIGKFAHRDYZEUQXSMTP	OJSYQHVZDTMRGKFUBPLNEAXI	QFSAUVDXRTHOMEKJIZPGYLBN	ONQKLHZUMSIBJRVGXTEDFAYP	ZDJGSHUARTLEKNXYPVQBOFIM	QVIHNSEXUBJLGYMZRTKPDOAF	0
main	2 	EG11 	 oneCued 	 0.0 	 right 	 8 	 315 	B 	0 	6 	U 	0.0 	6 	0 	2.0 	HLAMSDBQEYPNJGRXITUOZFVK	AMQZNSDEOIXHVFYRKJTPBGLU	IVSYRZOBNLFTEXUQJDAPMKHG	BLAUROZKEYVFMPSIHTGDJXQN	PTVAHZYMBILQOENSRJGUXFDK	GHSEBIRNLXVPKYAJZUFOTMQD	LNAITEURBPOFKHVDMYQSXZGJ	JDTOQSKIRLAEHBXVFGZPNYMU	0
main	3 	EG11 	 oneCued 	 0.0 	 right 	 2 	 270 	X 	0 	7 	A 	0.0 	1 	0 	-4.0 	OSTFDPYXIAULGZKVQREJBNHM	PHRXBQVAKTUGMEZINFLYJOSD	-99	-99	-99	-99	-99	-99	0
main	4 	EG11 	 oneCued 	 0.0 	 right 	 2 	 180 	D 	0 	10 	X 	0.0 	1 	0 	-5.0 	EDAYKHLGNVXUJMTBZPOSQRIF	ORIMLDJBGTXAQFUHSPVEKYNZ	-99	-99	-99	-99	-99	-99	0
main	5 	EG11 	 oneCued 	 0.0 	 right 	 2 	 45 	O 	0 	8 	O 	1.0 	1 	0 	0.0 	TXKNVLZGYJAHDIMSBUROQFEP	EGXDFQTMOJNKYAZHBURLIVSP	-99	-99	-99	-99	-99	-99	0
main	6 	EG11 	 oneCued 	 0.0 	 right 	 2 	 0 	S 	2 	6 	S 	1.0 	0 	0 	0.0 	BFNUYZSIPVJDALOEKRGTHQXM	VXDGSTKRQLOJMAIUBHYPENZF	-99	-99	-99	-99	-99	-99	0
main	7 	EG11 	 oneCued 	 0.0 	 right 	 2 	 270 	Q 	0 	9 	Q 	1.0 	0 	0 	0.0 	HSAZDIGMEQTKRXNFJYPVLUOB	ADGSMYXUZNFOQKTPRBIVHLEJ	-99	-99	-99	-99	-99	-99	0
main	8 	EG11 	 oneCued 	 0.0 	 right 	 8 	 270 	Y 	0 	8 	B 	0.0 	4 	0 	-1.0 	YBPIJNSALDTGXUZROQKHEFMV	JKFAVQLNSIGOPEBRYHZXUDTM	HBTJSYMLOPVNFQEZKGRXADIU	HVGLOFBKIDEJZTAQNXYRUMSP	PHRAJDGYBVMSNQKZULOITXEF	OUKQMEDJPLVNRZBFAGXSYITH	NHSIZXGMKYBAUREFVTOPJLDQ	SVIPDJMQLHROYEKFBXNUGATZ	0
main	9 	EG11 	 oneCued 	 0.0 	 right 	 8 	 315 	M 	0 	9 	S 	0.0 	7 	0 	2.0 	BIFVHTAUPSXMDYZONLJQGKRE	EOAZYRKTVQMXNFBDPJLISGHU	BFAHKNUREJPZDGYTMVSIXQOL	SXYAELZFURKJQMHTVGPNIODB	AUONETQBYGHZSDMLVKFJRPIX	YKOFBPVZMRJNULIXTQHAEGSD	UBIOFXVLAPSGZTDEJRKQYHMN	IRXBEFNJDSVMTKQAOUHYGZLP	0
main	10 	EG11 	 oneCued 	 0.0 	 right 	 2 	 135 	P 	0 	9 	G 	0.0 	0 	0 	1.0 	DLQSYHXJBGPROAFEIVMNTZKU	GAPQNRYBSEDXKHMIJOTULZVF	-99	-99	-99	-99	-99	-99	0
main	11 	EG11 	 oneCued 	 0.0 	 right 	 2 	 135 	Y 	0 	8 	R 	0.0 	0 	0 	1.0 	TSEOAQUKRYDXFJHPZLBNGVMI	QLRPBMENAUVISZJGXFYTODHK	-99	-99	-99	-99	-99	-99	0
