experimentPhase	trialnum	subject	nStreams	ring	crowded	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	23	RN2	2	2	Bouma	M	0	7	G	False	60	240.0	0	1	1	3	MDNOAVITFXJLKGERHUBYQZPS	YPSINXOGDAMHBKURFLVZETQJ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	24	RN2	2	1	Bouma	H	0	8	U	False	0	210.0	0	1	1	2	LHXPYVSKJAZENROUDGBIQTFM	IKLQJRFMUTHNYPEXSAZGVDBO	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	25	RN2	2	2	Yes	V	0	10	L	False	60	240.0	0	1	1	-5	YVMINFUQSDZBGTPOREJLXAKH	RGDMHVQZJPLOIBAESUTNFYKX	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	26	RN2	2	1	Yes	H	0	8	V	False	60	270.0	0	1	1	-3	NATXUVJPDIZKOYHEGFQRMLBS	IGDJQHLZVSNFPEXOYABTKMUR	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	27	RN2	2	1	Yes	K	0	9	L	False	60	90.0	0	0	0	1	DJFOSIBMYLKETQVUPHZGRNAX	OQNAGSFRVDYMLXIBJTUZHPEK	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1
main	28	RN2	2	0	Bouma	X	0	7	X	True	60	60.0	0	0	0	0	JTVEINPXBOKUYMAGDQRFLZSH	BHGEMJFDLRTPAIYSKQXUZNOV	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	29	RN2	2	0	Bouma	P	0	6	L	False	0	0.0	0	0	0	-2	HRJSPFLVDZXUMKGQEOTAYINB	XJZYFKALUNRSQMHBDPTIOGVE	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	30	RN2	2	1	Yes	E	0	10	G	False	120	150.0	0	0	0	5	XYIRFVBQJPGAZLTEUNSDKHMO	KSLHQJRNOYVAPDUFBZGEXIMT	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	31	RN2	2	0	Yes	Y	0	10	I	False	60	60.0	0	0	0	2	QXLRPHUSZVIOYKGEBJFDMATN	FTEUQRDHOZSGNYMBKIPVXLJA	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	32	RN2	2	1	Bouma	U	0	6	J	False	60	90.0	0	0	0	6	QGNKTOJHYDVZUBEAFIMSLRXP	IBAUXTHPEGZJVYQSNKFDLROM	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	33	RN2	2	1	Bouma	J	0	9	A	False	60	90.0	0	0	0	2	EHUFZDXLIASJYTMQNVRGOPBK	RUMZGOLBFNYSPVKEHTJQXDAI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	34	RN2	2	0	Bouma	G	0	10	N	False	0	180.0	0	1	1	-1	TZFAVXKBGUJISYLROQEHMDNP	PRIKLBOQVGNZFYHETUMSJADX	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	35	RN2	2	2	Yes	E	0	7	E	True	60	60.0	0	0	0	0	LMGXBTZEFRSOPDAKIHQYNJVU	VZBKNEOUIAJYSLTMPGXHFRQD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	36	RN2	2	0	Yes	F	0	9	S	False	120	300.0	0	1	1	1	VYBNDOLGUAQPTZSRXHJKIEFM	DQEXJPGOBSFNYRTZIULVAHKM	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	37	RN2	2	1	Yes	F	0	8	A	False	60	90.0	0	0	0	2	NSKHXURTAJFBQPMDGVLIEYOZ	NLMAOJKREPZGVYHTSBUFIQXD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	38	RN2	2	2	Bouma	E	0	9	V	False	120	300.0	0	1	1	4	DHPBRUSEXNGTYQOKVFJMAILZ	XOHDLINUZVBKGEAJTMFPRSQY	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	39	RN2	2	1	Yes	Z	0	6	M	False	60	90.0	0	0	0	-1	VGDQOZMTNHEKUXIFLPYBRJSA	PBNXRUOZMYIVDLFTHSEGQAJK	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	40	RN2	2	0	Yes	H	0	7	O	False	60	60.0	0	0	0	-1	SVUZBTHOIMFENLYKJRPQGDXA	OPLTSVEHRFMXAJYNZUKQGBID	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	41	RN2	2	2	Yes	E	0	8	T	False	120	300.0	0	1	1	7	XOUTQIGNJFPBASHYVZKMRDLE	SXMVQGKATFZBNHDEUOIPJYLR	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	42	RN2	2	1	Bouma	G	0	8	K	False	120	330.0	0	1	1	-7	XBJMIOEGAYKQPNZDVUSLRFHT	ZGHQOBYUKVANPXDLESJMIRFT	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	43	RN2	2	0	Bouma	H	0	9	T	False	0	0.0	0	0	0	3	URLDEVYXKTNGHZQMPFSJBOIA	QGZEPLTAHFYSVOMUDBINKRXJ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	44	RN2	2	0	Bouma	F	0	7	Q	False	120	300.0	0	1	1	3	QYPKMSGZFBNOLJHADVIURXET	AGTLDVEQHKFBZPSYMUXIONRJ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	45	RN2	2	0	Bouma	M	0	9	K	False	60	60.0	0	0	0	1	IQTGPRENVKMLAUOJDHZFYSXB	VYRMLATJXBFHONSEKGQDZPUI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	46	RN2	2	1	Yes	M	0	7	Y	False	120	150.0	0	0	0	15	LRBXOVSYKPHZFIJTNAQEDGMU	LSXZJMUBNGETAOYVRQIPKDHF	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	47	RN2	2	1	Bouma	H	0	7	S	False	60	270.0	0	1	1	13	JTXEGLSFMRVIPDYKNOUHBAZQ	QVOGAYMSUNXKPREFJIBZHTLD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	48	RN2	2	1	Yes	F	0	6	X	False	0	210.0	0	1	1	2	OPVNYXRHZGUMJIKLTSEQDFAB	UVBMOHXIFRDETLJAGZQNPKSY	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	49	RN2	2	2	Yes	F	0	6	E	False	0	0.0	0	0	0	-1	DKJRAFEUSPZTQXIBYMGNHLVO	QKTNPZDIELUHOYXBSFRVGJMA	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	50	RN2	2	2	Yes	L	0	9	Z	False	120	120.0	0	0	0	2	PXVKMYARQZELHISNTDBUJGFO	YRXOFPHGSZQIAVELJNUMKBTD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	51	RN2	2	1	Yes	X	0	9	M	False	0	30.0	0	0	0	3	SIPBAKZHNMODXLJFUTVQRGYE	OFUKSGTMENLHIXYQBDPRVJZA	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
