experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	nPreCueStreams	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	angleOfWhichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0	FC21	nStreams	0	right	2	90	A	0	9	Q	False	5	-45.0	0	1	JVHMEBSOGTPLDFXKAYNZQIRU	NLXUGZIKDBYPHOTRVQJSMAEF	ASTMZXYRJQFGPOUHLBDVKNEI	BFEYMKUIPARLOQDSNGZVTXHJ	LYNVRFSGXIMBDQAEKZOTUJPH	BURJYESTOQAVLDXFPIZNMHGK	DOGBXMURAZPFEHJLKIVQSNTY	TKSRLMVZNGUDXABYIPQFJEHO	2
main	1	FC21	nStreams	0	right	2	0	I	0	10	I	True	0	0.0	0	0	LHVZNYRPFBISJTDOQGUEAXKM	JHLOZMAUNSVQTEDBPXGRIYFK	INFMBYLPKZUDXERQHASTJOVG	AOYDVUGNSXIJBRFKMPTZHLEQ	JRLPSVZIQMBEUGFDKXNHOYTA	JDIBFHXKAUNPSTVYOGMQERZL	EFKJBTDOQXNLAVHIMSUZPGYR	SLEIPJXQNOGZFBUADTYHRKMV	0
main	2	FC21	nStreams	0	right	2	90	J	0	10	Z	False	1	135.0	0	1	EUYDXMVFLQAKIPGBOZHNSTRJ	IXEKOHSNMTZJFRADUPBQLYGV	VJUTZYLARBODIHGNPKEMXQSF	EFXPRJGDVBNATHLQIKYMZSUO	GAMLOEKRFJZTQINSHYPVDBUX	XTJOMQZGFLVUSRNYPKHDAEIB	BUNJSQZYMPIXFAOETLGVDRKH	VUSXHAQTBMGLOENZIYJPDRFK	2
main	3	FC21	nStreams	0	right	8	225	E	0	9	E	True	4	45.0	0	0	ODUBAZTGXRNYLQSVMFJEIHPK	LZQMIJUTPFYVBKXDAOGRSENH	LOVHMGRUJZXBDSNAPYTIFKEQ	XMTUIANKPBOLJHGRSFDQVEYZ	HLBSIXGFNEQZAUKPVDRTOYJM	UTBHFPGQAEZNSVLKDOIRYXMJ	PDYRNKQBXHLIZOMSUAETVFJG	XNPMTEOKLQUHYRSZVJAIFBDG	1
main	4	FC21	nStreams	0	right	2	90	G	0	6	G	True	5	-45.0	0	0	ZMGEFYDTOVKILUQHPRJSBXAN	FUTNLQYEVBIRMSXZKJHDOPAG	HILTVMEBKFZQDGJYPASRXNOU	HMUZNKPBQJYLRSEXAOVTFIDG	ATBQMKNYJVFRUOESIDLPZGHX	EYDQMVGSPBINTOHUFKRJXAZL	QFLPJSAIZYUDHKVNGBOTEMXR	TFULZNQAYOBDRKMXPEGISJVH	1
main	5	FC21	nStreams	0	right	2	0	K	0	7	V	False	0	0.0	0	1	AOBERNXVKZGSJLPIDTHYMFUQ	HVPMRTIUEZKFBJOGDYQXANSL	SVREKBHJAPUNYDLIQMZXGOFT	FLSXMANTZPRJQDVOIUGEYKBH	TDLQNURPFKSXOAHBEJMZYVIG	SMUDEXLPNRAOFGZQVTJHKIYB	IYODXUEHVJRBSNZTALQPGMFK	VKNATHPQIDLGZXSRFEOBUYJM	2
main	6	FC21	nStreams	0	right	2	135	M	0	9	M	True	7	90.0	0	0	BRJOIQULNTFEHPKGSVDAXZMY	UTKLJSGPVRZIMFXEQAHNDYOB	FBSVJPRKTIUXOYDEZAQHMLNG	OLAVPJNUDTFMSYEZBXHIQGKR	GKALHVRMFNSJXDTYQZUBEOPI	SGEZBJOLFQUYMNIATRPDHKVX	QBPIGSVLORAMXDYTEUZKFHJN	FAYDPOKQGMEUJTNLVHIXSZBR	1
main	7	FC21	nStreams	0	right	8	180	M	0	9	J	False	6	90.0	0	1	JVFXTSMYKBEUOQPIAGLDRZHN	RQYSVDZABMLJETOPHUKNGXIF	IRHJUAPGLVKSFXMENTQOYZBD	AIFDMSEHQGZPYVNOXUKBLTJR	YUOHBTMVIKGSPJAREZDNLFXQ	VZBLQRGHKDFYNTPESXOMJAUI	UPSDOFALRJMQVIHTXZGEKYBN	NYHTBPIDJKEQSVARMLGOUZXF	2
main	8	FC21	nStreams	0	right	8	225	T	0	6	Y	False	2	-45.0	0	5	ZXSFKGOJNBMYERIAVUDQLHPT	JEMVUPIYFAGONZXKTRLSHQDB	KOPXZLYBIERTJFSDAQNHMGUV	OQENVHGDTJZMPRAYFUSIKBLX	AMJGIBQFSUPDYNEXOVTHLKZR	PLRDHQAZKBFJOEYMUXVITSGN	ONKZAEPQSDBFRGHTVXUMYLIJ	ABZHSYTQRXVUMOJGDINELFKP	2
main	9	FC21	nStreams	0	right	2	45	A	0	9	A	True	5	-90.0	0	0	IUJXHAVBKSPDOQRFNLTYZEGM	YVGXIHSNFEDZUOBAPQKRLTJM	RKEJXSUGTABYMHINLQFDOZVP	LSJIRQOXPNMYHGZFTVBEDKAU	ZYAORNKFEPSQUIHDXGJMBTLV	ONFZJIEYSAQLDBKHPUTMRVGX	SLJRTPDIGXBYFQMKHUNAZVEO	OPIHDSXLNAQZGMJFBTUKERVY	2
