"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"	"fixationReject"
"main"	20	"18EB3"	2	2	"R"	0	10	"L"	"False"	60	240	0	1	1	-1	"EJTSXOVKMRQNYIGZDABHLFUP"	"GIKJQYOVXRLTSBPENDMHAFZU"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	9	FALSE
"main"	21	"18EB3"	2	0	"X"	0	8	"D"	"False"	60	60	0	0	0	-5	"YSRXNMVBDPAGKLZIQTEUFHJO"	"XUVFRJOSEKMGLDHNQAYTZPIB"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	3	FALSE
"main"	22	"18EB3"	2	0	"Y"	0	7	"U"	"False"	60	240	0	1	1	2	"MRTEBODSGZJPNUYXAVILKQFH"	"SLTIVRJUAYHMZNKGFBOXDPQE"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	9	FALSE
"main"	23	"18EB3"	2	2	"K"	0	10	"O"	"False"	0	180	0	1	1	-8	"GZDQYFLBXRVHPAKONSUJMEIT"	"XGKZRLIQNJOYETHVMFUSABPD"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	2	FALSE
"main"	24	"18EB3"	2	2	"M"	0	6	"G"	"False"	60	240	0	1	1	2	"IJEDOGRNAUMBYVZLXFKQSPTH"	"ABEXSPGOMKZQHURNDVLJYTFI"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	26	"18EB3"	2	0	"M"	0	6	"X"	"False"	60	240	0	1	1	8	"ZUNVTOFMARSDHEQXPBJGLIKY"	"LNSEFJXBURHDKVMTOZYGAQPI"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	14	FALSE
"main"	29	"18EB3"	2	2	"S"	0	7	"Z"	"False"	0	0	0	0	0	-2	"FBLGRSNZYTEKQODHAXUVPIJM"	"GHKVUROIBMQPTNLESFJYXZAD"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	5	FALSE
"main"	30	"18EB3"	2	2	"F"	0	6	"X"	"False"	120	300	0	1	1	-4	"DQTEPYNKJOFVMXGILABZRUHS"	"VSFOERXYTLZPKIJUBAQGDMHN"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	2	FALSE
"main"	31	"18EB3"	2	2	"U"	0	8	"I"	"False"	0	0	0	0	0	3	"ARMDQSNVIHZUJYBPLGXOTKEF"	"MXGQTPYUJHDNBSIRLVAFKOEZ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	11	FALSE
"main"	35	"18EB3"	2	2	"G"	0	8	"F"	"False"	0	180	0	1	1	-3	"RDOMAHNIZPYQTBUXLGFESVKJ"	"TKXZOGRNFPMAIUVHQBDYEJSL"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	5	FALSE
"main"	36	"18EB3"	2	0	"H"	0	10	"J"	"False"	60	240	0	1	1	-5	"GJRNFHLZEAQUYSMIOBKTVPXD"	"QNLOBHGEDTJUAPFRVXYKMSZI"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	5	FALSE
"main"	37	"18EB3"	2	0	"S"	0	8	"F"	"False"	120	300	0	1	1	2	"JNGFUMBEPISAQXYORLKZDTHV"	"TUPXYAGLFJSHQIMDVNOBEZKR"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	10	FALSE
"main"	38	"18EB3"	2	0	"R"	0	10	"V"	"False"	0	0	0	0	0	-6	"HFANRKJQXEVBTDUPOGISYZML"	"YAOXNMJIVBTQHRUDFSLZPEKG"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	4	FALSE
