"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"	"fixationReject"
"main"	63	"18RP"	2	1	"R"	0	10	"U"	"False"	120	330	0	1	1	5	"IOGQNMUVBXKTJLYFARDHESPZ"	"GQSLVYBKTFUXPAHRINDEOJMZ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	15	FALSE
"main"	65	"18RP"	2	1	"S"	0	7	"U"	"False"	120	150	0	0	0	-2	"MQHXOSPUJKBNIYEDAZRFLGTV"	"GQVEKOMLXPDABFSHYZJRUINT"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	5	FALSE
"main"	67	"18RP"	2	0	"B"	0	7	"I"	"False"	0	180	0	1	1	-6	"ASRXUNBOHQMDKPFGJVELZITY"	"YBHDRGVIOKSLMPUZQXJTNEAF"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	1	FALSE
"main"	68	"18RP"	2	2	"V"	0	8	"Q"	"False"	60	240	0	1	1	4	"JRVFNZUXBIGLYAHKQPOETMDS"	"ANRUTXEMQZLHVIBFYSPJKGOD"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	12	FALSE
"main"	70	"18RP"	2	2	"N"	0	8	"D"	"False"	60	60	0	0	0	3	"RSMTOULIDZYNHXAGEBVPKFQJ"	"UXODLVNMKRZYPSHTQGJIFAEB"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	11	FALSE
"main"	71	"18RP"	2	0	"H"	0	9	"Y"	"False"	60	240	0	1	1	-6	"GTDHJUNFRPMXLZYISAVKBEOQ"	"PEVHUNLDSYFIMQBORXGKAJZT"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	3	FALSE
"main"	72	"18RP"	2	1	"E"	0	6	"E"	"True"	120	150	0	0	0	0	"UNFTDREYHIVABPGOQXJKSMZL"	"RTQDNBLEIYPOXHAUVGKFJZSM"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	6	FALSE
"main"	73	"18RP"	2	1	"A"	0	9	"J"	"False"	60	90	0	0	0	-8	"XAODUIRZVJGYTMBQLFSKNEPH"	"FMAIOSHBVJNEKDQPRUTZLYXG"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	1	FALSE
"main"	77	"18RP"	2	2	"U"	0	6	"R"	"False"	0	0	0	0	0	14	"PETDVYRHXIAGZNFBOLMKUQSJ"	"VIRDKQLXTNUGSEOMJFBPHAYZ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	20	FALSE
"main"	78	"18RP"	2	0	"B"	0	10	"U"	"False"	0	180	0	1	1	-4	"RQPYBKGDFJLHUXTZEVIOMNAS"	"ZRDQHABTLXUYSNPOKMFIGVJE"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	6	FALSE
"main"	79	"18RP"	2	2	"K"	0	8	"P"	"False"	120	300	0	1	1	11	"QTMKULSHDIABPEFNVYJGZXOR"	"LMRXFGTYPIZAQVUBOHNKEDSJ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	19	FALSE
"main"	84	"18RP"	2	1	"O"	0	9	"L"	"False"	120	150	0	0	0	-8	"ZOQAJPHRGLSINKEYBVUFXTDM"	"DMXTRFKISZGBULJOQEYHNVPA"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	1	FALSE
"main"	85	"18RP"	2	0	"I"	0	6	"I"	"True"	0	0	0	0	0	0	"JPRQGXIEUHLBMOYZTSFADNVK"	"BGIYFPMVLDTRJSUKZHNEQAXO"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	6	FALSE
"main"	86	"18RP"	2	2	"Y"	0	7	"Z"	"False"	120	120	0	0	0	-6	"FYAUESXZINBDLOHTJRKGVMPQ"	"VRTNBJMIKSLPADEZQFXUOYGH"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	1	FALSE
"main"	90	"18RP"	2	0	"G"	0	10	"Z"	"False"	120	120	0	0	0	1	"VIRYBNPDLXZGMTQFAESHJUOK"	"NKMUAGSODLHQRTJPXBIVYZFE"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	11	FALSE
"main"	91	"18RP"	2	2	"P"	0	10	"M"	"False"	60	60	0	0	0	-8	"YFPDUNZJAXMROHBLVSIGQTKE"	"HZUNMXODREAGVPYLJTQBFSKI"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	2	FALSE
"main"	92	"18RP"	2	1	"I"	0	9	"K"	"False"	60	270	0	1	1	-8	"BLVRPHQIAXSTZMDEUNYGJKOF"	"QIPASRLMNKYHEJDGOBXUTFVZ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	1	FALSE
