"xDomain","p","participant","condition"
-4,0.4284,"AJ7","twoStreams"
-3,0.9292,"AJ7","twoStreams"
-2,0.0016,"AJ7","twoStreams"
-1,0.062,"AJ7","twoStreams"
0,0,"AJ7","twoStreams"
1,0,"AJ7","twoStreams"
2,0,"AJ7","twoStreams"
3,0.624,"AJ7","twoStreams"
4,0.808,"AJ7","twoStreams"
-4,1,"AN14","twoStreams"
-3,0.9878,"AN14","twoStreams"
-2,0.8408,"AN14","twoStreams"
-1,0.015,"AN14","twoStreams"
0,0,"AN14","twoStreams"
1,0,"AN14","twoStreams"
2,0,"AN14","twoStreams"
3,0.4788,"AN14","twoStreams"
4,0.9508,"AN14","twoStreams"
-4,0.9826,"BB6","twoStreams"
-3,0.7794,"BB6","twoStreams"
-2,0.3866,"BB6","twoStreams"
-1,0,"BB6","twoStreams"
0,0,"BB6","twoStreams"
1,0,"BB6","twoStreams"
2,0.916,"BB6","twoStreams"
3,1,"BB6","twoStreams"
4,1,"BB6","twoStreams"
-4,1,"IK4","twoStreams"
-3,0.8466,"IK4","twoStreams"
-2,0.8528,"IK4","twoStreams"
-1,0.0176,"IK4","twoStreams"
0,0,"IK4","twoStreams"
1,0,"IK4","twoStreams"
2,0,"IK4","twoStreams"
3,0.1014,"IK4","twoStreams"
4,1,"IK4","twoStreams"
-4,0.982,"JA8","twoStreams"
-3,0.9188,"JA8","twoStreams"
-2,0.1078,"JA8","twoStreams"
-1,0,"JA8","twoStreams"
0,0,"JA8","twoStreams"
1,0,"JA8","twoStreams"
2,0.053,"JA8","twoStreams"
3,0.9124,"JA8","twoStreams"
4,0.5818,"JA8","twoStreams"
-4,0.7326,"LH9","twoStreams"
-3,0.994,"LH9","twoStreams"
-2,0.5496,"LH9","twoStreams"
-1,0.2238,"LH9","twoStreams"
0,0,"LH9","twoStreams"
1,0,"LH9","twoStreams"
2,0,"LH9","twoStreams"
3,0.5798,"LH9","twoStreams"
4,0.9638,"LH9","twoStreams"
-4,0.7608,"LS2","twoStreams"
-3,0.7672,"LS2","twoStreams"
-2,0.7688,"LS2","twoStreams"
-1,0,"LS2","twoStreams"
0,0,"LS2","twoStreams"
1,0,"LS2","twoStreams"
2,0.0012,"LS2","twoStreams"
3,0.9854,"LS2","twoStreams"
4,0.7756,"LS2","twoStreams"
-4,0.9862,"LT5","twoStreams"
-3,0.9852,"LT5","twoStreams"
-2,0.9252,"LT5","twoStreams"
-1,0.027,"LT5","twoStreams"
0,0,"LT5","twoStreams"
1,0,"LT5","twoStreams"
2,0,"LT5","twoStreams"
3,0.7894,"LT5","twoStreams"
4,0.989,"LT5","twoStreams"
-4,0.7558,"RN12","twoStreams"
-3,0.754,"RN12","twoStreams"
-2,0.7498,"RN12","twoStreams"
-1,0.4018,"RN12","twoStreams"
0,0,"RN12","twoStreams"
1,0,"RN12","twoStreams"
2,0.0688,"RN12","twoStreams"
3,0.573,"RN12","twoStreams"
4,0.738,"RN12","twoStreams"
-4,0.5206,"YZ15","twoStreams"
-3,0.7362,"YZ15","twoStreams"
-2,0.0924,"YZ15","twoStreams"
-1,0.004,"YZ15","twoStreams"
0,0,"YZ15","twoStreams"
1,0,"YZ15","twoStreams"
2,0.0058,"YZ15","twoStreams"
3,0.9754,"YZ15","twoStreams"
4,0.9792,"YZ15","twoStreams"
-4,0.9888,"AJ7","eightStreams"
-3,1,"AJ7","eightStreams"
-2,0.9922,"AJ7","eightStreams"
-1,0.857,"AJ7","eightStreams"
0,0,"AJ7","eightStreams"
1,0,"AJ7","eightStreams"
2,0,"AJ7","eightStreams"
3,0.1756,"AJ7","eightStreams"
4,0.9918,"AJ7","eightStreams"
-4,0.9614,"AN14","eightStreams"
-3,0.9674,"AN14","eightStreams"
-2,1,"AN14","eightStreams"
-1,0.9624,"AN14","eightStreams"
0,0.0666,"AN14","eightStreams"
1,0,"AN14","eightStreams"
2,0,"AN14","eightStreams"
3,0.0066,"AN14","eightStreams"
4,0.7506,"AN14","eightStreams"
-4,1,"BB6","eightStreams"
-3,0.932,"BB6","eightStreams"
-2,0.9882,"BB6","eightStreams"
-1,0.428,"BB6","eightStreams"
0,0,"BB6","eightStreams"
1,0,"BB6","eightStreams"
2,0.9346,"BB6","eightStreams"
3,0.9876,"BB6","eightStreams"
4,0.9378,"BB6","eightStreams"
-4,0.996,"IK4","eightStreams"
-3,0.9724,"IK4","eightStreams"
-2,0.5908,"IK4","eightStreams"
-1,0.969,"IK4","eightStreams"
0,0.0696,"IK4","eightStreams"
1,0,"IK4","eightStreams"
2,0,"IK4","eightStreams"
3,0.2486,"IK4","eightStreams"
4,0.9704,"IK4","eightStreams"
-4,0.9914,"JA8","eightStreams"
-3,0.9902,"JA8","eightStreams"
-2,0.9428,"JA8","eightStreams"
-1,0.4722,"JA8","eightStreams"
0,0,"JA8","eightStreams"
1,0,"JA8","eightStreams"
2,6e-04,"JA8","eightStreams"
3,0.6788,"JA8","eightStreams"
4,1,"JA8","eightStreams"
-4,0.9972,"LH9","eightStreams"
-3,0.9962,"LH9","eightStreams"
-2,0.9068,"LH9","eightStreams"
-1,0.9068,"LH9","eightStreams"
0,0,"LH9","eightStreams"
1,0,"LH9","eightStreams"
2,0,"LH9","eightStreams"
3,0.0084,"LH9","eightStreams"
4,0.9096,"LH9","eightStreams"
-4,0.9884,"LS2","eightStreams"
-3,0.937,"LS2","eightStreams"
-2,1,"LS2","eightStreams"
-1,0.943,"LS2","eightStreams"
0,0.0022,"LS2","eightStreams"
1,0,"LS2","eightStreams"
2,0,"LS2","eightStreams"
3,0.6582,"LS2","eightStreams"
4,1,"LS2","eightStreams"
-4,0.9932,"LT5","eightStreams"
-3,0.9554,"LT5","eightStreams"
-2,0.9926,"LT5","eightStreams"
-1,0.9934,"LT5","eightStreams"
0,0,"LT5","eightStreams"
1,0,"LT5","eightStreams"
2,0,"LT5","eightStreams"
3,1,"LT5","eightStreams"
4,0.9916,"LT5","eightStreams"
-4,0.9632,"RN12","eightStreams"
-3,0.9668,"RN12","eightStreams"
-2,0.994,"RN12","eightStreams"
-1,0.5948,"RN12","eightStreams"
0,0,"RN12","eightStreams"
1,0,"RN12","eightStreams"
2,6e-04,"RN12","eightStreams"
3,0.5984,"RN12","eightStreams"
4,0.1444,"RN12","eightStreams"
-4,0.994,"YZ15","eightStreams"
-3,0.9672,"YZ15","eightStreams"
-2,1,"YZ15","eightStreams"
-1,0.7578,"YZ15","eightStreams"
0,0.0134,"YZ15","eightStreams"
1,0,"YZ15","eightStreams"
2,0,"YZ15","eightStreams"
3,0.602,"YZ15","eightStreams"
4,0.9956,"YZ15","eightStreams"
