"Gender","DOB","Age","charID"
"F","20/1/94",23,"LS"
"F","28/5/98",18,"IK"
"F","24/1/98",19,"LT"
"F","20/9/98",18,"BB"
"F","22/4/99",18,"AJ"
"F","11/8/97",19,"JA"
"F","27/8/98",18,"LH"
"F","20/1/99",18,"RN"
"M","11/5/98",18,"AN"
"F","11/6/96",20,"YZ"
