"xDomain","p","participant","condition"
-1,0.066,"AJ7","twoStreams"
-1,0.018,"AN14","twoStreams"
-1,0,"BB6","twoStreams"
-1,0.0226,"IK4","twoStreams"
-1,0,"JA8","twoStreams"
-1,0.2336,"LH9","twoStreams"
-1,0,"LS2","twoStreams"
-1,0.0226,"LT5","twoStreams"
-1,0.3994,"RN12","twoStreams"
-1,0.0054,"YZ15","twoStreams"
-1,0.8428,"AJ7","eightStreams"
-1,0.9616,"AN14","eightStreams"
-1,0.4292,"BB6","eightStreams"
-1,0.9652,"IK4","eightStreams"
-1,0.4808,"JA8","eightStreams"
-1,0.912,"LH9","eightStreams"
-1,0.9398,"LS2","eightStreams"
-1,0.9926,"LT5","eightStreams"
-1,0.5956,"RN12","eightStreams"
-1,0.7684,"YZ15","eightStreams"
