"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"nStreams"	"eccentricity"	"polarAngle"	"resp0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"timingBlips"	"cueType"	"cuePos0"	"responsePos"	"fixationReject"	"ID"
"main"	71	"CLExN6 "	" oneCued "	0	" left "	6	6	60	"D "	"C "	0	4	0	2	"IJNCWTGVAQFPHLBUZXREDYMSOK"	"LPVDABUSZQMHGYNJRXFKTEOCIW"	"KSHCMBVIGTNEWFQYRLOPJAXDUZ"	"JUFDEMWXZBRTGSONHIKLVAYCQP"	"TEFKGRSCJDHZMYLPINUQWXAOBV"	"EKAIZDNWTRJOMYXLSQFBPVUHGC"	1	"exogenousRing"	7	9	FALSE	"CL"
"main"	72	"CLExN6 "	" oneCued "	0	" left "	6	6	60	"G "	"X "	0	1	0	1	"BKXUZENHVWLQPRCTJYIGFDSAMO"	"DVNYALXGFBTKMIUJRSOWPHEZQC"	"IGDNXMAYFCRBHQKWOELSUTJPVZ"	"RALPFMUZVOCKYXHGIQSWJDTEBN"	"AECZGSFJDTMLXKUOBYHNRVWPIQ"	"WSVPZEGXOYRQNJHADTFCBIKLUM"	2	"exogenousRing"	6	7	FALSE	"CL"
"main"	73	"CLExN6 "	" oneCued "	0	" left "	6	6	0	"D "	"J "	0	3	0	1	"EFOGPLMAYKBIQUXVRSHJZDCWNT"	"AWINUOCMSGTLHJXDVKYEBZPQRF"	"LKWFNUQGYPHABCMOTEZVDSRIJX"	"KWHGEIJDSOXAQRLMNUPYCTFZVB"	"MHPVASJFTXUBOWDGEQIYLRCKZN"	"REYGKTMUDOFPVINAHZSCJXLBWQ"	0	"exogenousRing"	6	7	TRUE	"CL"
"main"	74	"CLExN6 "	" oneCued "	0	" left "	2	6	60	"A "	"L "	0	1	0	-5	"ZLEOHXWGIPUQRTMNBFSDJAYVCK"	"VTAOFWGLPYMDXUQRCZIHJEBNKS"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	7	2	FALSE	"CL"
"main"	75	"CLExN6 "	" oneCued "	0	" left "	6	6	0	"F "	"Z "	0	3	0	-1	"JHRNAOWIFBVGLEKXMUCTQZDSYP"	"ALCGSBNJVZDMQWYPTXIREOUHFK"	"TLVUSKGWDYJBRFAOEZIHCQXNPM"	"NVBHPCAIFZROEMTSWKQJXGLYDU"	"THNRBPJQLEWYOXKDIGUVMCFAZS"	"SCHNTEKZMUAPBIRFXOWLJQYDGV"	0	"exogenousRing"	9	8	FALSE	"CL"
"main"	76	"CLExN6 "	" oneCued "	0	" left "	2	6	120	"E "	"Z "	0	0	0	14	"MTOAJPVYZWHBDLFRNIQGXCEKUS"	"WFUYHKTGMOCENVASXZLDPQRJBI"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	8	22	FALSE	"CL"
"main"	77	"CLExN6 "	" oneCued "	0	" left "	2	6	120	"D "	"E "	0	0	0	1	"FTAJROXEDHWMULSNBZGKVQYIPC"	"UBNGMRCOAEHSIDYVTPLFWXKQJZ"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	7	8	TRUE	"CL"
"main"	78	"CLExN6 "	" oneCued "	0	" left "	2	6	0	"S "	"U "	0	1	0	3	"QKSVRPFJTINWEULXMCZBHYGDAO"	"XVCZIBLKFUDOSPAQJNMHGWTEYR"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	9	12	FALSE	"CL"
"main"	79	"CLExN6 "	" oneCued "	0	" left "	2	6	0	"J "	"D "	0	0	0	12	"LCSBOURTZDVNYMIKWEPXGJFHQA"	"HBAPGVEXUJCFQMZROITLDNSYWK"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	9	21	TRUE	"CL"
"main"	80	"CLExN6 "	" oneCued "	0	" left "	2	6	0	"S "	"B "	0	1	0	-1	"HUXOVEGNWQIFJTZBMPAYLRKSDC"	"PHLCMNOETSBVGRKXQZIDYFWJAU"	"-99"	"-99"	"-99"	"-99"	0	"exogenousRing"	10	9	FALSE	"CL"
