"ID","trial","condition","stream","SPE","targetSP","response","stimuli"
"AH",13,6,2,-7,16,"F","XWMDLUZPFQTGYASJEKBOHRIC"
"AH",14,6,2,0,12,"S","CFPTBELYWZJSHXUKIOADMGRQ"
"AH",15,6,2,-8,12,"C","KWICTEYRJASBDZUXGQLOFMHP"
"AH",16,6,2,0,12,"M","LPBXRUFHAJTMKWOQCGZYESDI"
"AH",17,6,2,1,7,"R","LDBYHGIRUSPEZQOJFTKAXMWC"
"AH",18,6,2,-15,18,"U","YFUZRPXJIMDSKLHBAETQOGWC"
"AH",19,6,2,-8,11,"M","FGMDHQPUCJWBYRIOZETSAKLX"
"AH",20,6,2,1,7,"C","ZKBQGALCIEJDTHWOXRMYFUSP"
"AH",21,6,2,-15,17,"O","TOESWPIBZCLXHKFDGRJAUYMQ"
"AH",22,6,2,0,9,"U","ZOEDGPQTUBYMACRKWJLSFHIX"
"AH",23,6,2,-9,13,"O","ZSUOCGWDXLIKPBTJYAQREFMH"
"AH",24,6,2,1,18,"D","BRQTELMPSKGYHIUFAXDZWOJC"
"AH",25,6,2,3,7,"M","IEHDSLWKJMYQCGFRUZTAXOBP"
"AH",26,6,1,1,17,"T","JABHUZDIERCGWLXYFTKMQPSO"
"AH",27,6,1,1,12,"O","GFMZCJSXRBLPOEDQAUYTHWKI"
"AH",28,6,1,0,18,"L","QZTMBSHOUXWCPGKJRLDYFAEI"
"AH",29,6,1,-11,18,"F","WXZJTAFQHRLBIMYGDESPUOKC"
"AH",30,6,1,1,8,"X","PLGWHDAUXCMSYRJKFTOIBQZE"
"AH",31,6,1,1,13,"G","BJZFCSLIMPWYAGQDRXHUTKEO"
"AH",32,6,1,0,12,"A","JGPXHQWLICEAZSMTKBUFDOYR"
"AH",33,6,1,0,7,"A","ZCOJKXATHSBDWIUEFYLQGMPR"
"AH",34,6,1,4,18,"F","LRXOHDQZMATKGBPSJEIUYFWC"
"AH",35,6,1,0,15,"W","DCXJYHAKPSZOGLWQTIEFBMUR"
"AH",36,6,1,0,11,"P","QJZGSIMRTLPKADUEXFWOYBCH"
"AH",37,6,1,1,17,"S","EZOXIUJWLAYBQFPRGSMKDTCH"
"AH",38,6,1,0,17,"R","OCDKWTBASFJUMEXQRHZYLGPI"
"AH",39,6,1,1,18,"Z","PHOMUDBYQTWSJRKAFXZECGLI"
"AH",40,6,1,-8,13,"T","LYEZTDCAWSOQIUGRHJPKMFBX"
"AH",41,6,1,1,17,"D","UJLBRASTZXEFGYMCHDOIPKWQ"
"AH",42,6,1,1,15,"S","ITCZPROEYLJBMXDSQFAUKGHW"
"AH",43,6,1,1,9,"D","CGLZOHJPQDTEBUAFMIKXSYRW"
"AH",44,6,1,0,13,"O","ZQKBIFURHXEJOWLDTGMPACYS"
"AH",45,6,1,-11,13,"O","JOHEIRWZGFYPCQDAXTKLSUBM"
"AH",46,6,1,0,10,"Q","IFPKGSUHDQTOCAEYZXJRLBWM"
