"xDomain","p","participant","condition"
-4,0.5198,"18AH2",2
-3,0.766,"18AH2",2
-2,6e-04,"18AH2",2
-1,0,"18AH2",2
0,0,"18AH2",2
1,0,"18AH2",2
2,0.5256,"18AH2",2
3,1,"18AH2",2
4,0.9452,"18AH2",2
-4,0.3546,"18GL7",2
-3,0.367,"18GL7",2
-2,0.0806,"18GL7",2
-1,0.0864,"18GL7",2
0,0,"18GL7",2
1,0,"18GL7",2
2,0.0832,"18GL7",2
3,0.3524,"18GL7",2
4,0.3626,"18GL7",2
-4,0.345,"18HB9",2
-3,0.5746,"18HB9",2
-2,0.177,"18HB9",2
-1,0.0024,"18HB9",2
0,0.1796,"18HB9",2
1,0,"18HB9",2
2,2e-04,"18HB9",2
3,0.8164,"18HB9",2
4,1,"18HB9",2
-4,0.3288,"18JC",2
-3,0.0024,"18JC",2
-2,0.5588,"18JC",2
-1,0.029,"18JC",2
0,0,"18JC",2
1,0,"18JC",2
2,0.0038,"18JC",2
3,0.3362,"18JC",2
4,0.801,"18JC",2
-4,0.9484,"18JG",2
-3,0.9498,"18JG",2
-2,0.7958,"18JG",2
-1,0.167,"18JG",2
0,0,"18JG",2
1,0,"18JG",2
2,2e-04,"18JG",2
3,1,"18JG",2
4,0.7926,"18JG",2
-4,1,"18LS4",2
-3,0.3894,"18LS4",2
-2,0.206,"18LS4",2
-1,0.013,"18LS4",2
0,8e-04,"18LS4",2
1,0,"18LS4",2
2,0,"18LS4",2
3,0.9654,"18LS4",2
4,0.825,"18LS4",2
-4,0.3694,"18PF6",2
-3,0.876,"18PF6",2
-2,0.0594,"18PF6",2
-1,0,"18PF6",2
0,0,"18PF6",2
1,0,"18PF6",2
2,0.6338,"18PF6",2
3,0.8886,"18PF6",2
4,1,"18PF6",2
-4,0.7688,"18PG8",2
-3,0.939,"18PG8",2
-2,0.5252,"18PG8",2
-1,2e-04,"18PG8",2
0,0,"18PG8",2
1,0,"18PG8",2
2,0.0024,"18PG8",2
3,1,"18PG8",2
