"xDomain","p","participant","condition"
-1,0.0656,"AJ7","twoStreams"
-1,0.0172,"AN14","twoStreams"
-1,0,"BB6","twoStreams"
-1,0.0176,"IK4","twoStreams"
-1,0,"JA8","twoStreams"
-1,0.2286,"LH9","twoStreams"
-1,0,"LS2","twoStreams"
-1,0.0284,"LT5","twoStreams"
-1,0.4002,"RN12","twoStreams"
-1,0.0042,"YZ15","twoStreams"
-1,0.8498,"AJ7","eightStreams"
-1,0.9592,"AN14","eightStreams"
-1,0.437,"BB6","eightStreams"
-1,0.9668,"IK4","eightStreams"
-1,0.4686,"JA8","eightStreams"
-1,0.9106,"LH9","eightStreams"
-1,0.9372,"LS2","eightStreams"
-1,0.9912,"LT5","eightStreams"
-1,0.5944,"RN12","eightStreams"
-1,0.77,"YZ15","eightStreams"
