"ID","date","exp","pool","block","trial","stream","condition","targetSP","SPE","rate","eccentricity","stimuli"
"EL","2012-11-23","Exp2","Experienced Observers",1,18,2,1,8,2,0,0,"MGZLARJHYSQNEKITUFXWPDBO"
"EL","2012-11-23","Exp2","Experienced Observers",1,19,2,1,8,2,0,0,"DMWLRNQGXZIUOSTJBEAYKFPH"
"EL","2012-11-23","Exp2","Experienced Observers",1,20,2,1,14,10,0,0,"GJZEODBRHYFPUNSLXITAKQMW"
"EL","2012-11-23","Exp2","Experienced Observers",1,21,2,1,7,3,0,0,"OFURDBXIEWSNHLATZGYQMPKJ"
"EL","2012-11-23","Exp2","Experienced Observers",1,22,2,1,7,1,0,0,"TPYRZUJQSIEGMNLWDHOXABKF"
"EL","2012-11-23","Exp2","Experienced Observers",1,23,2,1,13,0,0,0,"YIWKHLORAJTPDFZGMSEXNBQU"
"EL","2012-11-23","Exp2","Experienced Observers",1,24,2,1,16,-15,0,0,"NXTYSBUHOFDGJEMLQRZKAPIW"
"EL","2012-11-23","Exp2","Experienced Observers",1,25,2,1,18,6,0,0,"AEQXJPYTHIBWRLDSZGKUONMF"
"EL","2012-11-26","Exp2","Experienced Observers",2,1,1,1,13,1,0,0,"SUJTIPAMHGFQLBONWKDXERYZ"
"EL","2012-11-26","Exp2","Experienced Observers",2,2,1,1,16,-10,0,0,"GDIOZSHRPQENFMJXWTYKLUAB"
"EL","2012-11-26","Exp2","Experienced Observers",2,3,1,1,7,1,0,0,"JAMEUWGSKFQRYOPLBITZDHXN"
"EL","2012-11-26","Exp2","Experienced Observers",2,4,1,1,9,2,0,0,"EUNHRGWPZISYQXKALODJMTBF"
"EL","2012-11-26","Exp2","Experienced Observers",2,5,1,1,16,1,0,0,"AWUBXPHQFKEJMZITROLNYDSG"
"EL","2012-11-26","Exp2","Experienced Observers",2,6,1,1,12,2,0,0,"KRADFNUXWOBHMPLTQZSEGJIY"
"EL","2012-11-26","Exp2","Experienced Observers",2,7,1,1,16,1,0,0,"OFDHSTXLQPEYRUJMBNKWGAIZ"
"EL","2012-11-26","Exp2","Experienced Observers",2,8,1,1,14,-1,0,0,"JZNOUTBDXLHFRPIEAKWSGQYM"
"EL","2012-11-26","Exp2","Experienced Observers",2,9,1,1,13,-2,0,0,"JPANLOFSBZEXRKDIWGHUQYMT"
"EL","2012-11-26","Exp2","Experienced Observers",2,10,1,1,18,-3,0,0,"AXMRTYKDHBPJOSNUGWQEILZF"
"EL","2012-11-26","Exp2","Experienced Observers",2,11,1,1,12,2,0,0,"JPWEFISBNXRTOAHQDKZGLYMU"
"EL","2012-11-26","Exp2","Experienced Observers",2,12,1,1,7,-1,0,0,"NUMBKYJDXOTESGQHLRZWFIAP"
"EL","2012-11-26","Exp2","Experienced Observers",2,13,1,1,9,0,0,0,"AOIGZBXWDJEQUMYFHKPRNSTL"
"EL","2012-11-26","Exp2","Experienced Observers",2,14,1,1,9,1,0,0,"QNJSBLTHOERGMAFUYXWIDZKP"
"EL","2012-11-26","Exp2","Experienced Observers",2,15,1,1,16,0,0,0,"AFNMQXPLEODYKRJSUIBHZGWT"
"EL","2012-11-26","Exp2","Experienced Observers",2,16,1,1,14,0,0,0,"NXKELYAJDZPRQUWSOMGBTHFI"
"EL","2012-11-26","Exp2","Experienced Observers",2,17,1,1,7,1,0,0,"EBNIARUPJQHWOSDFMXGYZKLT"
"EL","2012-11-26","Exp2","Experienced Observers",2,18,1,1,11,1,0,0,"SLZXNJURQGIYDKFTMHPAEOWB"
"EL","2012-11-26","Exp2","Experienced Observers",2,19,1,1,13,-1,0,0,"TJBPXEDWMFKLIYOSNGZAHRUQ"
"EL","2012-11-26","Exp2","Experienced Observers",2,20,1,1,13,1,0,0,"EYSFIXPMHDBAJZUQTOGWRKLN"
